Region ID,Region Name,Volume,X,Y,Z,XX,YY,ZZ
1,r 1,91435,2,-83,-3,88,43,69
2,r 2,58911,2,-71,12,88,55,84
3,r 3,74432,-1,-25,62,91,101,134
4,r 4,63812,52,-12,15,38,114,87
5,r 5,68292,35,-64,27,55,62,99
6,r 6,54584,2,-43,53,88,83,125
7,r 7,68151,61,-27,26,29,99,98
8,r 8,63369,62,-38,36,28,88,108
9,r 9,51633,37,-3,-34,53,123,38
10,r 10,39346,-1,38,-18,91,164,54
11,r 11,22802,38,-79,42,52,47,114
12,r 12,70012,61,-47,-12,29,79,60
13,r 13,79848,63,-31,-16,27,95,56
14,r 14,34372,56,-26,1,34,100,73
15,r 15,21449,48,-70,27,42,56,99
16,r 16,91520,61,-7,-18,29,119,54
17,r 17,100765,55,-7,-22,35,119,50
