,Event,TimeControl,endFEN,moves,mated_by,Winner,victory_status,wKing_sqr,bKing_sqr,wQueen_sqr,bQueen_sqr,wRook_sqr,bRook_sqr,wRook2_sqr,bRook2_sqr,wBishop_sqr,bBishop_sqr,wBishop2_sqr,bBishop2_sqr,wKnight_sqr,bKnight_sqr,wKnight2_sqr,bKnight2_sqr,avg_Elo
0,Rated Blitz game,180+0,r1b2q1b/pp1pkB1r/2pN4/4P1Q1/1n1P3P/2N5/PPPK1RP1/8 b - - 0 19,19,,white,resign,"(6, 3)","(1, 4)","(3, 6)","(0, 5)","(6, 5)","(0, 0)","(None, None)","(1, 7)","(1, 5)","(0, 2)","(None, None)","(0, 7)","(2, 3)","(4, 1)","(5, 2)","(None, None)",2046.5
1,Rated Bullet game,120+1,6k1/pp1b1p1p/1b1B1Q2/3B4/3P3N/2P3K1/PP4PP/r7 b - - 0 24,24,,white,outoftime,"(5, 6)","(0, 6)","(2, 5)","(None, None)","(None, None)","(7, 0)","(None, None)","(None, None)","(2, 3)","(1, 3)","(3, 3)","(2, 1)","(4, 7)","(None, None)","(None, None)","(None, None)",1362.0
2,Rated Blitz game,180+0,4B2r/6b1/5p1k/2p4Q/4pP2/8/PPP3RK/8 b - - 0 33,33,Queen,white,mate,"(6, 7)","(2, 7)","(3, 7)","(None, None)","(6, 6)","(0, 7)","(None, None)","(None, None)","(0, 4)","(1, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1870.5
3,Rated Bullet game,120+1,8/1kpp1N2/4p1n1/1p2Pp2/2n2Pp1/P3K1P1/8/8 w - - 2 38,38,,black,resign,"(5, 4)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(1, 5)","(2, 6)","(None, None)","(4, 2)",1741.0
4,Rated Blitz game,180+0,r3k3/1p3pp1/p1p5/3pN3/1P1P4/P1NP4/1R6/2K2q2 w q - 1 32,32,,black,outoftime,"(7, 2)","(0, 4)","(None, None)","(7, 5)","(6, 1)","(0, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 4)","(None, None)","(5, 2)","(None, None)",1066.5
5,Rated Blitz game,180+0,r4rk1/ppp1q1pp/2p2pn1/8/8/1P2P1Pb/PbPNNP1P/1R1QR1K1 b - - 1 14,14,,black,resign,"(7, 6)","(0, 6)","(7, 3)","(1, 4)","(7, 1)","(0, 0)","(7, 4)","(0, 5)","(None, None)","(5, 7)","(None, None)","(6, 1)","(6, 3)","(2, 6)","(6, 4)","(None, None)",1381.5
6,Rated Blitz game,180+0,8/8/8/5k2/3K4/6p1/1P2B3/8 b - - 0 51,51,,white,outoftime,"(4, 3)","(3, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(6, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1757.5
7,Rated Bullet game,120+0,8/5p1k/7P/8/4pK2/8/pb3P2/8 w - - 0 49,49,,black,outoftime,"(4, 5)","(1, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(6, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1545.5
8,Rated Classical game,300+8,4r3/6pk/R2p3p/2p5/5N2/1PB2N1P/1P2r1PK/8 b - - 0 31,31,,white,resign,"(6, 7)","(1, 7)","(None, None)","(None, None)","(2, 0)","(0, 4)","(None, None)","(6, 4)","(5, 2)","(None, None)","(None, None)","(None, None)","(4, 5)","(None, None)","(5, 5)","(None, None)",1853.5
9,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,8/6k1/7p/2Q2pn1/3Pq3/6PK/5P1P/8 w - - 7 42,42,Knight,black,mate,"(5, 7)","(1, 6)","(3, 2)","(4, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 6)","(None, None)","(None, None)",1767.0
10,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,1,,white,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1515.0
11,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,1r5k/4rQbp/4N1p1/3p4/2np1P1q/7P/PP4P1/R1BK3R w - - 1 22,22,,black,resign,"(7, 3)","(0, 7)","(1, 5)","(4, 7)","(7, 0)","(0, 1)","(7, 7)","(1, 4)","(7, 2)","(1, 6)","(None, None)","(None, None)","(2, 4)","(4, 2)","(None, None)","(None, None)",1962.0
12,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,8/5k2/4pp2/3p2pp/3Pn3/4P3/2r4P/4K3 w - - 0 36,36,,black,resign,"(7, 4)","(1, 5)","(None, None)","(None, None)","(None, None)","(6, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(4, 4)","(None, None)","(None, None)",1347.0
13,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,4Q3/5pk1/6p1/p1P4p/P7/7r/6K1/8 b - - 8 47,47,,white,outoftime,"(6, 6)","(1, 6)","(0, 4)","(None, None)","(None, None)","(5, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1581.0
