,0,1,2,3,4,5,6,7,8,9,10,11,topic_id,topic_txt,topics,title,filename,x,y,citations,journal,pub_date,authors,cited_by,n_cites
0,0.0,0.0,0.0,0.10462319105863573,0.4964670240879059,0.05513400211930275,0.0,0.33769506216049194,0.0,0.0,0.0,0.0,4,vaccine; antibody; pedv; pig; infection; response; porcine; epitope; antigen; strain,Topic: 4,neutralizing antibodies against porcine epidemic diarrhea virus block virus attachment and internalization,5e0c586f047ff909c8ed3fe171c8975a90608d08.json,-5.9787493,0.50591075,,Virol J,2018-08-30,"Gong, Lang; Lin, Ying; Qin, Jianru; Li, Qianniu; Xue, Chunyi; Cao, Yongchang",1910,1
2,0.0,0.0,0.0,0.5419544577598572,0.11366015672683714,0.03423544764518738,0.2006365805864334,0.0,0.0,0.0,0.10190083831548692,0.0,3,cell; infection; mouse; expression; induce; disease; level; increase; effect; lung,Topic: 3,potent inhibition of junín virus infection by interferon in murine cells,38aa050ad79d8a1d7022c33535255ce9d47914e5.json,-23.9187,3.0395904,,PLoS Negl Trop Dis,2014-06-05,"Huang, Cheng; Walker, Aida G.; Grant, Ashley M.; Kolokoltsova, Olga A.; Yun, Nadezhda E.; Seregin, Alexey V.; Paessler, Slobodan",1226,1
4,0.0,0.0,0.0,0.9556336402893066,0.0,0.0,0.0,0.03685170412063599,0.0,0.0,0.0,0.0,3,cell; infection; mouse; expression; induce; disease; level; increase; effect; lung,Topic: 3,microglia play a major role in direct viral-induced demyelination,7107f088cbed45d8a06a026276ccf4d602d50f10.json,-26.286314,15.281601,,Clin Dev Immunol,2013-06-20,"Chatterjee, Dhriti; Biswas, Kaushiki; Nag, Soma; Ramachandra, S. G.; Das Sarma, Jayasri","373,3240,3748",3
8,0.10744041204452516,0.0,0.0,0.0,0.30211350321769714,0.4977908730506897,0.0,0.0,0.0,0.03187885507941246,0.0,0.05803709849715232,5,sample; pcr; assay; detection; detect; rt; test; time; positive; ibv,Topic: 5,enhanced pathogenicity of low-pathogenic h9n2 avian influenza virus after vaccination with infectious bronchitis live attenuated vaccine,1d39fce3c09c95c13c9b8e18c1ab9a85c24ff7c6.json,0.60012263,7.9863990000000005,,Vet World,2018-07-24,"Ismail, Zainab Mohamed; EL-Deeb, Ayman Hanea; EL-Safty, Mounir Mohamed; Hussein, Hussein Aly","2001,4112",2
12,0.0,0.2401939183473587,0.0,0.1826434284448624,0.017658466473221782,0.0,0.0,0.2441199868917465,0.2571524679660797,0.0,0.05405015125870705,0.0,8,cov; sars; mers; bat; coronavirus; human; mers_cov; respiratory; syndrome; respiratory_syndrome,Topic: 8,cleavage of a neuroinvasive human respiratory virus spike glycoprotein by proprotein convertases modulates neurovirulence and virus spread within the central nervous system,dacc557b6e40bb69974e2e1a831aef665e524867.json,-4.33539,-11.711446,"4175,4256",PLoS Pathog,2015-11-06,"Le Coupanec, Alain; Desforges, Marc; Meessen-Pinard, Mathieu; Dubé, Mathieu; Day, Robert; Seidah, Nabil G.; Talbot, Pierre J.","1455,1646,1766,2429",4
14,0.0,0.0,0.1794254034757614,0.0,0.17742913961410522,0.0,0.0,0.0,0.6229239106178284,0.0,0.0,0.0,8,cov; sars; mers; bat; coronavirus; human; mers_cov; respiratory; syndrome; respiratory_syndrome,Topic: 8,seroconversion to hcov-nl63 in rhesus macaques,ec4a332b863ec8c1bbf94d605b17c67acddf0889.json,13.421104999999999,4.838936299999999,,Viruses,2009-10-30,"Dijkman, Ronald; Mulder, H. Lie; Rumping, Lynne; Kraaijvanger, Ilse; Deijs, Martin; Jebbink, Maarten F.; Verschoor, Ernst J.; van der Hoek, Lia","493,1012",2
17,0.02695072256028652,0.0,0.016972413286566734,0.15201444923877716,0.0,0.08528809994459152,0.7151830196380615,0.0,0.0,0.0,0.0,0.0,6,infection; response; viral; host; gene; immune; protein; ifn; pathway; expression,Topic: 6,a balanced game: chicken macrophage response to alv-j infection,70da3ee5739197acb1879c1d23606681aaac2e1c.json,-27.97037700000001,-11.431938,"370,2979,2523",Vet Res,2019-03-06,"Feng, Min; Xie, Tingting; Li, Yuanfang; Zhang, Nan; Lu, Qiuyuan; Zhou, Yaohong; Shi, Meiqing; Sun, Jingchen; Zhang, Xiquan",996,1
21,0.0,0.0,0.0,0.221538245677948,0.05422287434339523,0.0,0.0,0.14941860735416412,0.0,0.10245739668607713,0.467368870973587,0.0,10,rna; viral; protein; replication; cell; host; infection; genome; dengue; strand,Topic: 10,an analogue of the antibiotic teicoplanin prevents flavivirus entry in vitro,ff218f343fbca258501ba42368ecbb57660e5a8f.json,-13.995194,-9.362867,,PLoS One,2012-05-18,"De Burghgraeve, Tine; Kaptein, Suzanne J. F.; Ayala-Nunez, Nilda V.; Mondotte, Juan A.; Pastorino, Boris; Printsevskaya, Svetlana S.; de Lamballerie, Xavier; Jacobs, Michael; Preobrazhenskaya, Maria; Gamarnik, Andrea V.; Smit, Jolanda M.; Neyts, Johan",4309,1
22,0.0,0.020698491483926773,0.0,0.259423166513443,0.4877643287181854,0.0,0.0,0.08661384135484695,0.0,0.1395767778158188,0.0,0.0,4,vaccine; antibody; pedv; pig; infection; response; porcine; epitope; antigen; strain,Topic: 4,a human monoclonal antibody against hepatitis b surface antigen with potent neutralizing activity,98e35a687137cb2b91458118347ad93f7ad188fb.json,-8.538468,7.424998299999999,,PLoS One,2015-04-29,"Cerino, Antonella; Bremer, Corinna M.; Glebe, Dieter; Mondelli, Mario U.","2540,4252",2
24,0.07779882848262787,0.0,0.0,0.4623049795627594,0.208918035030365,0.06168307363986969,0.033955462276935584,0.0,0.0,0.0,0.0,0.1506016105413437,3,cell; infection; mouse; expression; induce; disease; level; increase; effect; lung,Topic: 3,persistent foot-and-mouth disease virus infection in the nasopharynx of cattle; tissue-specific distribution and local cytokine expression,f9410459142b63fb34eac0375dda7d9b6460b3fe.json,-12.996057,13.307681,,PLoS One,2015-05-21,"Pacheco, Juan M.; Smoliga, George R.; O’Donnell, Vivian; Brito, Barbara P.; Stenfeldt, Carolina; Rodriguez, Luis L.; Arzt, Jonathan",4238,1
