elevation,temperature,speed,fuel,battery
660,296,31.7,83,76
596,280,22.6,78,80
711,267,23.3,81,81
549,310,26.6,79,84
765,334,24.1,81,80
748,305,31.2,79,82
667,333,31.7,77,80
690,261,33.3,84,80
552,246,23.2,80,79
619,275,29.8,77,80
638,293,29.4,80,83
772,347,22.4,79,81
623,284,25.6,80,83
740,258,25.2,79,80
684,239,31.4,80,80
757,282,25.5,77,78
627,238,33.1,83,76
550,342,23.2,78,84
604,278,22.7,76,76
561,283,32.0,80,78
709,311,26.0,76,80
547,249,32.5,81,82
739,300,23.1,77,76
578,270,31.2,80,76
653,270,30.1,79,84
716,246,27.6,80,84
735,309,25.8,82,78
667,277,25.8,82,76
570,291,28.6,77,80
674,295,22.7,76,79
662,287,32.3,83,81
735,259,31.2,83,84
620,341,32.8,82,77
686,273,31.6,81,79
757,318,32.1,78,82
569,323,32.0,80,76
776,342,29.9,76,79
676,268,28.4,82,78
528,270,31.8,77,81
638,253,32.9,80,77
779,347,28.8,76,76
667,269,27.0,84,77
770,306,31.2,81,82
605,242,29.1,79,80
775,335,25.8,80,77
640,256,31.6,78,83
602,257,30.7,77,82
694,246,25.6,80,80
777,262,30.4,82,78
743,296,24.4,79,82
548,304,29.8,79,78
663,271,30.0,81,80
666,248,25.3,83,83
658,271,26.5,78,78
765,290,29.1,76,77
592,282,30.3,79,81
752,241,30.2,77,84
655,302,24.0,80,77
574,297,25.7,84,78
566,275,31.7,84,81
