,Country,Milk - Excluding Butter,Oilcrops,Eggs,Starchy Roots,Meat,Vegetables,Fruits - Excluding Wine,"Aquatic Products, Other",Treenuts,Spices,Pulses,Alcoholic Beverages,Cereals - Excluding Beer,Animal fats,Vegetable Oils,Offals,Sugar & Sweeteners,"Fish, Seafood",Stimulants,Obesity,total_cases_per_million,total_deaths_per_million,life_expectancy,human_development_index,population_density,median_age,gdp_per_capita,cardiovasc_death_rate,Alcoholic Beverages above avg,Vegetables above avg,Obesity above avg,id,iso_a3
0,Austria,230.63,5.0,14.69,56.92,87.22,95.21,85.84,0.02,4.41,0.92,0.85,130.83,115.74,15.94,15.11,1.96,48.62,14.09,7.65,21.9,56786.285,1005.063,81.54,0.922,106.749,44.4,45436.685999999994,145.183,1,0,0,AUT,AUT
1,Belgium,236.39,1.96,13.18,89.72,65.77,138.49,84.57,0.02,2.66,0.83,2.3,109.17,135.53,17.39,11.46,4.44,74.19,23.01,5.0,24.5,71438.174,1954.336,81.63,0.9309999999999999,375.564,41.8,42658.575999999994,114.898,1,1,0,BEL,BEL
2,Bulgaria,168.78,5.02,8.62,27.03,58.31,90.27,57.93,0.15,1.16,8.8,2.2,103.07,129.14,3.62,10.31,4.45,34.38,7.05,4.1,27.4,43532.042,1722.112,75.05,0.816,65.18,44.7,18563.307,424.68800000000005,1,0,1,BGR,BGR
3,Croatia,242.15,7.12,8.06,36.84,75.29,255.12,69.48,0.01,1.55,0.48,0.76,101.58,117.64,4.68,7.76,3.85,62.93,18.74,5.01,27.1,62554.99,1401.37,78.49,0.851,73.726,44.0,22669.797000000002,253.782,0,1,1,HRV,HRV
4,Cyprus,113.33,5.6,7.87,24.25,72.82,101.2,84.89,0.02,2.44,0.42,2.89,47.18,96.76,0.38,16.35,2.17,57.79,24.94,3.27,22.6,47816.015,276.288,80.98,0.887,127.65700000000001,37.3,32415.132,141.171,0,0,0,CYP,CYP
5,Czech Republic,190.93,1.65,8.63,59.09,82.78,78.73,59.04,0.01,0.83,0.55,1.98,171.23,98.98,15.55,17.13,2.33,66.2,9.31,2.33,28.5,136278.686,2290.601,79.38,0.9,137.17600000000002,43.3,32605.906000000003,227.485,1,0,1,CZE,CZE
6,Denmark,307.03,2.28,15.79,59.87,70.82,100.89,59.84,0.02,2.19,1.49,0.71,94.03,129.36,23.89,1.76,6.44,55.28,22.7,7.83,21.3,38938.552,414.35,80.9,0.94,136.52,42.3,46682.515,114.76700000000001,0,0,0,DNK,DNK
7,Estonia,357.43,1.07,12.69,66.92,63.63,102.35,72.41,0.01,1.83,1.19,3.04,127.94,131.14,9.41,7.17,3.01,49.33,14.72,4.38,23.8,70882.198,587.996,78.74,0.892,31.033,42.7,29481.252,255.56900000000002,1,0,0,EST,EST
8,Finland,457.7,1.94,8.74,60.78,76.69,84.18,69.99,0.0,1.01,0.37,1.17,98.85,114.17,11.4,5.42,2.41,40.39,33.62,11.97,24.9,12836.423,145.28799999999998,81.91,0.938,18.136,42.8,40585.721,153.507,0,0,0,FIN,FIN
9,France,260.11,2.79,11.53,50.88,83.04,96.66,92.05,0.02,3.95,0.31,1.87,78.56,132.0,14.92,16.37,5.68,49.27,34.37,5.52,23.2,63281.825,1354.338,82.66,0.9009999999999999,122.57799999999999,42.0,38605.671,86.06,0,0,0,FRA,FRA
10,Germany,267.52,3.21,11.22,67.38,87.78,95.36,68.17,0.02,3.59,0.81,0.79,127.76,113.89,12.67,15.29,1.41,47.3,12.75,6.59,25.7,31858.526,891.6510000000001,81.33,0.9470000000000001,237.016,46.6,45229.245,156.139,1,0,1,DEU,DEU
11,Greece,227.79,15.37,8.6,59.32,71.69,149.94,119.93,0.01,12.65,0.46,4.81,43.35,137.94,4.01,28.87,3.69,33.62,19.44,4.85,27.4,22604.791,711.9789999999999,82.24,0.888,83.479,45.3,24574.382,175.695,0,1,1,GRC,GRC
12,Hungary,190.82,1.04,13.61,46.66,79.72,86.99,47.26,0.01,0.28,2.76,2.92,103.45,116.28,16.23,11.05,0.08,38.96,6.3,1.58,28.6,58069.428,1870.326,76.88,0.8540000000000001,108.04299999999999,43.4,26777.561,278.296,1,0,1,HUN,HUN
13,Ireland,234.4,3.4,9.13,69.38,78.68,97.14,66.7,0.01,1.64,0.71,2.6,148.53,123.72,17.09,14.71,1.63,78.77,23.43,3.64,26.9,46545.26,928.552,82.3,0.955,69.874,38.7,67335.293,126.459,1,0,1,IRL,IRL
14,Italy,228.47,3.46,11.77,35.88,80.95,130.88,113.44,0.01,7.97,0.12,5.24,60.09,160.94,5.34,26.8,2.25,32.36,29.8,5.55,22.9,55511.57,1730.7120000000002,83.51,0.892,205.859,47.9,35220.084,113.15100000000001,0,1,0,ITA,ITA
15,Latvia,222.34,2.08,12.49,123.75,68.72,116.44,48.38,0.01,1.49,0.23,0.06,102.58,120.21,22.19,13.14,3.17,49.19,24.86,3.69,25.7,51505.087999999996,965.432,75.29,0.866,31.212,43.9,25063.846,350.06,1,1,1,LVA,LVA
