City,Country,Lat,Long,high mcmeal at mcdonalds (or equivalent combo meal),low mcmeal at mcdonalds (or equivalent combo meal),high domestic beer (0.5 liter draught),low domestic beer (0.5 liter draught),high water (1.5 liter bottle),low water (1.5 liter bottle),high cappuccino (regular),low cappuccino (regular),high apartment (1 bedroom) in city centre,low apartment (1 bedroom) in city centre,high apartment (1 bedroom) outside of centre,low apartment (1 bedroom) outside of centre,"high basic (electricity, heating, cooling, water, garbage) for 85m2 apartment","low basic (electricity, heating, cooling, water, garbage) for 85m2 apartment","high internet (60 mbps or more, unlimited data, cable/adsl)","low internet (60 mbps or more, unlimited data, cable/adsl)","high fitness club, monthly fee for 1 adult","low fitness club, monthly fee for 1 adult",high average monthly net salary (after tax),low average monthly net salary (after tax),high cost of living index,low cost of living index,high purchasing power index,low purchasing power index,high safety index,low safety index,high health care index,low health care index,high pollution index,low pollution index,high logged gdp per capita,low logged gdp per capita,high social support,low social support,high healthy life expectancy,low healthy life expectancy,high freedom to make life choices,low freedom to make life choices,high generosity,low generosity,high perceptions of corruption,low perceptions of corruption,high population,low population,high employment,low employment,high startup,low startup,high tourism,low tourism,high housing,low housing,high transport,low transport,high health,low health,high food,low food,high internet speed,low internet speed,high access to contraception,low access to contraception,high gender equality,low gender equality,high immigration tolerance,low immigration tolerance,high lgbt friendly,low lgbt friendly,high nightscene,low nightscene,high beer,low beer,high festival,low festival,high avgtemperature,low avgtemperature
Istanbul,Turkey,41.01,28.9603,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
Helsinki,Finland,60.1756,24.9342,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True
Milan,Italy,45.4669,9.19,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
Guadalajara,Mexico,20.6767,-103.3475,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False
Mexico City,Mexico,19.4333,-99.1333,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False
Rome,Italy,41.8931,12.4828,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False
Monterrey,Mexico,25.6667,-100.3,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False
Amsterdam,Netherlands,52.35,4.9166,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
Paris,France,48.8566,2.3522,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True
Austin,United States,30.3004,-97.7522,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False
