City,Country,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Water (1.5 liter bottle),Cappuccino (regular),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Average Monthly Net Salary (After Tax),Cost of Living Index,Purchasing Power Index,Safety Index,Health Care Index,Pollution Index,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Lat,Long,Population,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival,AvgTemperature
Istanbul,Turkey,3.82,3.06,0.33,1.84,291.55,177.72,59.33,14.2,25.1,436.0,0.23,0.22,0.52,0.69,0.69,10.12941933,0.826313555,66.90281677,0.608830452,0.1298609369999999,0.748197377,41.01,28.9603,15154000.0,0.08,0.19,0.96,0.8400000000000001,0.16,0.1,0.92,0.08,0.05,0.02,0.06,0.16,0.6,0.74,0.05,15.308703134778405
Helsinki,Finland,8.0,6.5,1.54,3.87,986.93,758.13,82.66,22.31,34.54,2382.56,0.54,0.55,0.75,0.77,0.13,10.63926697,0.954329729,71.9008255,0.949172199,0.2414253539999999,0.195444584,60.1756,24.9342,642045.0,0.42,0.73,0.5700000000000001,0.31,0.96,0.4,0.42,0.67,0.76,1.0,0.98,0.8,0.3,0.11,0.74,5.282670890937019
Milan,Italy,8.0,5.0,0.4,1.46,1099.67,731.69,163.97,28.93,66.62,1601.0,0.56,0.34,0.56,0.72,0.67,10.48183632,0.889878571,73.60168457,0.66465199,0.257446374,0.873404682,45.4669,9.19,1351562.0,0.35,0.63,0.8699999999999999,0.37,0.93,0.9,0.29,0.24,0.1,0.3,0.3299999999999999,0.02,0.4,0.27,0.36,12.520038260226434
Guadalajara,Mexico,4.25,1.43,0.73,1.99,309.42,186.98,22.64,27.53,24.59,498.68,0.23,0.25,0.38,0.79,0.66,9.797797203,0.838665426,68.29902649,0.858709276,0.1256407499999999,0.806821585,20.6767,-103.3475,5253000.0,0.72,0.36,0.58,1.0,0.3299999999999999,0.1399999999999999,0.96,0.01,0.4599999999999999,0.24,0.1,0.2799999999999999,0.4,0.96,0.19,17.262512089662632
Mexico City,Mexico,4.77,1.91,0.66,2.0,550.18,342.38,30.09,26.34,49.56,596.3,0.27,0.25,0.31,0.65,0.83,9.797797203,0.838665426,68.29902649,0.858709276,0.1256407499999999,0.806821585,19.4333,-99.1333,20996000.0,0.52,0.25,0.5900000000000001,0.8800000000000001,0.39,0.1399999999999999,0.95,0.4,0.4599999999999999,0.24,0.1,0.31,0.3,0.94,0.1,16.665065141946865
Rome,Italy,8.0,5.0,0.38,1.28,987.37,679.27,171.15,29.64,57.77,1466.06,0.53,0.33,0.48,0.59,0.67,10.48183632,0.889878571,73.60168457,0.66465199,0.257446374,0.873404682,41.8931,12.4828,2872800.0,0.1399999999999999,0.2,0.93,0.38,0.44,0.9,0.4,0.4599999999999999,0.1,0.3,0.3299999999999999,0.04,0.45,0.49,0.2799999999999999,15.104677988280137
Monterrey,Mexico,4.31,1.68,0.79,2.28,342.55,207.9,49.81,25.84,34.28,695.46,0.27,0.31,0.5,0.67,0.72,9.797797203,0.838665426,68.29902649,0.858709276,0.1256407499999999,0.806821585,25.6667,-100.3,4295000.0,0.64,0.3299999999999999,0.42,0.99,0.36,0.1399999999999999,0.94,0.5599999999999999,0.4599999999999999,0.24,0.1,0.11,0.3,0.95,0.25,21.66214548842238
Amsterdam,Netherlands,8.0,5.0,0.83,3.13,1584.45,1195.63,169.18,40.47,36.67,2646.66,0.58,0.53,0.66,0.7,0.31,10.81271172,0.93913883,72.30091858,0.908547819,0.5085198129999999,0.364717126,52.35,4.9166,1031000.0,0.4,0.89,0.8400000000000001,0.1699999999999999,0.8,0.7,0.45,0.71,0.5599999999999999,0.8,0.8,1.0,0.73,0.52,0.82,9.982290066564257
Paris,France,8.7,7.0,0.9,3.4,1177.51,837.76,170.29,27.15,39.98,2215.02,0.63,0.46,0.47,0.79,0.65,10.58422279,0.937103748,73.80193329,0.825467646,0.1702654059999999,0.583521128,48.8566,2.3522,11020000.0,0.1699999999999999,0.85,0.97,0.19,0.97,1.0,0.1399999999999999,0.74,0.85,0.76,0.3,0.77,1.0,0.1,0.45,11.213639628491778
Austin,United States,7.19,4.49,1.38,3.95,1581.66,995.9,124.12,55.38,34.53,4097.92,0.42,0.86,0.64,0.71,0.36,10.92576885,0.914219022,68.29949951,0.842619538,0.450799107,0.699715316,30.3004,-97.7522,1687311.0,0.8400000000000001,0.97,0.47,0.2,0.27,0.3,0.22,1.0,0.6,0.4,0.4,0.3299999999999999,0.3,0.5700000000000001,0.8800000000000001,20.4018024264664
