Batch,Diameter,Etch1,Film-Thickness,Etch2,Line-Width,Overlay,Volume
1,0.429,0.43025,49512,308.75,810,1759,315.5
2,0.421,0.433,47101,306.75,824,1746,305.5
3,0.417,0.4285,60023,311.75,765,1482,330.5
4,0.421,0.43775,55428,322.75,933,1857,319.5
5,0.421,0.41725,46442,312.5,686,1844,323.5
6,0.425,0.44075,45539,309.25,1400,1584,314.5
7,0.421,0.42275,51492,311.75,864,1689,319.5
8,0.425,0.43175,47661,301,858,1782,299
9,0.427,0.44225,70638,304.25,252,1572,319.5
10,0.421,0.42875,45944,339.75,255,1377,289
11,0.421,0.43925,56955,330.25,968,1848,315.5
12,0.417,0.4245,37616,314,473,1689,318.5
13,0.421,0.43175,47953,321.25,840,1528,305.5
14,0.427,0.4295,51891,331.75,1034,1913,316.5
15,0.425,0.43025,42608,306,784,1648,298.5
16,0.425,0.44275,60625,316,796,1470,320
17,0.427,0.4275,42359,295.5,746,1398,306.5
18,0.421,0.43925,46554,307.25,1245,1452,304
19,0.421,0.44575,49564,315,728,1377,314.5
20,0.421,0.4425,47824,318.5,870,1433,304
21,0.421,0.43,48516,305.5,842,1573,298.5
22,0.425,0.42675,75703,306,654,1349,307
23,0.433,0.439,53064,314,1003,1732,317.5
24,0.421,0.4215,51152,304,740,1578,307
25,0.421,0.42675,45172,314.5,821,1507,325
26,0.421,0.4275,49898,297.5,620,1628,297.5
27,0.421,0.43825,43420,315.25,200,1440,303
28,0.421,0.4575,49625,318.5,729,1482,316
29,0.417,0.427,48163,314.25,700,1512,319
30,0.421,0.431,46619,310,870,1578,311
31,0.4213,0.43125,48532,305.75,595,1559,303.5
32,0.425,0.443,53965,316.25,943,1979,310.5
33,0.421,0.42975,49753,318.5,929,1755,312.5
34,0.425,0.4305,48741,305.5,831,1610,307
35,0.421,0.44325,54110,310.25,936,1878,301
36,0.421,0.45425,66539,329.25,952,1580,314.5
37,0.433,0.4405,49898,304,961,1792,316.5
38,0.417,0.4345,44963,315.75,742,1223,303
39,0.421,0.4385,47454,311.5,794,1738,307.5
40,0.421,0.449,45574,326.75,901,1550,320.5
41,0.421,0.4485,47744,311.5,852,1498,313.5
42,0.419,0.4345,73536,307,749,1356,301.5
43,0.421,0.42775,47069,304.75,962,1442,306
44,0.421,0.4385,48274,312.75,662,1530,305.5
45,0.425,0.424,45622,298.5,733,1547,296.5
46,0.421,0.4345,49046,311.5,707,1416,306.5
47,0.433,0.451,55492,320.5,900,1601,317
48,0.421,0.43725,47582,310.25,898,1381,300
49,0.421,0.43125,48387,312.5,915,1750,298.5
50,0.425,0.432,50200,339.75,892,1824,310.5
51,0.421,0.4415,50477,308.25,611,1437,314
52,0.421,0.43725,46715,319,621,1255,309.5
53,0.421,0.427,48242,315.25,898,1894,308.5
54,0.425,0.44275,53676,311.75,616,1517,321
55,0.423,0.42875,44882,305,850,1528,306.5
56,0.421,0.44,50493,310,817,1614,311
57,0.433,0.43725,55654,299.5,770,1617,300.5
58,0.421,0.43825,51200,306,852,1764,312.5
59,0.425,0.43925,54512,314.25,831,1797,328.5
60,0.421,0.44525,44352,303,656,1393,314.5
61,0.421,0.42975,49705,316.75,864,1648,314.5
62,0.421,0.43425,44480,298.25,716,1540,295
63,0.429,0.44275,50718,318.25,1029,1718,304.5
64,0.421,0.451,48435,323.5,691,1587,316
65,0.425,0.44125,53596,307,840,1904,312.5
66,0.421,0.44975,48387,321.25,721,1362,312.5
67,0.429,0.438,46301,301.25,793,1323,317.5
68,0.425,0.44775,45890,312.25,872,1393,312.5
69,0.417,0.43175,44850,312.75,831,1400,300
70,0.425,0.42225,42873,311.75,679,1220,303
71,0.425,0.434,43388,314.75,808,1202,320.5
72,0.421,0.43175,42391,301,667,1402,289.5
73,0.417,0.43775,47760,306,730,1503,314.5
74,0.425,0.43075,54399,305.25,821,1759,324
75,0.418,0.4335,51360,303,821,1642,304.5
76,0.421,0.445,60484,314.5,1029,1839,304.5
77,0.425,0.44375,55800,315,654,1610,314
78,0.421,0.44875,53611,316.75,609,1479,307
79,0.421,0.45475,53756,316,768,1648,323.5
80,0.417,0.449,53756,321.5,786,1440,317
81,0.417,0.4375,48226,316,854,1629,312.5
82,0.425,0.4385,49689,313.25,777,1535,316.5
83,0.418,0.437,42262,307.25,1025,1307,306.5
84,0.417,0.43675,44706,300.75,695,1351,310.5
85,0.417,0.4375,43146,308.75,714,1526,292.5
86,0.417,0.442,53048,306.75,662,1519,313.5
87,0.421,0.43175,48740,311.25,840,1542,298
88,0.417,0.43925,48290,307.5,656,1430,324
89,0.417,0.437,49110,309.5,723,1631,312.5
90,0.421,0.4225,46233,300,791,1507,299.5
91,0.417,0.455,48580,312,819,1533,324.5
92,0.421,0.458,52052,315.5,805,1545,318
93,0.417,0.4345,54126,299.5,774,1684,305
94,0.421,0.4425,52824,320.75,940,1671,323
95,0.421,0.435,46120,310,751,1334,311.5
96,0.421,0.43975,50959,319.25,679,1482,311.5
97,0.429,0.4455,58096,315.5,656,1852,328.5
98,0.433,0.44775,50059,321,653,1454,310
99,0.425,0.44575,54046,315.75,704,1264,327.5
100,0.421,0.439,49898,315.5,751,1552,310.5
101,0.429,0.44975,57244,323.25,985,1853,320.5
102,0.421,0.43325,45429,296,866,1407,306
103,0.429,0.443,47808,301.25,1062,1703,306.5
104,0.421,0.4445,48146,318.75,1003,1656,302
105,0.421,0.4385,52518,308.25,788,1699,305.5
106,0.421,0.4435,55267,318,998,1710,322.5
107,0.421,0.44,47262,311,639,1298,304
108,0.421,0.42675,50396,312.75,803,1760,304.5
109,0.425,0.43425,49673,298.5,845,1614,291
110,0.42419,0.439,47374,306.5,847,1652,319
111,0.417,0.43975,49223,315.5,590,1570,311
112,0.421,0.44475,54480,310.25,570,1479,312
113,0.421,0.437,45609,312,819,1465,301
114,0.425,0.439,54560,302.5,625,1437,304.5
115,0.421,0.435,51280,303.25,709,1704,305
116,0.429,0.4445,52808,317.25,681,1727,310
117,0.427,0.436475,47583,314.25,719,1404,320
118,0.429,0.441,48918,311.5,814,1647,305.5
119,0.429,0.4435,53113,305.25,606,1390,315
120,0.421,0.443,49062,305.75,765,1577,304
121,0.417,0.44925,51136,309.5,791,1547,616
122,0.417,0.4395,49110,311.75,649,1414,586
123,0.421,0.436,53483,312.75,579,1521,306
124,0.417,0.43475,50557,312.5,912,1545,307.5
125,0.417,0.4305,46410,305,942,1608,298
126,0.421,0.4395,50204,311.5,836,1701,315
127,0.417,0.43775,44754,317.75,940,1362,312.5
128,0.421,0.438,46233,313.25,793,1398,302
129,0.417,0.43975,44095,301.25,663,1379,300.5
130,0.419,0.42375,45799,307.5,684,1500,299.5
131,0.419,0.45375,55317,323.25,650,1510,320
132,0.417,0.433,46426,302.25,625,1349,314
133,0.417,0.441,53917,315,719,1829,305.5
134,0.417,0.43125,53097,307.25,614,1410,305
135,0.421,0.4365,48532,312,744,1484,301.5
136,0.417,0.41475,46024,308.25,536,1489,301
137,0.421,0.4315,44513,307.25,796,1486,311
138,0.421,0.43575,49942,312.5,924,1664,298.5
139,0.419,0.42475,50284,311.75,714,1545,310.5
140,0.421,0.436,44384,308,803,1339,310
141,0.417,0.43875,51763,309,598,1437,311
142,0.419,0.45425,52711,321.5,662,1393,311.5
143,0.421,0.44675,53370,314.75,858,1802,322.5
144,0.417,0.4325,48275,307.75,642,1578,300
145,0.417,0.4415,45429,311.75,662,1407,299
146,0.429,0.439,49705,305.25,710,1554,299
147,0.419,0.44175,47703,305.75,824,1680,318.5
148,0.417,0.42375,40944,300.75,688,1363,292.5
149,0.421,0.43,44738,301.5,684,1328,306.5
150,0.421,0.44825,48741,308.5,704,1550,325
151,0.421,0.4385,46940,312,728,1466,307
152,0.425,0.4455,55176,313.25,766,1713,308.5
153,0.421,0.433,39594,306,749,1129,309.5
154,0.421,0.437329,49416,311.25,714,1335,309.5
155,0.425,0.44275,48258,318.75,872,1421,313.5
