Batch,Speed,BatchQty,Para1Tgt,Para1,Para2Tgt,Para2,Para3,Para4,Para5,Para6,Para7,Para8,Para9,Para10,Para11,Para12,Para13,Para14,Para15,Para16,Para17,Para18,Para19,Para20,Para21,Para22,Para23
1,84,26,0.429,0.43025,317,324,314,49512,1759,0.42775,308.75,21557,810,0.4275,309,840,0.425,315.5,1564,75,25.52325581,55.42857143,4.074505239,0.26,0.62,0.588235294,23
2,100,26,0.421,0.433,317,319,400,47101,1746,0.43375,306.75,20512,824,0.4305,309,756,0.431,305.5,784,64.5,31.6,59.34065934,2.097505669,0.34,0.77,0.839907193,22
3,102,34,0.417,0.4285,317,323,316,60023,1482,0.428,311.75,24933,765,0.4325,319.75,863,0.4375,330.5,1166,76.3,27.47068677,44.27083333,2.888503755,0.33,0.78,0.681710214,24
4,96,21,0.421,0.43775,316,322,332,55428,1857,0.43925,322.75,24997,933,0.4375,321.5,780,0.4395,319.5,1362,71.58333333,26.38966873,55.55555556,2.392344498,0.35,0.63,0.65437788,22
5,94,23,0.421,0.41725,317,321,313,46442,1844,0.4185,312.5,20850,686,0.42175,305.75,791,0.4245,323.5,1334,60.15,28.84500299,47.31182796,2.951191827,0.23,0.66,0.722090261,22
6,98,97,0.425,0.44075,317,320,312,45539,1584,0.43875,309.25,20866,1400,0.445,311.25,684,0.445,314.5,868,55.16666667,36.03603604,68.92655367,2.37700387,0.31,0.78,0.702031603,20
7,98,43,0.421,0.42275,317,320,314,51492,1689,0.42625,311.75,20352,864,0.427,317.75,912,0.43,319.5,886,63.5,25.54285714,50.81081081,2.36653825,0.32,0.55,0.769931663,20
8,94,25,0.425,0.43175,317,321,310,47661,1782,0.428,301,21991,858,0.4325,307.75,812,0.435,299,984,61.33333333,47.98619102,62.90322581,1.81200453,0.44,0.52,0.687943262,20
9,102,65,0.427,0.44225,317,321,316,70638,1572,0.44,304.25,20352,252,0.446,319.5,901,0.441,319.5,1082,64.83333333,33.22014714,56.98924731,1.672433679,0.34,0.6,0.664444444,20
10,94,15,0.421,0.42875,317,321,304,45944,1377,0.4335,339.75,21059,255,0.4295,308,677,0.425,289,945,59.5,29.93555946,45.25139665,1.952662722,0.28,0.59,0.712230216,20
11,98,40,0.421,0.43925,317,325,330,56955,1848,0.43675,330.25,26300,968,0.4415,336.25,856,0.435,315.5,945,56.56666667,37.69363167,54.05405405,3.058438012,0.25,0.76,0.600431965,20
12,104,35,0.417,0.4245,317,320,312,37616,1689,0.431,314,20496,473,0.431,314,854,0.434,318.5,1127,52.16666667,32.51318102,56.7251462,1.87820148,0.29,0.77,0.811320755,20
13,95,46,0.421,0.43175,317,320,310,47953,1528,0.4325,321.25,23470,840,0.43125,318,763,0.429,305.5,1362,66.98333333,29.3202765,53.47593583,1.962983735,0.27,0.58,0.637813212,21
14,65,83,0.427,0.4295,317,320,324,51891,1913,0.43025,331.75,24162,1034,0.4305,326.5,947,0.4335,316.5,1554,87,23.18757192,43.40659341,2.306425041,0.25,0.73,0.583138173,20
15,98,23,0.425,0.43025,3178,323,304,42608,1648,0.43125,306,21638,784,0.431,305.5,978,0.4295,298.5,1194,64,29.19075145,56.66666667,2.628571429,0.5,0.75,0.787185355,20
16,94,40,0.425,0.44275,317,321,312,60625,1470,0.44425,316,21107,796,0.445,320.75,870,0.443,320,1533,71.66666667,36.2400906,60.42780749,2.155172414,0.31,0.86,0.767184035,22
17,80,36,0.427,0.4275,317,321,296,42359,1398,0.41975,295.5,16563,746,0.42525,303.75,814,0.419,306.5,1200,81.5,25.40869565,53.21637427,2.75175644,0.36,0.73,0.58411215,20
18,102,58,0.421,0.43925,311,320,310,46554,1452,0.43875,307.25,22554,1245,0.43875,310,768,0.439,304,772,55.73333333,37.79036827,61.08108108,2.559821925,0.36,0.91,0.600896861,20
19,102,29,0.421,0.44575,315,319,318,49564,1377,0.4445,315,22634,728,0.446,321.25,680,0.4415,314.5,861,59.68333333,42.80022766,74.28571429,0.576036866,0.32,0.85,0.915367483,19
20,104,68,0.421,0.4425,317,322,305,47824,1433,0.4405,318.5,21123,870,0.4395,317,770,0.4375,304,1120,53.5,45.70637119,71.18644068,1.840490798,0.36,0.71,0.856512141,19
21,94,119,0.421,0.43,313,319,303,48516,1573,0.4315,305.5,23422,842,0.43175,308,872,0.428,298.5,1232,75.95,36.45348837,61.32596685,1.881246326,0.42,0.92,0.656612529,20
22,92,56,0.425,0.42675,317,320,308,75703,1349,0.42825,306,20288,654,0.4255,309.5,690,0.427,307,1400,69.83333333,38.59020311,53.84615385,1.366742597,0.4,0.71,0.735981308,20
23,75,40,0.433,0.439,314,321,318,53064,1732,0.43775,314,24708,1003,0.4375,316,768,0.4365,317.5,1536,92.66666667,26.65897288,53.72340426,1.022604952,0.39,0.76,0.6367713,22
24,98,32,0.421,0.4215,317,324,312,51152,1578,0.42375,304,20818,740,0.421,303.25,704,0.427,307,1480,53.96666667,29.01734104,48.8372093,2.949681897,0.43,0.62,0.866995074,19
25,98,50,0.421,0.42675,317,318,311,45172,1507,0.428,314.5,21091,821,0.42675,310.5,845,0.4325,325,1516,81,24.85448196,43.85026738,2.362204724,0.38,0.74,0.651658768,20
26,100,60,0.421,0.4275,317,320,308,49898,1628,0.425,297.5,20512,620,0.42325,302.5,616,0.4215,297.5,1575,57.33333333,32.42320819,66.11111111,1.922020868,0.31,0.77,0.634844869,19
27,98,40,0.421,0.43825,317,321,315,43420,1440,0.439,315.25,24596,200,0.4395,306.25,733,0.442,303,1550,65.16666667,24.29313329,41.30434783,2.223489168,0.37,0.54,0.638826185,18
28,102,57,0.421,0.4575,317,326,318,49625,1482,0.46125,318.5,23615,729,0.46025,316.5,660,0.4475,316,1026,45,36.76222597,56.98324022,1.038661281,0.27,0.58,0.417607223,22
29,102,35,0.417,0.427,317,323,315,48163,1512,0.4315,314.25,21975,700,0.42775,314.25,856,0.4385,319,1190,63.2,34.61084906,54.3956044,2.795208214,0.21,0.89,0.793911007,19
30,98,52,0.421,0.431,317,322,309,46619,1578,0.43,310,20560,870,0.4305,308.5,886,0.4325,311,1278,68.83333333,35.57199772,56.75675676,1.428571429,0.37,0.76,0.678321678,18
31,96,47,0.4213,0.43125,317,323,310,48532,1559,0.428,305.75,17956,595,0.42975,303.5,802,0.43,303.5,910,65.7,39.87268519,58.98876404,1.474758934,0.24,0.62,0.687793427,18
32,96,55,0.425,0.443,317,321,320,53965,1979,0.44075,316.25,23390,943,0.44,314,828,0.4405,310.5,1074,82.5,28.96983495,51.06382979,2.285714286,0.17,0.6,0.799097065,20
33,100,27,0.421,0.42975,317,323,319,49753,1755,0.42775,318.5,21959,929,0.4305,321.75,864,0.429,312.5,724,76.16666667,29.70930233,50.28901734,2.12514758,0.21,0.72,0.622119816,19
34,90,34,0.425,0.4305,318,320,302,48741,1610,0.42825,305.5,22345,831,0.43025,298.25,758,0.436,307,1298,76.66666667,29.08366534,48.92473118,1.386577926,0.3,0.61,0.788863109,20
35,104,100,0.421,0.44325,317,317,326,54110,1878,0.443,310.25,24869,936,0.44125,318,877,0.434,301,1102,70.16666667,33.90804598,60.81871345,2.151823072,0.1,0.6,0.634259259,21
36,90,37,0.421,0.45425,317,324,320,66539,1580,0.44775,329.25,24885,952,0.452,322.5,819,0.452,314.5,959,76.33333333,25.44444444,53.26086957,1.366742597,0.3,0.75,0.72967033,21
37,80,37,0.433,0.4405,317,320,318,49898,1792,0.4375,304,22988,961,0.439,315.25,1153,0.4425,316.5,1148,77,26.88652879,51.95530726,3.23699422,0.24,0.48,0.763157895,22
38,105,46,0.417,0.4345,317,322,306,44963,1223,0.43675,315.75,23358,742,0.437,305,768,0.443,303,1614,60,40.35693725,56.81818182,2.53776435,0.18,0.54,0.746067416,23
39,90,27,0.421,0.4385,317,327,317,47454,1738,0.428,311.5,19098,794,0.4305,313.75,803,0.433,307.5,1488,73.83333333,32.71245634,59.65909091,2.247191011,0.31,0.45,0.648837209,22
40,95,81,0.421,0.449,317,324,311,45574,1550,0.45325,326.75,23647,901,0.451,319.75,822,0.4475,320.5,1337,65.16666667,29.56326988,56.90607735,1.341531582,0.19,0.88,0.755707763,18
41,98,100,0.421,0.4485,317,326,303,47744,1498,0.449,311.5,21959,852,0.449,307.5,772,0.451,313.5,1208,52.5,32.48195447,56.49717514,2.868391451,0.37,0.74,0.747826087,19
42,104,60,0.419,0.4345,317,325,308,73536,1356,0.4335,307,19033,749,0.43075,310.75,758,0.4255,301.5,808,46.33333333,35.02331002,53.98773006,1.957186544,0.26,0.6,0.631929047,19
43,98,98,0.421,0.42775,317,320,308,47069,1442,0.43375,304.75,22618,962,0.42925,301,726,0.4325,306,1183,58.33333333,29.34232715,47.20812183,1.960784314,0.34,0.57,0.665882353,19
44,96,37,0.421,0.4385,317,322,308,48274,1530,0.4425,312.75,19837,662,0.43775,307.25,492,0.4375,305.5,1057,38.2,40.4935502,56.18556701,2.23838836,0.19,0.66,0.75,18
45,92,27,0.425,0.424,317,320,303,45622,1547,0.42425,298.5,17860,733,0.4245,313,919,0.428,296.5,1250,60.83333333,26.10695802,53.63128492,1.887840089,0.28,0.68,0.69047619,20
