DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,60024,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,12605 EAST 16TH AVENUE,AURORA,CO,80045,CO - Denver,16,1225290.44,253778.0,217171.19,39.75,-104.84
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",60011,DENVER HEALTH MEDICAL CENTER,777 BANNOCK ST,DENVER,CO,80204,CO - Denver,12,537438.67,144962.08,135443.33,39.74,-105.02
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",60015,CENTURA HEALTH-ST ANTHONY HOSPITAL,11600 WEST 2ND PLACE,LAKEWOOD,CO,80228,CO - Denver,16,511090.94,94993.81,93036.75,39.69,-105.15
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",60020,PARKVIEW MEDICAL CENTER INC,400 W 16TH STREET,PUEBLO,CO,81003,CO - Pueblo,12,638163.92,120166.0,115622.25,38.27,-104.68
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",60022,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,1400 E BOULDER ST,COLORADO SPRINGS,CO,80909,CO - Colorado Springs,15,484462.6,122569.8,106532.33,38.85,-104.77
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",60024,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,12605 EAST 16TH AVENUE,AURORA,CO,80045,CO - Denver,45,762371.47,164010.4,137714.24,39.75,-104.84
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",60034,SWEDISH MEDICAL CENTER,501 E HAMPDEN AVENUE,ENGLEWOOD,CO,80113,CO - Denver,20,819494.9,102489.85,98386.8,39.64,-104.96
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,2525 S DOWNING ST,DENVER,CO,80210,CO - Denver,15,452830.73,102134.93,95048.67,39.68,-104.96
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",60119,MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVENUE,LOVELAND,CO,80538,CO - Greeley,15,509258.93,131231.73,130466.53,40.5,-105.2
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",60020,PARKVIEW MEDICAL CENTER INC,400 W 16TH STREET,PUEBLO,CO,81003,CO - Pueblo,14,322899.21,65350.21,61520.29,38.27,-104.68
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,60024,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,12605 EAST 16TH AVENUE,AURORA,CO,80045,CO - Denver,14,538250.0,113684.07,81252.21,39.75,-104.84
014 - ALLOGENEIC BONE MARROW TRANSPLANT,60014,PRESBYTERIAN ST LUKES MEDICAL CENTER,1719 E 19TH AVE,DENVER,CO,80218,CO - Denver,19,439282.11,104691.58,71924.63,39.73,-104.97
014 - ALLOGENEIC BONE MARROW TRANSPLANT,60024,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,12605 EAST 16TH AVENUE,AURORA,CO,80045,CO - Denver,13,1023998.46,167699.85,151256.0,39.75,-104.84
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,60014,PRESBYTERIAN ST LUKES MEDICAL CENTER,1719 E 19TH AVE,DENVER,CO,80218,CO - Denver,42,377563.52,61822.4,49887.98,39.73,-104.97
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,60015,CENTURA HEALTH-ST ANTHONY HOSPITAL,11600 WEST 2ND PLACE,LAKEWOOD,CO,80228,CO - Denver,12,217046.83,35744.42,34614.0,39.69,-105.15
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,60024,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,12605 EAST 16TH AVENUE,AURORA,CO,80045,CO - Denver,17,328915.59,59682.65,48969.94,39.75,-104.84
