DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,19,501587.32,161877.89,146948.37,21.31,-157.85
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,12,133552.08,49637.08,41958.5,21.31,-157.85
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,17,133863.94,52973.29,41424.59,21.31,-157.85
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,120022,STRAUB CLINIC AND HOSPITAL,888 SO KING STREET,HONOLULU,HI,96813,HI - Honolulu,13,117902.08,36264.0,29323.15,21.31,-157.85
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,11,49497.91,29995.55,20082.09,21.31,-157.85
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,15,43783.6,23288.47,17445.53,21.31,-157.85
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,11,41499.91,12671.91,8203.91,21.31,-157.85
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,16,32260.0,12272.94,9005.06,21.31,-157.85
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,14,43580.07,17872.64,15715.07,21.31,-157.85
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu,60,47205.83,17706.0,13955.48,21.31,-157.85
