DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,17,713919.82,180323.59,175311.94,38.25,-85.75
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,KY - Lexington,19,328000.16,113884.32,110301.79,38.04,-84.54
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,28,504612.57,128792.54,124101.18,38.25,-85.75
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",180044,PIKEVILLE MEDICAL CENTER,911 BYPASS ROAD,PIKEVILLE,KY,41501,KY - Lexington,21,591432.9,138759.1,136819.67,37.5,-82.5
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,38,322692.61,97668.37,86817.92,38.25,-85.75
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,11,375835.09,91707.0,76740.82,38.26,-85.66
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,41,570812.46,122560.49,111142.8,38.25,-85.75
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,KY - Lexington,14,182351.43,57246.29,54970.43,38.04,-84.54
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,34,186234.47,59336.09,54130.03,38.25,-85.75
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",180044,PIKEVILLE MEDICAL CENTER,911 BYPASS ROAD,PIKEVILLE,KY,41501,KY - Lexington,26,358764.5,94992.08,74677.69,37.5,-82.5
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,51,192433.67,61889.2,53780.0,38.25,-85.75
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,16,197153.38,54418.75,53003.69,38.26,-85.66
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,18,377095.39,82007.83,75477.56,38.25,-85.75
020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,11,252509.18,61536.0,59842.27,38.25,-85.75
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,33,150354.24,30913.73,28248.61,38.25,-85.75
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,13,175738.54,32486.38,27659.85,38.26,-85.66
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,25,248054.4,45440.36,41559.0,38.25,-85.75
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,11,104064.64,23118.0,20126.27,38.25,-85.75
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,KY - Lexington,11,63023.36,22900.91,21741.64,38.04,-84.54
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,180013,THE MEDICAL CENTER AT BOWLING GREEN,250 PARK STREET,BOWLING GREEN,KY,42101,TN - Nashville,11,112901.91,24701.73,23368.73,37.0,-86.5
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,180035,ST ELIZABETH MEDICAL CENTER NORTH,1 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,KY - Covington,14,90702.36,25887.43,24982.43,39.02,-84.56
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,15,106737.2,27469.73,21261.8,38.25,-85.75
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,56,144034.07,29368.75,24519.36,38.25,-85.75
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,180103,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,KY - Lexington,15,152963.0,32483.13,31220.93,38.0,-84.53
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,180104,BAPTIST HEALTH PADUCAH,2501 KENTUCKY AVENUE,PADUCAH,KY,42003,KY - Paducah,33,128174.18,24078.88,22670.79,37.0,-88.6
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,26,140973.31,28417.27,22729.15,38.26,-85.66
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,35,192772.26,36713.74,32165.06,38.25,-85.75
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,37,125622.51,20182.54,18208.86,38.25,-85.75
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,180103,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,KY - Lexington,14,152477.86,32796.36,22353.14,38.0,-84.53
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,17,126531.29,24905.71,20885.24,38.25,-85.75
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,27,75686.96,15276.0,13535.89,38.25,-85.75
036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,180103,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,KY - Lexington,22,66602.68,10148.32,9294.5,38.0,-84.53
037 - EXTRACRANIAL PROCEDURES W MCC,180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,14,53568.93,19323.64,17765.64,38.25,-85.75
038 - EXTRACRANIAL PROCEDURES W CC,180009,KING'S DAUGHTERS' MEDICAL CENTER,2201 LEXINGTON AVENUE,ASHLAND,KY,41101,WV - Huntington,11,56713.36,9350.91,8150.91,38.48,-82.66
038 - EXTRACRANIAL PROCEDURES W CC,180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,KY - Lexington,22,21176.41,8756.45,7647.55,38.04,-84.54
038 - EXTRACRANIAL PROCEDURES W CC,180038,OWENSBORO HEALTH REGIONAL HOSPITAL,1201 PLEASANT VALLEY ROAD,OWENSBORO,KY,42303,KY - Owensboro,25,53350.52,13530.96,12341.36,37.8,-87.0
038 - EXTRACRANIAL PROCEDURES W CC,180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,27,37991.63,10158.81,9059.78,38.25,-85.75
038 - EXTRACRANIAL PROCEDURES W CC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,22,49565.36,10668.86,9568.41,38.25,-85.75
038 - EXTRACRANIAL PROCEDURES W CC,180102,LOURDES HOSPITAL,1530 LONE OAK ROAD,PADUCAH,KY,42003,KY - Paducah,27,35614.04,8734.04,7445.89,37.0,-88.6
038 - EXTRACRANIAL PROCEDURES W CC,180103,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,KY - Lexington,27,66505.44,11430.56,10163.3,38.0,-84.53
038 - EXTRACRANIAL PROCEDURES W CC,180104,BAPTIST HEALTH PADUCAH,2501 KENTUCKY AVENUE,PADUCAH,KY,42003,KY - Paducah,12,61517.75,9808.83,8570.83,37.0,-88.6
038 - EXTRACRANIAL PROCEDURES W CC,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,15,56027.4,8881.93,6888.93,38.26,-85.66
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180009,KING'S DAUGHTERS' MEDICAL CENTER,2201 LEXINGTON AVENUE,ASHLAND,KY,41101,WV - Huntington,31,38072.77,6517.81,5382.06,38.48,-82.66
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,KY - Lexington,39,20698.03,6251.46,4751.36,38.04,-84.54
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180012,HARDIN MEMORIAL HOSPITAL,913 NORTH DIXIE AVENUE,ELIZABETHTOWN,KY,42701,KY - Louisville,19,22132.26,6201.63,5107.05,37.7,-85.9
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180013,THE MEDICAL CENTER AT BOWLING GREEN,250 PARK STREET,BOWLING GREEN,KY,42101,TN - Nashville,34,22929.38,6728.24,5246.24,37.0,-86.5
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180035,ST ELIZABETH MEDICAL CENTER NORTH,1 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,KY - Covington,27,28128.78,7607.81,5276.19,39.02,-84.56
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180038,OWENSBORO HEALTH REGIONAL HOSPITAL,1201 PLEASANT VALLEY ROAD,OWENSBORO,KY,42303,KY - Owensboro,39,33810.77,8288.36,6331.77,37.8,-87.0
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,35,31564.97,7240.23,5787.31,38.25,-85.75
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180044,PIKEVILLE MEDICAL CENTER,911 BYPASS ROAD,PIKEVILLE,KY,41501,KY - Lexington,20,46768.85,8057.75,7029.2,37.5,-82.5
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,41,36278.0,7701.76,6039.24,38.25,-85.75
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180093,BAPTIST HEALTH MADISONVILLE,900 HOSPITAL DRIVE,MADISONVILLE,KY,42431,KY - Paducah,16,39458.19,6652.69,4957.56,37.3,-87.5
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180102,LOURDES HOSPITAL,1530 LONE OAK ROAD,PADUCAH,KY,42003,KY - Paducah,25,29991.4,6087.2,4579.0,37.0,-88.6
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180103,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,KY - Lexington,60,36745.17,6553.77,5444.83,38.0,-84.53
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180104,BAPTIST HEALTH PADUCAH,2501 KENTUCKY AVENUE,PADUCAH,KY,42003,KY - Paducah,32,48327.44,6107.84,4721.81,37.0,-88.6
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,41,34675.15,5694.22,4418.07,38.26,-85.66
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,12,100338.67,23073.33,21571.75,38.25,-85.75
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,18,75907.11,13714.5,11906.5,38.25,-85.75
054 - NERVOUS SYSTEM NEOPLASMS W MCC,180013,THE MEDICAL CENTER AT BOWLING GREEN,250 PARK STREET,BOWLING GREEN,KY,42101,TN - Nashville,11,35393.09,9140.09,6371.36,37.0,-86.5
054 - NERVOUS SYSTEM NEOPLASMS W MCC,180035,ST ELIZABETH MEDICAL CENTER NORTH,1 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,KY - Covington,15,22433.0,8387.07,7390.47,39.02,-84.56
054 - NERVOUS SYSTEM NEOPLASMS W MCC,180038,OWENSBORO HEALTH REGIONAL HOSPITAL,1201 PLEASANT VALLEY ROAD,OWENSBORO,KY,42303,KY - Owensboro,14,26256.64,10010.71,8310.29,37.8,-87.0
054 - NERVOUS SYSTEM NEOPLASMS W MCC,180044,PIKEVILLE MEDICAL CENTER,911 BYPASS ROAD,PIKEVILLE,KY,41501,KY - Lexington,14,56251.64,10455.93,9389.64,37.5,-82.5
054 - NERVOUS SYSTEM NEOPLASMS W MCC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,44,45742.66,9574.52,8227.91,38.25,-85.75
054 - NERVOUS SYSTEM NEOPLASMS W MCC,180103,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,KY - Lexington,14,28847.14,8077.93,7068.36,38.0,-84.53
054 - NERVOUS SYSTEM NEOPLASMS W MCC,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,22,50206.73,7941.55,6256.73,38.26,-85.66
054 - NERVOUS SYSTEM NEOPLASMS W MCC,180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,28,57849.5,13160.64,10661.61,38.25,-85.75
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,13,31679.92,5620.38,4760.54,38.26,-85.66
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,14,37367.5,10388.0,9373.64,38.26,-85.66
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180001,ST ELIZABETH FT THOMAS,85 NORTH GRAND AVENUE,FORT THOMAS,KY,41075,KY - Covington,12,11900.0,5996.08,4811.75,39.08,-84.45
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,KY - Lexington,11,35369.27,7429.18,6359.82,38.04,-84.54
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180013,THE MEDICAL CENTER AT BOWLING GREEN,250 PARK STREET,BOWLING GREEN,KY,42101,TN - Nashville,17,34319.82,8160.88,3536.71,37.0,-86.5
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180035,ST ELIZABETH MEDICAL CENTER NORTH,1 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,KY - Covington,36,12630.69,6359.92,5308.53,39.02,-84.56
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,KY - Louisville,20,21483.95,7586.0,5921.8,38.25,-85.75
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180045,ST ELIZABETH FLORENCE,4900 HOUSTON ROAD,FLORENCE,KY,41042,KY - Covington,11,13428.36,6292.45,5245.0,38.99,-84.65
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180048,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,217 SOUTH THIRD STREET,DANVILLE,KY,40422,KY - Lexington,12,16532.83,6399.08,5630.58,37.6,-84.8
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,38,34731.45,7843.63,6439.61,38.25,-85.75
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180102,LOURDES HOSPITAL,1530 LONE OAK ROAD,PADUCAH,KY,42003,KY - Paducah,17,35241.88,6537.29,4785.53,37.0,-88.6
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180103,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,KY - Lexington,13,38126.92,8233.15,6520.69,38.0,-84.53
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180104,BAPTIST HEALTH PADUCAH,2501 KENTUCKY AVENUE,PADUCAH,KY,42003,KY - Paducah,12,23905.67,6188.25,4577.08,37.0,-88.6
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180124,GREENVIEW REGIONAL HOSPITAL,1801 ASHLEY CIRCLE,BOWLING GREEN,KY,42104,TN - Nashville,13,35538.23,5932.23,4484.85,36.9,-86.5
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180127,FRANKFORT REGIONAL MEDICAL CENTER,299 KINGS DAUGHTERS DRIVE,FRANKFORT,KY,40601,KY - Lexington,12,24906.75,6566.25,5926.92,38.2,-84.9
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,20,24240.0,5658.35,4680.7,38.26,-85.66
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,23,62190.83,11073.7,8254.87,38.25,-85.75
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,15,29805.2,6396.33,4468.2,38.25,-85.75
061 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,180103,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,KY - Lexington,14,147493.71,22902.86,21852.43,38.0,-84.53
061 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,12,158746.5,20208.42,19069.75,38.26,-85.66
061 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,12,117239.5,23002.08,20076.67,38.25,-85.75
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,180088,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,KY - Louisville,11,76195.73,12763.64,11581.36,38.25,-85.75
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,180103,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,KY - Lexington,21,119770.33,15616.9,13658.57,38.0,-84.53
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,180130,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,KY - Louisville,11,111238.27,10559.82,9411.0,38.26,-85.66
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,17,85928.24,16624.88,14248.71,38.25,-85.75
