DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,11,286241.0,98995.36,98002.64,46.79,-96.84
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,13,99716.0,26111.38,25028.0,46.79,-96.84
038 - EXTRACRANIAL PROCEDURES W CC,350006,TRINITY HOSPITALS,407 3RD ST SE,MINOT,ND,58701,ND - Minot,13,45328.46,10148.69,9126.23,48.1,-101.3
038 - EXTRACRANIAL PROCEDURES W CC,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,14,32634.07,10763.5,9506.0,47.9,-97.2
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,350002,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,25,17454.4,7433.68,4865.6,46.8,-100.7
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,29,24214.17,7821.31,5570.93,47.9,-97.2
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,32,23564.16,6545.47,5590.84,46.79,-96.84
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,350002,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,40,22120.65,11087.48,9201.93,46.8,-100.7
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,350006,TRINITY HOSPITALS,407 3RD ST SE,MINOT,ND,58701,ND - Minot,36,32033.39,12478.56,11402.31,48.1,-101.3
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,34,25249.26,12897.76,10454.76,47.9,-97.2
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,28,25709.68,10245.43,9377.43,46.79,-96.84
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,350002,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,59,14700.24,7083.86,5386.03,46.8,-100.7
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,350006,TRINITY HOSPITALS,407 3RD ST SE,MINOT,ND,58701,ND - Minot,46,18951.52,6909.91,5677.04,48.1,-101.3
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,50,20801.8,7567.66,6249.12,47.9,-97.2
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,69,17828.51,6597.88,5333.42,46.79,-96.84
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,350002,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,26,12119.12,5126.04,3435.96,46.8,-100.7
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,350006,TRINITY HOSPITALS,407 3RD ST SE,MINOT,ND,58701,ND - Minot,22,14395.23,4956.05,3766.59,48.1,-101.3
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,24,16501.21,5287.67,4326.63,47.9,-97.2
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,21,18822.67,4778.67,3804.0,46.79,-96.84
069 - TRANSIENT ISCHEMIA,350002,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,12,13135.42,4789.08,3754.42,46.8,-100.7
069 - TRANSIENT ISCHEMIA,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,17,14458.76,5087.12,4123.59,47.9,-97.2
069 - TRANSIENT ISCHEMIA,350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,34,14227.62,4582.85,3413.44,46.79,-96.84
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,350002,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,11,23688.0,10193.73,9089.73,46.8,-100.7
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,14,24349.5,11338.64,9947.14,47.9,-97.2
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,350002,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,11,14629.09,6474.27,5419.09,46.8,-100.7
"086 - TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,13,18241.62,6932.69,5750.23,46.79,-96.84
101 - SEIZURES W/O MCC,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,14,19969.29,5580.57,4292.07,47.9,-97.2
149 - DYSEQUILIBRIUM,350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,11,11315.36,4267.73,3343.73,46.79,-96.84
163 - MAJOR CHEST PROCEDURES W MCC,350002,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,11,89564.0,32796.73,31430.36,46.8,-100.7
164 - MAJOR CHEST PROCEDURES W CC,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,12,51886.5,17962.17,16675.33,47.9,-97.2
164 - MAJOR CHEST PROCEDURES W CC,350070,ESSENTIA HEALTH-FARGO,3000 32ND AVE SOUTH,FARGO,ND,58104,ND - Fargo/Moorhead MN,11,64618.82,15633.73,14585.0,46.79,-96.84
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,15,71388.53,29141.8,28069.87,47.9,-97.2
175 - PULMONARY EMBOLISM W MCC,350002,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,ND - Bismarck,12,17102.67,9241.0,8082.67,46.8,-100.7
