DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",460004,MCKAY DEE HOSPITAL,4401 HARRISON BOULEVARD,OGDEN,UT,84403,UT - Ogden,19,278271.84,84702.21,83445.89,41.19,-111.9
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",460010,INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,MURRAY,UT,84107,UT - Salt Lake City,22,349242.64,135675.59,102542.64,40.66,-111.88
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,460001,UTAH VALLEY HOSPITAL,1034 NORTH 500 WEST,PROVO,UT,84604,UT - Provo,17,90874.24,27789.29,26740.82,40.3,-111.5
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,460010,INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,MURRAY,UT,84107,UT - Salt Lake City,26,79587.77,29460.12,24568.31,40.66,-111.88
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,460021,DIXIE REGIONAL MEDICAL CENTER,1380 EAST MEDICAL CENTER DRIVE,ST GEORGE,UT,84790,UT - Salt Lake City,19,102435.84,34980.74,33901.89,37.1,-113.7
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,460001,UTAH VALLEY HOSPITAL,1034 NORTH 500 WEST,PROVO,UT,84604,UT - Provo,15,80831.87,25923.0,16667.53,40.3,-111.5
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,460001,UTAH VALLEY HOSPITAL,1034 NORTH 500 WEST,PROVO,UT,84604,UT - Provo,12,50660.67,16460.33,12261.58,40.3,-111.5
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,460010,INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,MURRAY,UT,84107,UT - Salt Lake City,14,39723.14,19041.21,9518.5,40.66,-111.88
038 - EXTRACRANIAL PROCEDURES W CC,460001,UTAH VALLEY HOSPITAL,1034 NORTH 500 WEST,PROVO,UT,84604,UT - Provo,17,24495.35,10286.47,9402.53,40.3,-111.5
038 - EXTRACRANIAL PROCEDURES W CC,460010,INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,MURRAY,UT,84107,UT - Salt Lake City,11,44146.18,10880.55,9197.27,40.66,-111.88
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,460001,UTAH VALLEY HOSPITAL,1034 NORTH 500 WEST,PROVO,UT,84604,UT - Provo,23,21534.78,7348.74,6413.39,40.3,-111.5
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,460004,MCKAY DEE HOSPITAL,4401 HARRISON BOULEVARD,OGDEN,UT,84403,UT - Ogden,14,23026.86,6996.5,5956.36,41.19,-111.9
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,460005,OGDEN REGIONAL MEDICAL CENTER,5475 SOUTH 500 EAST,OGDEN,UT,84405,UT - Ogden,13,49277.92,6809.92,5733.0,41.16,-111.96
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,460010,INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,MURRAY,UT,84107,UT - Salt Lake City,25,32929.36,7979.48,5445.2,40.66,-111.88
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,460021,DIXIE REGIONAL MEDICAL CENTER,1380 EAST MEDICAL CENTER DRIVE,ST GEORGE,UT,84790,UT - Salt Lake City,20,25611.8,7638.1,5618.95,37.1,-113.7
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,460010,INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,MURRAY,UT,84107,UT - Salt Lake City,15,30720.53,8745.0,5574.53,40.66,-111.88
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,460021,DIXIE REGIONAL MEDICAL CENTER,1380 EAST MEDICAL CENTER DRIVE,ST GEORGE,UT,84790,UT - Salt Lake City,17,19234.06,7313.35,5648.71,37.1,-113.7
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,460010,INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,MURRAY,UT,84107,UT - Salt Lake City,12,38114.92,12889.42,11041.67,40.66,-111.88
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,460001,UTAH VALLEY HOSPITAL,1034 NORTH 500 WEST,PROVO,UT,84604,UT - Provo,44,41756.55,11693.34,10923.73,40.3,-111.5
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,460004,MCKAY DEE HOSPITAL,4401 HARRISON BOULEVARD,OGDEN,UT,84403,UT - Ogden,24,25776.96,10416.46,9279.46,41.19,-111.9
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,460005,OGDEN REGIONAL MEDICAL CENTER,5475 SOUTH 500 EAST,OGDEN,UT,84405,UT - Ogden,17,45072.88,9995.94,9015.94,41.16,-111.96
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,460010,INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,MURRAY,UT,84107,UT - Salt Lake City,61,44771.95,13304.93,10185.26,40.66,-111.88
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,460021,DIXIE REGIONAL MEDICAL CENTER,1380 EAST MEDICAL CENTER DRIVE,ST GEORGE,UT,84790,UT - Salt Lake City,69,35288.96,13022.19,11274.22,37.1,-113.7
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,460042,LAKEVIEW HOSPITAL,630 EAST MEDICAL DRIVE,BOUNTIFUL,UT,84010,UT - Salt Lake City,11,50298.36,9435.91,8501.73,40.89,-111.82
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,460047,ST MARK'S HOSPITAL,1200 EAST 3900 SOUTH,SALT LAKE CITY,UT,84124,UT - Salt Lake City,15,36924.07,11570.47,8747.4,40.68,-111.79
