DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,42,72029.19,33282.33,29703.55,44.48,-73.2
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,18,58484.94,19215.28,16542.17,44.48,-73.2
038 - EXTRACRANIAL PROCEDURES W CC,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,21,35788.1,14384.86,12493.62,44.48,-73.2
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,33,22760.52,9155.97,7945.0,44.48,-73.2
054 - NERVOUS SYSTEM NEOPLASMS W MCC,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,16,33176.13,11512.06,9725.06,44.48,-73.2
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,11,37036.45,16773.91,13864.55,44.48,-73.2
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,38,28174.63,12750.37,8543.18,44.48,-73.2
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,470005,RUTLAND REGIONAL MEDICAL CENTER,160 ALLEN ST,RUTLAND,VT,5701,VT - Burlington,12,29807.17,10927.08,9755.83,43.6,-72.9
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,470001,CENTRAL VERMONT MEDICAL CENTER,BOX 547,BARRE,VT,5641,VT - Burlington,19,20809.53,16001.95,15123.63,44.2,-72.4
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,93,42910.69,16598.34,13167.99,44.48,-73.2
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,470005,RUTLAND REGIONAL MEDICAL CENTER,160 ALLEN ST,RUTLAND,VT,5701,VT - Burlington,30,47174.13,20086.0,17508.0,43.6,-72.9
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,470001,CENTRAL VERMONT MEDICAL CENTER,BOX 547,BARRE,VT,5641,VT - Burlington,24,20486.88,9957.54,8414.79,44.2,-72.4
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,118,29823.65,9758.94,7856.3,44.48,-73.2
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,470005,RUTLAND REGIONAL MEDICAL CENTER,160 ALLEN ST,RUTLAND,VT,5701,VT - Burlington,41,25929.68,8923.66,7858.95,43.6,-72.9
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,470011,BRATTLEBORO MEMORIAL HOSPITAL,17 BELMONT AVE,BRATTLEBORO,VT,5301,NH - Lebanon,17,16921.18,9609.0,8406.65,42.8,-72.7
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,470012,SOUTHWESTERN VERMONT MEDICAL CENTER,100 HOSPITAL DRIVE,BENNINGTON,VT,5201,NY - Albany,27,16491.63,7711.11,6713.33,42.9,-73.1
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,470024,NORTHWESTERN MEDICAL CENTER INC,133 FAIRFIELD STREET,SAINT ALBANS,VT,5478,VT - Burlington,27,13473.07,9590.19,8499.22,44.8,-73.1
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,470003,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,37,26581.51,7009.89,5440.86,44.48,-73.2
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,470005,RUTLAND REGIONAL MEDICAL CENTER,160 ALLEN ST,RUTLAND,VT,5701,VT - Burlington,15,22804.0,6394.2,5111.8,43.6,-72.9
069 - TRANSIENT ISCHEMIA,470001,CENTRAL VERMONT MEDICAL CENTER,BOX 547,BARRE,VT,5641,VT - Burlington,15,16817.67,6700.67,5588.13,44.2,-72.4
