"OECD commercial ex. US NGL & other, x","OECD commercial ex. US NGL & other, y","Non-OECD stocks ex. China SPR, x","Non-OECD stocks ex. China SPR, y"
"0.0005689429","215.8978004849","0.0049701385","454.3041723731"
"0.0431461959","185.3174305283","0.0947259656","423.2116188802"
"0.0965336722","154.767189015","0.1706917349","395.1198583408"
"0.1400896298","124.5784888214","0.2466785502","365.0034664111"
"0.1875588401","96.1071098963","0.3295474286","334.6339955577"
"0.2360338455","65.4212903881","0.4124163069","304.2645247043"
"0.2845044663","35.1572690862","0.4883820762","276.1727641648"
"0.3329805678","4.3660000265","0.5574605209","248.8402403967"
"0.3883761111","'-30.2741776657","0.6334262902","220.7484798573"
"0.4368494722","'-60.8018228465","0.7162951685","190.3790090038"
"0.4853244776","'-91.4876423547","0.7991640469","160.0095381504"
"0.5337950984","'-121.7516636566","0.8751508622","129.8931462207"
"0.5822712","'-152.5429327163","0.9828080582","97.3725045152"
"0.6376667433","'-187.1831104085","1.097381846","94.3671922953"
"0.6861401044","'-217.7107555893","1.2331482433","104.2171390446"
"0.7346151098","'-248.3965750975","1.3843809568","115.2605829913"
"0.7830857306","'-278.6605963993","1.5356184536","125.8438834403"
"0.8315618322","'-309.4518654591","1.6868535587","136.6572556381"
"0.8869573755","'-344.0920431513","1.8380862722","147.7006995848"
"0.9753301285","'-374.4931488702","1.9871442258","147.3555919615"
"0.9969695484","'-398.6046681539","2.0586043834","111.5027444261"
"1.0844434491","'-339.0982536732","2.1001857066","82.1877690884"
"1.1272875362","'-300.80500223","2.1417670298","52.8727937507"
"1.1682002083","'-265.7957511073","2.1833461606","23.7687175162"
"1.2091084959","'-230.3647017782","2.2249318684","'-5.9680560278"
"1.2500167835","'-194.9336524492","2.266508807","'-34.8612331592"
"1.2909294556","'-159.9244013265","2.3080945148","'-64.5980067032"
"1.3318421278","'-124.9151502038","2.3496824148","'-94.5456793503"
"1.3727504154","'-89.4841008748","2.3912615457","'-123.6497555849"
"1.4136674722","'-54.8966479583","2.4387689646","'-155.7968045935"
"1.4545757597","'-19.4655986293","2.4744465535","'-184.4308771124"
"1.4954840473","15.9654506997","2.5160098998","'-212.0164798043"
"1.5363967195","50.9747018224","2.5635138736","'-243.8321159365"
"1.5773247377","84.5076592231","2.5991918384","'-272.5023425874"
"1.6183084404","112.6837794038","2.646681531","'-302.9441217048"
"1.6454350635","150.3081794055","2.6892694323","'-334.5488587338"
"1.6864025431","180.0449529495","2.7239450156","'-361.3330448337"
"1.7273152153","215.0542040723","2.7714283191","'-391.1602037076"
"1.7682235029","250.4852534013","2.8140177864","'-422.9155829532"
"1.809136175","285.494504524","2.8555969173","'-452.0196591878"
"1.8500488472","320.5037556467","2.8971760481","'-481.1237354223"
"1.8909571348","355.9348049757","2.976193789","'-508.6812182338"
"1.9731832313","387.4009511656","3.0051730504","'-536.1521783362"
"1.9982372555","420.7781676901","3.0011348368","'-554.9384215244"
"2.0720497493","362.2617780702","3.0828313836","'-472.529596969"
"2.0953166119","329.9942152884","3.0556178359","'-501.7918475309"
"2.1231368782","300.8901390539","3.112253672","'-435.1477309358"
"2.1509615291","271.364264613","3.1394447487","'-403.7237645667"
"2.17878618","241.8383901722","3.1666358253","'-372.2997981975"
"2.2066064463","212.7343139376","3.1938290943","'-341.0867309314"
"2.2344310972","183.2084394968","3.2210245556","'-310.0845627685"
"2.2622557481","153.6825650559","3.2482156323","'-278.6605963993"
"2.2900803991","124.1566906151","3.2754089012","'-247.4475291333"
"2.320225128","92.0397700498","3.3026021702","'-216.2344618673"
"2.3480359988","63.8395471145","3.3297910546","'-184.5995963949"
"2.3735499672","36.0008654988","3.3569843236","'-153.3865291289"
"2.4036972016","3.6429173871","3.3841732079","'-121.7516636566"
