"OECD industry stock changes , x","OECD industry stock changes , y","IEA miscellaneous to balance (rhs), x","IEA miscellaneous to balance (rhs), y"
"1985.9638931446","'-587.1521150227","1985.9669418062","'-199.7668510987"
"1985.9723358474","'-491.4375148963","1986.0133342567","'-105.5432810094"
"1985.9909251364","'-408.9651459232","1986.0765555398","9.5012782709"
"1986.0182051015","116.4499123726","1986.142106603","124.968736311"
"1986.0279681169","'-288.3155684141","1986.2011480216","243.7402928567"
"1986.0527521769","220.4409791982","1986.4594496112","495.6342563771"
"1986.095116963","322.4719240692","1986.5576714185","235.2696762165"
"1986.113676755","421.9309765596","1986.5854933587","139.0594654416"
"1986.1221548431","529.2047622843","1986.6048200157","63.0701691259"
"1986.143619323","619.1239206368","1986.6388084463","'-15.4294066811"
"1986.1667780936","730.0643666743","1986.6678884985","'-99.9916115617"
"1986.1735928531","826.4311521125","1986.696966892","'-185.0956532671"
"1986.196747864","936.1434346801","1986.7247734893","'-286.3178546725"
"1986.2035553253","1030.1261380887","1986.7355080791","'-373.7024152631"
"1986.2340874173","1153.6734364847","1986.7399284726","'-527.0481800807"
"1986.4257815336","1603.5587978792","1986.7499436081","'-450.1192376733"
"1986.5389357506","903.6506590573","1986.7641552147","'-599.6840314475"
"1986.5435249982","1124.9320636616","1986.7685739495","'-753.5716330899"
"1986.5489508861","980.5796014646","1986.7785897485","'-676.4259559526"
"1986.5491698324","1052.1020623539","1986.7928023503","'-825.6656476318"
"1986.5629534985","762.7433677507","1986.7972144504","'-981.7205965739"
"1986.5631724448","834.26582864","1986.807231908","'-904.0330826116"
"1986.5673855028","613.1904607076","1986.9590110387","'-1784.5992295352"
"1986.5774099269","693.1536893345","1987.1150913337","'-969.1028315358"
"1986.5916354664","548.1403248897","1987.1299846596","'-895.9726902684"
"1986.6205761891","418.063826716","1987.1368040634","'-798.0887617205"
"1986.6207951354","489.5862876052","1987.1452810457","'-691.1762005458"
"1986.6447498533","328.0891969518","1987.1670053861","'-516.369272956"
"1986.6640519618","244.0807156272","1987.2201686489","'-188.0073080444"
"1986.6965985874","'-1120.4668298514","1987.4717954358","'-363.0012193157"
"1986.9757184239","'-1327.9737577949","1987.733564928","'-199.3597305593"
"1987.1647752299","'-73.5036162544","1987.9668579739","'-1031.2825503897"
"1987.1915404223","44.151247944","1988.1432333975","'-550.9692358118"
"1987.1983589415","141.746196852","1988.1647360271","'-448.5878304862"
"1987.4747992385","1526.9282332757","1988.1976515102","'-345.1366193637"
"1987.6187922717","644.422846612","1988.2534085348","'-244.4022048971"
"1987.6232143239","491.6189186194","1988.4705856809","'-191.0752285976"
"1987.6332248151","567.030717917","1988.4967570639","'-75.1225890271"
"1987.6578429118","394.045837523","1988.7198792877","931.1260454926"
"1987.7288526061","'-141.3772469275","1988.8245860528","'-6.1656809286"
"1987.9484348659","'-1888.857667375","1988.83408965","'-96.3392153261"
"1988.145930418","330.0574415059","1988.840598327","113.0194017838"
"1988.2315290301","1137.4738856956","1988.8426670166","'-172.289703406"
"1988.4995685337","843.2908292101","1988.872327015","'-610.6722161289"
"1988.549162358","6.8745038145","1988.9623289978","'-1333.0255043426"
"1988.5888090635","'-354.2814778054","1989.1017534754","'-606.8286946601"
"1988.6227573539","'-445.8935047755","1989.1560840512","'-336.0066193357"
"1988.727820902","'-1266.6361301567","1989.1709549847","'-270.1912752047"
"1988.9891971946","'-542.7862120264","1989.171171443","'-199.4815695529"
"1988.9943225289","'-465.8513262535","1989.197872942","'-102.6332394313"
"1988.9945414752","'-394.3288653642","1989.2465578698","110.2895119232"
"1989.0192558704","'-307.6646902049","1989.4955529463","430.1584218157"
"1989.0391418359","'-200.9466091581","1989.6966171786","530.6397548749"
"1989.0452414813","'-125.2049530731","1989.9711603379","'-165.4165826619"
"1989.0689931762","'-33.5546904514","1990.2388459839","1370.356319593"
"1989.0750977977","43.8124761083","1990.4975064759","'-390.0390111902"
"1989.0988445166","133.8372282552","1990.655965154","736.5523976178"
"1989.1286759527","294.7271050628","1990.7306544273","1277.192768044"
"1989.1349347212","209.4701867882","1990.8969063395","744.1102564138"
"1989.1585621254","473.4975970928","1990.9962958632","510.7819368599"
"1989.169999085","375.9527045301","1991.2260041588","606.6916140853"
"1989.1946484598","547.866269701","1991.2690744642","498.0832433799"
"1989.2030679411","635.9951542785","1991.296390073","393.2807353415"
"1989.2245036705","716.5224743324","1991.3193052106","291.5226404767"
"1989.2406501941","769.6812721033","1991.3435419047","222.1378100594"
"1989.4685702107","1110.3232711682","1991.3481978314","145.7328743803"
"1989.5403547475","599.8238316117","1991.3796792437","46.9444811629"
"1989.5447990734","682.4875557289","1991.5079573218","'-378.4194663788"
"1989.7069700537","'-1107.6354652924","1991.7390821165","47.3203990332"
"1989.9296910655","452.1252546166","1991.8274066378","147.8596086822"
"1989.9354881669","292.1209392742","1991.9891747948","279.8716628996"
"1989.9356822329","355.5158477897","1992.2037819971","101.8876762425"
"1989.9569220164","585.01296469","1992.267082364","14.5746836786"
"1990.0003045711","700.046804686","1992.2962201383","'-51.1315996947"
"1990.3259665511","904.457660396","1992.3547007005","'-115.5731348815"
"1990.6016231051","'-483.1312370303","1992.4131238248","'-198.7777052627"
"1990.6442733862","'-584.4875886864","1992.4757581202","'-283.8874796982"
"1990.7316868434","'-965.8712408198","1992.7361317666","'-297.9452222727"
"1990.9155831241","'-609.0646433889","1992.8701756901","'-132.4548401673"
"1990.9598608707","'-521.0696496295","1993.0005795498","22.507378568"
"1990.9747994786","'-433.1473630418","1993.198151591","'-129.602449235"
"1991.014152094","'-356.6875502876","1993.2765130477","'-203.0781547558"
"1991.0437314102","'-278.1568708676","1993.4544183067","'-276.2104186538"
"1991.073317361","'-197.4588441479","1993.5128670222","'-351.055220879"
"1991.1028999945","'-117.8444910781","1993.7319526719","'-663.4206834814"
"1991.1324909215","'-35.5209538837","1993.8112344614","'-322.1585776312"
"1991.1522873179","41.9379386175","1993.8277936591","'-237.2906196124"
"1991.186773022","125.8810429211","1993.8362109288","'-149.8841841348"
"1991.1968030857","207.6865167528","1993.8576245424","'-76.5813550798"
