,company,bigram,count,Words,portion
0,"EQUIFAX, INC.",credit_report,827,184.77025392986698,39.47494033412888
1,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_report,655,188.98320610687023,37.752161383285305
2,Experian Information Solutions Inc.,credit_report,696,196.45833333333334,39.035333707235
3,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_report,93,312.9569892473118,9.946524064171124
4,"Navient Solutions, LLC.",credit_report,63,264.4920634920635,6.231454005934718
5,WELLS FARGO & COMPANY,credit_report,70,277.2142857142857,8.215962441314554
6,SYNCHRONY FINANCIAL,credit_report,69,200.2753623188406,13.018867924528301
7,JPMORGAN CHASE & CO.,credit_report,82,300.9634146341463,10.110974106041924
8,"CITIBANK, N.A.",credit_report,89,270.96629213483146,8.120437956204379
9,CAPITAL ONE FINANCIAL CORPORATION,credit_report,98,248.08163265306123,13.861386138613861
10,"EQUIFAX, INC.",credit_card,112,200.88392857142858,5.3460620525059666
11,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_card,96,207.85416666666666,5.53314121037464
12,Experian Information Solutions Inc.,credit_card,117,235.17948717948718,6.561974200785193
13,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_card,144,303.6875,15.401069518716577
14,"Navient Solutions, LLC.",credit_card,19,349.57894736842104,1.8793273986152323
15,WELLS FARGO & COMPANY,credit_card,92,297.5,10.7981220657277
16,SYNCHRONY FINANCIAL,credit_card,119,243.3781512605042,22.452830188679247
17,JPMORGAN CHASE & CO.,credit_card,194,291.8144329896907,23.921085080147964
18,"CITIBANK, N.A.",credit_card,262,283.30916030534354,23.905109489051096
19,CAPITAL ONE FINANCIAL CORPORATION,credit_card,175,272.86857142857144,24.752475247524753
20,"EQUIFAX, INC.",make_payment,19,369.6842105263158,0.9069212410501193
21,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",make_payment,20,248.2,1.1527377521613833
22,Experian Information Solutions Inc.,make_payment,30,405.73333333333335,1.682557487380819
23,"BANK OF AMERICA, NATIONAL ASSOCIATION",make_payment,71,505.98591549295776,7.593582887700535
24,"Navient Solutions, LLC.",make_payment,132,324.2878787878788,13.056379821958457
25,WELLS FARGO & COMPANY,make_payment,80,364.5,9.389671361502348
26,SYNCHRONY FINANCIAL,make_payment,41,332.7073170731707,7.735849056603773
27,JPMORGAN CHASE & CO.,make_payment,51,435.5882352941176,6.288532675709002
28,"CITIBANK, N.A.",make_payment,88,348.89772727272725,8.02919708029197
29,CAPITAL ONE FINANCIAL CORPORATION,make_payment,51,334.47058823529414,7.2135785007072135
30,"EQUIFAX, INC.",customer_service,29,426.3448275862069,1.3842482100238664
31,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",customer_service,34,250.7941176470588,1.9596541786743515
32,Experian Information Solutions Inc.,customer_service,19,297.7894736842105,1.065619742007852
33,"BANK OF AMERICA, NATIONAL ASSOCIATION",customer_service,64,485.46875,6.8449197860962565
34,"Navient Solutions, LLC.",customer_service,41,329.7073170731707,4.055390702274975
35,WELLS FARGO & COMPANY,customer_service,52,463.3076923076923,6.103286384976526
36,SYNCHRONY FINANCIAL,customer_service,31,320.38709677419354,5.849056603773585
37,JPMORGAN CHASE & CO.,customer_service,61,438.26229508196724,7.52157829839704
38,"CITIBANK, N.A.",customer_service,99,352.3333333333333,9.032846715328468
39,CAPITAL ONE FINANCIAL CORPORATION,customer_service,33,313.969696969697,4.667609618104668
40,"EQUIFAX, INC.",credit_reporting,204,240.49019607843138,9.737470167064439
41,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_reporting,152,267.6513157894737,8.760806916426512
42,Experian Information Solutions Inc.,credit_reporting,176,270.46022727272725,9.87100392596747
43,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_reporting,24,345.9583333333333,2.5668449197860963
44,"Navient Solutions, LLC.",credit_reporting,8,171.375,0.7912957467853611
45,WELLS FARGO & COMPANY,credit_reporting,16,319.625,1.8779342723004695
46,SYNCHRONY FINANCIAL,credit_reporting,15,189.73333333333332,2.830188679245283
47,JPMORGAN CHASE & CO.,credit_reporting,12,283.0,1.4796547472256474
48,"CITIBANK, N.A.",credit_reporting,19,340.05263157894734,1.7335766423357664
49,CAPITAL ONE FINANCIAL CORPORATION,credit_reporting,20,242.85,2.828854314002829
50,"EQUIFAX, INC.",call_back,7,446.14285714285717,0.3341288782816229
51,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",call_back,12,378.4166666666667,0.69164265129683
52,Experian Information Solutions Inc.,call_back,15,383.0,0.8412787436904094
53,"BANK OF AMERICA, NATIONAL ASSOCIATION",call_back,47,525.6170212765958,5.026737967914438
