frame,y,x,bottom,right,class,class_str,score
26,0.007717252,0.011482447,0.9879319,0.99131143,72,tv,0.20893997
27,0.0077534616,0.012259513,0.9877608,0.9910991,72,tv,0.200607
28,0.008103102,0.011927396,0.98726046,0.99105656,72,tv,0.22478014
29,0.007927448,0.012262404,0.9879223,0.99045914,72,tv,0.21192177
30,0.008413285,0.01185146,0.9879669,0.990579,72,tv,0.22057624
31,0.008198917,0.012192696,0.9889434,0.9903308,72,tv,0.23662142
32,0.008183241,0.011964887,0.9896285,0.9901812,72,tv,0.2691159
33,0.008405417,0.011522323,0.9900267,0.99015987,72,tv,0.3099749
34,0.0090557635,0.011408538,0.99045694,0.9904965,72,tv,0.2867555
35,0.009135306,0.011101544,0.9905538,0.99059504,72,tv,0.2851425
36,0.009033382,0.011129886,0.99083185,0.9906093,72,tv,0.2777824
37,0.008495182,0.011317313,0.9909787,0.9902801,72,tv,0.2533549
38,0.008682579,0.011289656,0.9908004,0.9902485,72,tv,0.2502299
39,0.008526146,0.011868894,0.9897557,0.9898402,72,tv,0.23508522
40,0.0082966685,0.012368888,0.9888601,0.9899266,72,tv,0.24556458
41,0.008279294,0.012599558,0.98921096,0.9898782,72,tv,0.23703246
42,0.008252144,0.012141824,0.98953867,0.9901769,72,tv,0.25358698
43,0.008452654,0.010787159,0.99186134,0.9899949,72,tv,0.25276923
44,0.00910449,0.010902345,0.99205923,0.98974603,72,tv,0.29419342
45,0.008841068,0.010584384,0.991915,0.98972857,72,tv,0.31012323
46,0.009219378,0.010499775,0.991909,0.9907077,72,tv,0.38499606
47,0.009148359,0.010741532,0.99193263,0.9905458,72,tv,0.35233107
48,0.009447426,0.011161804,0.9918175,0.99008584,72,tv,0.33634079
49,0.009441882,0.010815412,0.9919499,0.9902543,72,tv,0.3437728
50,0.009979248,0.0111683905,0.99119604,0.9900192,72,tv,0.3172147
51,0.010109305,0.010639638,0.9914819,0.9902102,72,tv,0.32630274
52,0.00975132,0.01031211,0.99076176,0.9902332,72,tv,0.30393517
53,0.009144932,0.010515869,0.9906243,0.99014395,72,tv,0.25786734
54,0.009665728,0.010080248,0.9903238,0.98979294,72,tv,0.21859635
55,0.010018498,0.008980423,0.9915502,0.9898977,72,tv,0.26328635
56,0.010258615,0.0088196695,0.9908579,0.9897264,72,tv,0.22998649
57,0.010224551,0.008071214,0.99131334,0.98982584,72,tv,0.2300054
146,0.012971073,0.011503071,0.99089944,0.9907217,85,clock,0.20874016
147,0.013189405,0.011872888,0.9912441,0.9903159,85,clock,0.2168456
148,0.013218075,0.011827588,0.99076355,0.9904405,85,clock,0.2256257
156,0.013746798,0.012455791,0.98653954,0.9885539,85,clock,0.2046426
216,0.5678657,0.13337526,0.75017,0.86376023,84,book,0.27740306
216,0.44497457,0.15143973,0.6640589,0.81875366,84,book,0.24220031
217,0.5739205,0.17950061,0.7439306,0.8281652,84,book,0.62673104
217,0.47696954,0.18311879,0.65925854,0.7996799,84,book,0.461454
217,0.6483294,0.15381262,0.79342854,0.8387079,84,book,0.22701173
218,0.58752763,0.13258082,0.7473912,0.8583666,84,book,0.48108754
218,0.4833492,0.18555343,0.65127826,0.85138583,84,book,0.40293097
219,0.5888111,0.12964842,0.7485159,0.8569945,84,book,0.4417941
219,0.4840799,0.17960256,0.6512223,0.8473367,84,book,0.392418
220,0.59195715,0.13578078,0.74957734,0.86316323,84,book,0.27591696
220,0.012088716,0.015113145,0.98567426,0.98516226,72,tv,0.26450247
220,0.4839764,0.18343186,0.6533217,0.82984376,84,book,0.25439018
221,0.010799348,0.015529454,0.98666686,0.98483473,72,tv,0.30111763
221,0.4852636,0.18616,0.6533574,0.8130357,84,book,0.20856443
222,0.008583099,0.013127148,0.98828006,0.98672837,72,tv,0.29885715
223,0.0066818893,0.009518743,0.9928206,0.9952402,72,tv,0.26648107
224,0.007558614,0.009175986,0.9928404,0.9948895,72,tv,0.26864
225,0.0078244805,0.010360628,0.9919833,0.9933672,72,tv,0.2359677
226,0.007988423,0.010434359,0.9922111,0.9931935,72,tv,0.23828283
227,0.008700043,0.010896057,0.991745,0.99259055,72,tv,0.21305245
228,0.008303672,0.011029273,0.9917762,0.99253595,72,tv,0.22440776
229,0.008461267,0.011007726,0.99222493,0.9918644,72,tv,0.2345104
