frame,y,x,bottom,right,class,class_str,score
2,0.013896346,0.0,0.98133963,0.9998963,72,tv,0.28401303
3,0.018606633,0.0042550564,0.90522397,1.0,72,tv,0.21545738
4,0.48778534,0.8727003,0.51893556,0.9647295,5,airplane,0.2866603
5,0.023202866,0.0060183704,0.7175336,0.99323153,72,tv,0.3235473
6,0.016713023,0.0030568242,0.682221,0.9951477,72,tv,0.22627056
9,0.02172479,0.016582489,0.88432944,0.98319876,72,tv,0.20163597
13,0.4645207,0.49305886,0.5045988,0.51449317,1,person,0.2046105
20,0.41931,0.4887499,0.50725603,0.51555115,1,person,0.3756976
20,0.42224577,0.55141014,0.5032733,0.58349735,1,person,0.32049417
21,0.41774362,0.54935426,0.50531334,0.5851968,1,person,0.4244484
21,0.41700628,0.48799497,0.5087711,0.51959854,1,person,0.4206599
22,0.41811958,0.55017287,0.50496244,0.5848164,1,person,0.23193845
22,0.41562244,0.49022427,0.5092201,0.5218041,1,person,0.20662463
23,0.32945973,0.0,0.9659783,1.0,65,bed,0.2043634
24,0.40022027,0.52428114,0.5094118,0.59095824,1,person,0.33851013
24,0.4012514,0.4839585,0.5082516,0.52959186,1,person,0.28198162
24,0.3337808,0.0,0.9570576,1.0,65,bed,0.241776
25,0.40563497,0.5433632,0.5065801,0.588125,1,person,0.618136
25,0.4019508,0.48680615,0.50768507,0.52422476,1,person,0.55699426
26,0.39916703,0.48827496,0.50691766,0.53021485,1,person,0.634816
26,0.4006955,0.5417102,0.5043626,0.5876319,1,person,0.55507755
27,0.39713615,0.48963827,0.50667363,0.5241627,1,person,0.70152175
27,0.40034735,0.54728967,0.5035945,0.588234,1,person,0.67107266
28,0.3998921,0.5437686,0.5049344,0.5877262,1,person,0.6439909
28,0.39622515,0.49102148,0.50651765,0.5242574,1,person,0.61479783
29,0.3980822,0.4923082,0.50706184,0.5279929,1,person,0.6952653
29,0.39845705,0.5355424,0.5045695,0.581238,1,person,0.5230655
30,0.39613727,0.49145916,0.50675935,0.5246727,1,person,0.81216055
30,0.39742345,0.5409759,0.504464,0.5836632,1,person,0.61579627
30,0.38627955,0.24907279,0.498197,0.30899513,1,person,0.21728222
31,0.3953183,0.48796272,0.5062872,0.53093493,1,person,0.78988063
31,0.39587316,0.5368403,0.5043357,0.58599484,1,person,0.723016
31,0.38392437,0.24819994,0.49872684,0.30953795,1,person,0.30457616
32,0.39692676,0.48818582,0.504849,0.5297262,1,person,0.77676713
32,0.39379108,0.54065,0.49870163,0.5804368,1,person,0.67180353
32,0.37981266,0.24838233,0.49760956,0.30848837,1,person,0.296638
33,0.3941341,0.48837772,0.50879145,0.5341024,1,person,0.80586684
33,0.39423212,0.5335824,0.50406694,0.57739073,1,person,0.4733939
33,0.37779894,0.24684739,0.49759403,0.30804372,1,person,0.26868457
34,0.39288926,0.48819667,0.51070553,0.5326726,1,person,0.7444057
34,0.39143044,0.5318531,0.5031394,0.57797456,1,person,0.45804647
34,0.36513263,0.75149214,0.51217276,0.99657035,3,car,0.21114461
34,0.37703016,0.24755146,0.49615374,0.30826506,1,person,0.20225073
35,0.39036414,0.4883741,0.5070002,0.52443576,1,person,0.798583
35,0.39060622,0.5370311,0.5012201,0.57307094,1,person,0.52275175
35,0.36284417,0.75164455,0.51021254,0.9962445,3,car,0.2616084
36,0.39239028,0.48846298,0.5096838,0.5280679,1,person,0.7567313
36,0.3899591,0.52912617,0.50097656,0.5697789,1,person,0.3869976
37,0.39220753,0.4886268,0.5112419,0.5253725,1,person,0.84675205
37,0.38741055,0.5275707,0.503252,0.5668814,1,person,0.5446502
37,0.3519969,0.750871,0.51093936,0.99478036,3,car,0.33988577
38,0.3967577,0.48745218,0.5152695,0.52260244,1,person,0.7531018
38,0.38960648,0.52799696,0.5055446,0.5655711,1,person,0.34659803
38,0.35034612,0.75098455,0.5101086,0.99267805,3,car,0.33459628
39,0.39576158,0.4894139,0.5145209,0.52464813,1,person,0.82928497
39,0.39029402,0.52747613,0.506376,0.5636224,1,person,0.583187
39,0.34977537,0.75114703,0.510837,0.9925859,3,car,0.3679096
40,0.39385065,0.48718682,0.5105702,0.5238456,1,person,0.57709694
40,0.3480115,0.75102466,0.510475,0.99603885,3,car,0.414498
40,0.39258578,0.52465516,0.5047244,0.564303,1,person,0.36016583
41,0.3900917,0.48813307,0.5078017,0.5232749,1,person,0.4145322
41,0.34503454,0.75071275,0.5106683,0.9953705,3,car,0.3754173
41,0.39143574,0.5237858,0.50320536,0.56598413,1,person,0.30635127
42,0.3420338,0.7511505,0.51039714,0.9956907,3,car,0.4136614
42,0.38915426,0.48879695,0.506977,0.5256524,1,person,0.41304043
42,0.38817194,0.5226523,0.50269943,0.56319314,1,person,0.23284717
43,0.33997926,0.751389,0.5106052,0.99432683,3,car,0.36387485
43,0.38824058,0.48910403,0.50622195,0.523628,1,person,0.30739668
44,0.33493462,0.7505826,0.50974894,0.9976146,3,car,0.438647
44,0.3889419,0.4923956,0.5048532,0.52713764,1,person,0.33115238
44,0.39240193,0.51762384,0.5031322,0.5587006,1,person,0.20856291
45,0.33176792,0.7517319,0.5083343,0.999138,3,car,0.46327808
45,0.3873858,0.4876147,0.5063072,0.5258772,1,person,0.35556045
45,0.39183572,0.51644546,0.5038076,0.55829924,1,person,0.29855672
