frame,y,x,bottom,right,class,class_str,score
29,0.37350386,0.39551076,0.6134143,0.50621724,10,traffic light,0.2393773
30,0.36934555,0.39819926,0.6092859,0.5098347,10,traffic light,0.23772983
34,0.2868657,0.27613276,0.6653342,0.62964684,10,traffic light,0.43173552
34,0.35033694,0.4149895,0.6266706,0.53584135,10,traffic light,0.20928425
35,0.27933723,0.36212593,0.67667294,0.58085924,10,traffic light,0.22963855
35,0.35093442,0.40891343,0.63256,0.5389028,10,traffic light,0.22692798
36,0.27698636,0.3610549,0.6760573,0.58122444,10,traffic light,0.2436732
36,0.35025737,0.40907374,0.632486,0.539104,10,traffic light,0.23739627
37,0.25946778,0.3614236,0.7009017,0.5870603,10,traffic light,0.51120347
38,0.26386118,0.37282035,0.69690937,0.59408706,10,traffic light,0.48861325
38,0.33731145,0.40444544,0.65519714,0.5578717,1,person,0.25916603
39,0.27475315,0.36891174,0.70149714,0.6028057,10,traffic light,0.632549
39,0.3346824,0.41623247,0.66768616,0.5618948,1,person,0.20562403
40,0.27364624,0.3682866,0.7033853,0.602505,10,traffic light,0.6239705
41,0.27211618,0.37396127,0.708366,0.60390586,10,traffic light,0.6214573
42,0.2716112,0.37382573,0.7128243,0.606298,85,clock,0.43954384
42,0.2716112,0.37382573,0.7128243,0.606298,10,traffic light,0.37147862
43,0.27587622,0.3728026,0.7120406,0.6135849,10,traffic light,0.6158056
44,0.27674174,0.3746572,0.7160484,0.6099202,10,traffic light,0.614764
45,0.27512276,0.3742349,0.71646893,0.6096662,10,traffic light,0.61540115
46,0.27316093,0.37353045,0.7197275,0.6150256,10,traffic light,0.58816516
47,0.27242124,0.3750736,0.72518885,0.6201486,10,traffic light,0.4979302
48,0.27309722,0.3748761,0.7205477,0.62522244,10,traffic light,0.37873253
49,0.27295303,0.37548763,0.71995836,0.6236091,10,traffic light,0.37189972
49,0.27564895,0.369513,0.71565706,0.6197581,85,clock,0.21515079
50,0.2731933,0.3707427,0.71316403,0.62288487,10,traffic light,0.3927957
50,0.2731933,0.3707427,0.71316403,0.62288487,85,clock,0.27250883
51,0.2818998,0.37190622,0.7236301,0.626472,10,traffic light,0.3842182
52,0.2828616,0.37100857,0.72884643,0.62727624,10,traffic light,0.4024364
53,0.282736,0.3705978,0.7302806,0.62744343,10,traffic light,0.40503293
54,0.2683072,0.37572366,0.7282475,0.62780887,85,clock,0.49343243
54,0.2798335,0.36525965,0.728594,0.63540065,10,traffic light,0.294183
55,0.27977455,0.36864585,0.7295916,0.6312656,10,traffic light,0.44893062
55,0.27283406,0.37603915,0.7282789,0.6313,85,clock,0.21379858
56,0.28773886,0.37021753,0.727837,0.6347573,10,traffic light,0.5530305
57,0.287517,0.37085843,0.72766,0.6344527,10,traffic light,0.5576856
58,0.28896165,0.36721855,0.7274449,0.6389298,10,traffic light,0.45824885
58,0.28896165,0.36721855,0.7274449,0.6389298,72,tv,0.35269448
59,0.30109468,0.3773616,0.72220504,0.650243,85,clock,0.55660367
59,0.29644126,0.3694128,0.72619444,0.65659356,77,cell phone,0.26234153
59,0.2943801,0.36534023,0.7263135,0.6535646,10,traffic light,0.26035613
60,0.29545748,0.36927345,0.7293389,0.6493815,85,clock,0.4127818
60,0.29545748,0.36927345,0.7293389,0.6493815,10,traffic light,0.29526478
60,0.29545748,0.36927345,0.7293389,0.6493815,77,cell phone,0.2608954
60,0.29545748,0.36927345,0.7293389,0.6493815,72,tv,0.21388541
61,0.3039672,0.37872714,0.7182876,0.663613,85,clock,0.42646685
61,0.30004483,0.36893138,0.72385675,0.66425586,77,cell phone,0.28317705
61,0.30004483,0.36893138,0.72385675,0.66425586,10,traffic light,0.21308467
62,0.30025083,0.3689106,0.7237664,0.6656026,77,cell phone,0.31912136
62,0.30025083,0.3689106,0.7237664,0.6656026,10,traffic light,0.31235433
62,0.3037967,0.3786186,0.7187843,0.6655214,85,clock,0.3081643
62,0.3058142,0.37223262,0.72383827,0.6647894,72,tv,0.2246273
63,0.30395484,0.36777413,0.7220464,0.6728624,72,tv,0.4103879
63,0.29549146,0.36380154,0.72604,0.6795823,10,traffic light,0.37744337
63,0.29549146,0.36380154,0.72604,0.6795823,77,cell phone,0.3682655
63,0.28664452,0.36472607,0.74103993,0.7009734,85,clock,0.2541681
64,0.30091798,0.3649829,0.72808623,0.66863686,10,traffic light,0.43800077
64,0.30091798,0.3649829,0.72808623,0.66863686,77,cell phone,0.32635903
64,0.29138,0.3634801,0.74358135,0.7029885,85,clock,0.2481677
64,0.30759674,0.3682226,0.7235823,0.6719055,72,tv,0.2116255
65,0.3041384,0.36647046,0.73065674,0.6681073,10,traffic light,0.5244261
65,0.30900466,0.3695857,0.7255248,0.67445797,72,tv,0.3029741
65,0.3041384,0.36647046,0.73065674,0.6681073,77,cell phone,0.2663162
66,0.30409744,0.36584935,0.7306373,0.6673938,10,traffic light,0.4838773
66,0.30899733,0.36941063,0.7255023,0.6739906,72,tv,0.27834886
66,0.30409744,0.36584935,0.7306373,0.6673938,77,cell phone,0.25343537
66,0.29377457,0.3625679,0.74791837,0.7092447,85,clock,0.2005542
67,0.30581862,0.36966673,0.7249295,0.67772794,72,tv,0.45999396
67,0.2972119,0.3667964,0.7262329,0.67844844,10,traffic light,0.43581143
68,0.30541268,0.3701653,0.7255907,0.6650831,72,tv,0.48731318
68,0.29644883,0.35824454,0.73600006,0.6872833,10,traffic light,0.37257507
69,0.3023946,0.35559762,0.734869,0.70953715,72,tv,0.6979946
69,0.3023946,0.35559762,0.734869,0.70953715,10,traffic light,0.40366518
70,0.30275872,0.35622543,0.73503387,0.7103402,72,tv,0.6770031
70,0.30275872,0.35622543,0.73503387,0.7103402,10,traffic light,0.42159164
71,0.30280662,0.3523895,0.73494303,0.711809,72,tv,0.72924113
71,0.30280662,0.3523895,0.73494303,0.711809,10,traffic light,0.35895255
72,0.30684197,0.3516398,0.7308805,0.7161481,72,tv,0.7612005
72,0.30684197,0.3516398,0.7308805,0.7161481,10,traffic light,0.27190498
73,0.3037261,0.3503881,0.7356211,0.71986824,72,tv,0.70286876
73,0.3037261,0.3503881,0.7356211,0.71986824,10,traffic light,0.20336962
74,0.31223574,0.35575634,0.72217,0.71003443,72,tv,0.7713566
75,0.3131404,0.35691416,0.7220117,0.7112398,72,tv,0.7475423
76,0.28536314,0.35171568,0.7281818,0.7261224,72,tv,0.68322736
76,0.29704487,0.36063737,0.73828506,0.7706786,85,clock,0.2096525
77,0.30344057,0.34858596,0.73174703,0.74650884,72,tv,0.66859764
78,0.28787166,0.35004896,0.7294554,0.76739615,72,tv,0.76554
79,0.28621095,0.34888738,0.73085064,0.76996666,72,tv,0.7770204
80,0.2833113,0.34450004,0.7332521,0.7852541,72,tv,0.7811001
80,0.2888664,0.34279537,0.7329277,0.80744517,85,clock,0.34563175
81,0.28656358,0.3429003,0.738409,0.7862971,72,tv,0.8004616
