frame,y,x,bottom,right,class,class_str,score
1,0.13252242,0.4093678,0.43429434,0.5772596,85,clock,0.6988673
2,0.13247202,0.40937623,0.4343151,0.57724833,85,clock,0.69374526
3,0.13247204,0.40935123,0.43433386,0.57725555,85,clock,0.693359
4,0.13249242,0.40934497,0.43432552,0.5772541,85,clock,0.6935436
5,0.1324829,0.40934348,0.43433905,0.57725614,85,clock,0.69321024
6,0.1324814,0.40934482,0.434339,0.5772563,85,clock,0.6931361
7,0.13248171,0.40934473,0.43433875,0.5772563,85,clock,0.69314146
8,0.13248138,0.4093448,0.43433887,0.5772564,85,clock,0.693137
9,0.13247812,0.40933725,0.43433946,0.57725716,85,clock,0.69307536
10,0.13247819,0.4093373,0.43433917,0.57725704,85,clock,0.69307613
11,0.13247812,0.40933725,0.43433946,0.57725716,85,clock,0.69307536
12,0.13247779,0.40933737,0.43433896,0.57725704,85,clock,0.6930805
13,0.13247779,0.40933737,0.43433896,0.57725704,85,clock,0.6930805
14,0.13247779,0.40933737,0.43433896,0.57725704,85,clock,0.6930805
15,0.13247779,0.40933737,0.43433896,0.57725704,85,clock,0.6930805
16,0.13247779,0.40933737,0.43433896,0.57725704,85,clock,0.6930805
17,0.13247368,0.40932876,0.43435535,0.57725745,85,clock,0.6925126
18,0.13247214,0.40932745,0.43435788,0.5772574,85,clock,0.6922269
19,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
20,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
21,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
22,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
23,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
24,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
25,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
26,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
27,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
28,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
29,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
30,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
31,0.13246039,0.4093049,0.43439928,0.5772589,85,clock,0.69109565
32,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
33,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
34,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
35,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
36,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
37,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
38,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
39,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
40,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
41,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
42,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
43,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
44,0.13251299,0.40932506,0.43438256,0.577259,85,clock,0.69371736
