frame,y,x,bottom,right,class,class_str,score
1,0.21776277,0.30000502,0.8857786,0.8641407,24,zebra,0.98615986
2,0.2204532,0.3004787,0.8892054,0.86996615,24,zebra,0.98735774
2,0.442228,0.44183886,0.8816018,0.86562407,24,zebra,0.22153114
3,0.21909192,0.29733256,0.8835949,0.8619125,24,zebra,0.99180377
4,0.21942237,0.29783422,0.8819879,0.86037093,24,zebra,0.9911
5,0.22015163,0.29810974,0.88431644,0.8636874,24,zebra,0.98812884
6,0.2205402,0.30043003,0.88192177,0.8633454,24,zebra,0.98631984
7,0.22213319,0.30116177,0.8816947,0.86081004,24,zebra,0.9844901
8,0.22316548,0.29163808,0.89047337,0.8602776,24,zebra,0.98003894
9,0.22350457,0.29231253,0.8897908,0.86109746,24,zebra,0.97981733
10,0.23296234,0.28145704,0.89796686,0.9018347,24,zebra,0.9891866
11,0.24039772,0.27030772,0.9059957,0.90679127,24,zebra,0.991089
12,0.243254,0.26488826,0.9053343,0.9071262,24,zebra,0.9855735
13,0.24322554,0.25058058,0.89916134,0.90185916,24,zebra,0.99186677
14,0.24350828,0.24884817,0.899641,0.9006729,24,zebra,0.99219066
15,0.24886656,0.2313661,0.89021564,0.8917921,24,zebra,0.99055743
16,0.24480635,0.20325527,0.8957092,0.8827902,24,zebra,0.98977697
17,0.24799448,0.21027604,0.8973078,0.87673914,24,zebra,0.98484576
17,0.24057066,0.2196813,0.89387035,0.884886,17,cat,0.20574613
18,0.2515267,0.20489785,0.8930924,0.8711289,24,zebra,0.98705554
19,0.25115052,0.20563906,0.89190316,0.8693487,24,zebra,0.986896
20,0.25342843,0.20438424,0.8971213,0.87559056,24,zebra,0.9884426
21,0.25865325,0.20794809,0.8821213,0.873572,24,zebra,0.9888868
22,0.26305202,0.19874689,0.8886471,0.8810953,24,zebra,0.9888415
23,0.26396453,0.19899458,0.871971,0.8938803,24,zebra,0.988953
24,0.26151648,0.19873184,0.87296355,0.89477104,24,zebra,0.98935765
25,0.25480744,0.19510528,0.88750994,0.9041643,24,zebra,0.9901686
26,0.25427878,0.19481638,0.8854363,0.9040215,24,zebra,0.9914927
27,0.25271913,0.20282316,0.88455224,0.9003788,24,zebra,0.9914955
28,0.25217685,0.21208858,0.8892945,0.9147508,24,zebra,0.99143445
29,0.25002968,0.21201855,0.8964164,0.9136265,24,zebra,0.9921204
30,0.25368702,0.20139986,0.8817532,0.8986686,24,zebra,0.9921727
31,0.25085366,0.20632046,0.887331,0.9082512,24,zebra,0.9902778
32,0.25178042,0.20787057,0.890195,0.91993713,24,zebra,0.99135274
33,0.25226846,0.1998859,0.8856263,0.89290863,24,zebra,0.99241406
34,0.25429246,0.20429653,0.885334,0.90426904,24,zebra,0.9923568
35,0.25548148,0.2108626,0.8809247,0.900334,24,zebra,0.9924344
36,0.25236744,0.2087143,0.87635475,0.8898533,24,zebra,0.99203604
37,0.25543484,0.21314275,0.8716258,0.8922484,24,zebra,0.9921708
38,0.26103652,0.21593627,0.86369336,0.8925508,24,zebra,0.9911629
39,0.2642321,0.22227934,0.863988,0.90073454,24,zebra,0.99127555
40,0.26275858,0.22081831,0.86935043,0.9048798,24,zebra,0.9906701
41,0.26466674,0.21228045,0.88290495,0.92164093,24,zebra,0.99010617
42,0.26956916,0.2125302,0.8919091,0.9231983,24,zebra,0.987575
43,0.26689708,0.20726743,0.8943049,0.9266325,24,zebra,0.9907239
44,0.26659855,0.20701909,0.89344716,0.92783165,24,zebra,0.99034965
45,0.2623947,0.20607802,0.88380814,0.93215775,24,zebra,0.9882504
46,0.27037835,0.21867761,0.88007224,0.9334495,24,zebra,0.9900545
47,0.2633601,0.22143945,0.87478983,0.92420137,24,zebra,0.9882705
48,0.26532993,0.22544464,0.8768749,0.91859806,24,zebra,0.98373127
49,0.2670025,0.23182279,0.87230325,0.9197474,24,zebra,0.98693514
50,0.2637806,0.22124255,0.8690059,0.91472685,24,zebra,0.99082196
51,0.26883093,0.22284886,0.8732492,0.91870344,24,zebra,0.98250407
51,0.30109838,0.21714589,0.8833598,0.9168427,21,cow,0.2225337
52,0.25922546,0.21709886,0.87388206,0.90756166,24,zebra,0.98331463
53,0.25997007,0.21337846,0.88737357,0.91459394,24,zebra,0.98032296
53,0.29766828,0.21097219,0.8965437,0.9170042,21,cow,0.27151236
54,0.25993976,0.21169916,0.88856053,0.9160752,24,zebra,0.9824081
54,0.29689234,0.20824453,0.8991836,0.9128877,21,cow,0.249338
55,0.2604634,0.20602256,0.895525,0.9059288,24,zebra,0.96218467
