timestamp,load_MW,temperature,predicted_load
2021-02-01 18:00:00-06:00,82003,21.76,81989.984
2021-02-01 19:00:00-06:00,83976,21.19,83948.84
2021-02-01 20:00:00-06:00,83072,20.41,83047.74
2021-02-01 21:00:00-06:00,81512,19.76,81491.11
2021-02-01 22:00:00-06:00,78894,18.5,78880.91
2021-02-01 23:00:00-06:00,76596,19.01,74422.17
2021-02-02 00:00:00-06:00,74643,19.47,73762.44
2021-02-02 01:00:00-06:00,73677,20.23,73675.23
2021-02-02 02:00:00-06:00,73258,20.07,73255.18
2021-02-02 03:00:00-06:00,72851,19.54,72885.234
2021-02-02 04:00:00-06:00,73255,20.0,73283.92
2021-02-02 05:00:00-06:00,74162,19.2,74159.95
2021-02-02 06:00:00-06:00,78287,18.29,78279.42
2021-02-02 07:00:00-06:00,83978,18.37,83958.77
2021-02-02 08:00:00-06:00,86567,19.33,86515.48
2021-02-02 09:00:00-06:00,86269,20.88,86262.164
2021-02-02 10:00:00-06:00,84678,22.01,84666.2
2021-02-02 11:00:00-06:00,82872,23.16,82867.07
2021-02-02 12:00:00-06:00,81079,24.14,81081.21
2021-02-02 13:00:00-06:00,79139,23.57,79141.09
2021-02-02 14:00:00-06:00,77896,24.59,77881.52
2021-02-02 15:00:00-06:00,76386,24.12,76387.72
2021-02-02 16:00:00-06:00,75566,22.49,77494.555
2021-02-02 17:00:00-06:00,76686,21.57,76695.73
2021-02-02 18:00:00-06:00,79951,20.84,81693.21
2021-02-02 19:00:00-06:00,82442,20.06,82463.92
2021-02-02 20:00:00-06:00,82127,19.42,82147.97
2021-02-02 21:00:00-06:00,80894,18.71,80919.23
2021-02-02 22:00:00-06:00,78368,18.81,78356.27
2021-02-02 23:00:00-06:00,76453,18.42,76486.38
2021-02-03 00:00:00-06:00,74775,18.74,75339.42
2021-02-03 01:00:00-06:00,73068,18.31,73100.64
2021-02-03 02:00:00-06:00,72301,17.54,72319.95
2021-02-03 03:00:00-06:00,72149,16.72,73054.625
2021-02-03 04:00:00-06:00,72825,17.81,72800.99
2021-02-03 05:00:00-06:00,74210,17.76,74206.945
2021-02-03 06:00:00-06:00,78506,17.57,78501.516
2021-02-03 07:00:00-06:00,83986,20.14,83981.62
2021-02-03 08:00:00-06:00,86483,22.81,86469.04
2021-02-03 09:00:00-06:00,85231,25.74,85228.61
2021-02-03 10:00:00-06:00,82697,30.17,82697.08
2021-02-03 11:00:00-06:00,80122,32.4,80112.35
2021-02-03 12:00:00-06:00,77693,33.78,78302.58
2021-02-03 13:00:00-06:00,75594,34.4,75584.125
2021-02-03 14:00:00-06:00,73936,33.36,73960.08
2021-02-03 15:00:00-06:00,72424,32.28,72757.37
2021-02-03 16:00:00-06:00,72146,31.52,71887.57
2021-02-03 17:00:00-06:00,73602,30.49,73601.34
2021-02-03 18:00:00-06:00,77109,29.76,77110.13
2021-02-03 19:00:00-06:00,79758,30.08,79762.12
2021-02-03 20:00:00-06:00,79153,30.18,79169.28
2021-02-03 21:00:00-06:00,77801,30.17,77791.93
2021-02-03 22:00:00-06:00,75284,31.47,75281.914
2021-02-03 23:00:00-06:00,72816,31.77,72821.83
2021-02-04 00:00:00-06:00,70805,32.07,70796.73
2021-02-04 01:00:00-06:00,69148,31.94,69146.12
2021-02-04 02:00:00-06:00,68438,31.06,67811.84
2021-02-04 03:00:00-06:00,68135,30.6,68127.914
2021-02-04 04:00:00-06:00,68150,30.1,68161.086
2021-02-04 05:00:00-06:00,69826,28.3,69856.836
2021-02-04 06:00:00-06:00,72767,26.03,74260.73
2021-02-04 07:00:00-06:00,77694,24.86,77680.99
2021-02-04 08:00:00-06:00,80136,23.18,80151.6
2021-02-04 09:00:00-06:00,80455,22.23,80452.48
2021-02-04 10:00:00-06:00,80045,21.36,80045.7
