timestamp,load_MW,temperature,predicted_load
2021-02-01 19:00:00-05:00,114397,31.08,114300.68
2021-02-01 20:00:00-05:00,112629,31.56,112600.81
2021-02-01 21:00:00-05:00,109903,32.08,109787.68
2021-02-01 22:00:00-05:00,106176,32.03,106225.47
2021-02-01 23:00:00-05:00,102484,32.24,102472.6
2021-02-02 00:00:00-05:00,99393,32.36,97262.67
2021-02-02 01:00:00-05:00,97142,32.21,97021.46
2021-02-02 02:00:00-05:00,95485,32.1,95457.11
2021-02-02 03:00:00-05:00,94934,31.63,94920.65
2021-02-02 04:00:00-05:00,95022,31.35,96127.87
2021-02-02 05:00:00-05:00,96784,30.9,96834.2
2021-02-02 06:00:00-05:00,99357,30.46,99306.76
2021-02-02 07:00:00-05:00,103448,30.88,103442.41
2021-02-02 08:00:00-05:00,108027,31.65,107958.3
2021-02-02 09:00:00-05:00,110161,32.21,110153.97
2021-02-02 10:00:00-05:00,110209,32.65,110183.96
2021-02-02 11:00:00-05:00,109535,33.15,109538.62
2021-02-02 12:00:00-05:00,108308,33.57,108323.34
2021-02-02 13:00:00-05:00,107281,33.57,107281.8
2021-02-02 14:00:00-05:00,106169,33.64,106182.12
2021-02-02 15:00:00-05:00,105135,32.9,105163.734
2021-02-02 16:00:00-05:00,104947,32.27,104975.15
2021-02-02 17:00:00-05:00,106230,31.01,109823.47
2021-02-02 18:00:00-05:00,110342,30.49,110314.63
2021-02-02 19:00:00-05:00,113440,29.57,112266.11
2021-02-02 20:00:00-05:00,112249,28.91,112185.57
2021-02-02 21:00:00-05:00,109847,29.02,109817.21
2021-02-02 22:00:00-05:00,106410,29.12,106398.55
2021-02-02 23:00:00-05:00,102480,29.24,102418.12
2021-02-03 00:00:00-05:00,99817,29.21,100002.37
2021-02-03 01:00:00-05:00,98063,28.27,94603.47
2021-02-03 02:00:00-05:00,97122,28.58,97120.516
2021-02-03 03:00:00-05:00,96635,28.95,96646.805
2021-02-03 04:00:00-05:00,96486,30.29,97798.59
2021-02-03 05:00:00-05:00,97551,31.07,97551.41
2021-02-03 06:00:00-05:00,100088,31.8,100088.02
2021-02-03 07:00:00-05:00,105932,32.46,105916.98
2021-02-03 08:00:00-05:00,111187,33.18,111051.06
2021-02-03 09:00:00-05:00,112169,33.47,112105.99
2021-02-03 10:00:00-05:00,110609,34.27,110607.72
2021-02-03 11:00:00-05:00,108777,34.78,108785.26
2021-02-03 12:00:00-05:00,106840,35.61,106836.836
2021-02-03 13:00:00-05:00,104896,35.07,107136.86
2021-02-03 14:00:00-05:00,103804,34.28,103956.734
2021-02-03 15:00:00-05:00,102843,33.42,102981.93
2021-02-03 16:00:00-05:00,102308,33.0,106595.02
2021-02-03 17:00:00-05:00,102177,32.38,107891.09
2021-02-03 18:00:00-05:00,106115,32.39,106114.48
2021-02-03 19:00:00-05:00,109933,32.43,109914.234
2021-02-03 20:00:00-05:00,109781,32.56,109765.51
2021-02-03 21:00:00-05:00,108204,32.49,108220.43
2021-02-03 22:00:00-05:00,105461,33.19,105504.07
2021-02-03 23:00:00-05:00,101867,32.3,101919.97
2021-02-04 00:00:00-05:00,98760,31.57,98828.98
2021-02-04 01:00:00-05:00,96863,30.6,96897.7
2021-02-04 02:00:00-05:00,95766,29.34,95784.44
2021-02-04 03:00:00-05:00,95424,28.11,95116.875
2021-02-04 04:00:00-05:00,96150,28.53,96115.35
2021-02-04 05:00:00-05:00,97402,29.78,97369.375
2021-02-04 06:00:00-05:00,101315,31.91,101285.836
2021-02-04 07:00:00-05:00,108525,33.6,104799.086
2021-02-04 08:00:00-05:00,113363,34.9,113337.695
2021-02-04 09:00:00-05:00,113249,36.33,113239.09
2021-02-04 10:00:00-05:00,109983,38.37,109983.695
2021-02-04 11:00:00-05:00,106522,39.51,106505.26
2021-02-04 12:00:00-05:00,103713,40.76,103724.625
2021-02-04 13:00:00-05:00,102216,40.88,102211.484
2021-02-04 14:00:00-05:00,100468,39.62,100464.8
2021-02-04 15:00:00-05:00,98972,37.01,98998.234
2021-02-04 16:00:00-05:00,98440,34.92,98543.81
2021-02-04 17:00:00-05:00,100020,34.08,100030.96
2021-02-04 18:00:00-05:00,104055,33.76,104057.6
2021-02-04 19:00:00-05:00,107097,32.45,107190.2
2021-02-04 20:00:00-05:00,106124,32.23,110145.78
2021-02-04 21:00:00-05:00,104110,31.69,104243.5
2021-02-04 22:00:00-05:00,101552,33.12,106794.51
2021-02-04 23:00:00-05:00,97795,33.52,97852.38
2021-02-05 00:00:00-05:00,94090,34.47,95827.57
2021-02-05 01:00:00-05:00,91609,35.99,91540.75
2021-02-05 02:00:00-05:00,89696,36.48,89694.21
2021-02-05 03:00:00-05:00,88739,37.35,88725.08
2021-02-05 04:00:00-05:00,88630,36.15,88684.77
2021-02-05 05:00:00-05:00,90051,36.08,90043.31
2021-02-05 06:00:00-05:00,92481,37.51,92476.61
2021-02-05 07:00:00-05:00,98341,39.4,104553.875
2021-02-05 08:00:00-05:00,103780,42.29,103807.0
2021-02-05 09:00:00-05:00,105280,44.21,105274.37
2021-02-05 10:00:00-05:00,104028,46.3,104016.39
2021-02-05 11:00:00-05:00,101973,46.91,102021.484
2021-02-05 12:00:00-05:00,100076,47.61,100089.19
2021-02-05 13:00:00-05:00,98796,47.35,98789.91
2021-02-05 14:00:00-05:00,97911,46.19,97894.336
2021-02-05 15:00:00-05:00,97640,44.14,97632.87
2021-02-05 16:00:00-05:00,96286,43.51,96232.21
2021-02-05 17:00:00-05:00,96634,42.94,96648.695
2021-02-05 18:00:00-05:00,99933,41.09,99889.1
2021-02-05 19:00:00-05:00,103431,39.49,103432.37
2021-02-05 20:00:00-05:00,102840,37.71,103230.18
2021-02-05 21:00:00-05:00,101133,36.14,101135.67
2021-02-05 22:00:00-05:00,98794,34.87,98837.6
2021-02-05 23:00:00-05:00,95997,32.13,96058.8
2021-02-06 00:00:00-05:00,93237,31.07,93542.63
2021-02-06 01:00:00-05:00,90897,29.68,90931.08
2021-02-06 02:00:00-05:00,89891,29.42,89890.03
2021-02-06 03:00:00-05:00,90172,30.05,90181.86
2021-02-06 04:00:00-05:00,90009,32.37,90025.28
2021-02-06 05:00:00-05:00,91010,34.6,91016.695
2021-02-06 06:00:00-05:00,92723,37.9,92712.234
2021-02-06 07:00:00-05:00,95016,41.08,95014.78
2021-02-06 08:00:00-05:00,97654,41.93,97672.98
2021-02-06 09:00:00-05:00,98537,43.52,98530.11
2021-02-06 10:00:00-05:00,97495,44.06,97720.05
2021-02-06 11:00:00-05:00,95783,43.77,95799.164
2021-02-06 12:00:00-05:00,93917,43.73,97416.11
2021-02-06 13:00:00-05:00,92180,43.99,92208.93
2021-02-06 14:00:00-05:00,90698,42.05,90697.28
2021-02-06 15:00:00-05:00,90380,40.84,93126.305
2021-02-06 16:00:00-05:00,90010,38.62,91211.1
2021-02-06 17:00:00-05:00,90897,38.69,90940.15
2021-02-06 18:00:00-05:00,95232,36.5,95253.64
2021-02-06 19:00:00-05:00,99201,35.87,99219.26
2021-02-06 20:00:00-05:00,99364,35.27,99368.59
2021-02-06 21:00:00-05:00,98300,35.37,98276.63
2021-02-06 22:00:00-05:00,96260,34.79,96149.98
2021-02-06 23:00:00-05:00,94001,34.16,93932.7
2021-02-07 00:00:00-05:00,91371,34.46,91469.86
2021-02-07 01:00:00-05:00,89356,35.31,89360.85
2021-02-07 02:00:00-05:00,87833,36.24,87811.46
2021-02-07 03:00:00-05:00,87036,36.3,87060.38
2021-02-07 04:00:00-05:00,87008,35.96,87009.2
2021-02-07 05:00:00-05:00,87570,35.15,87584.62
2021-02-07 06:00:00-05:00,88641,33.34,88646.41
2021-02-07 07:00:00-05:00,90521,32.94,97263.78
2021-02-07 08:00:00-05:00,93169,33.07,93266.98
2021-02-07 09:00:00-05:00,96458,32.67,96462.31
2021-02-07 10:00:00-05:00,99286,32.43,99266.19
2021-02-07 11:00:00-05:00,101031,32.66,101031.4
2021-02-07 12:00:00-05:00,101441,33.58,101402.56
2021-02-07 13:00:00-05:00,101164,34.37,101149.39
2021-02-07 14:00:00-05:00,99571,34.8,99571.336
2021-02-07 15:00:00-05:00,97834,34.92,99615.125
2021-02-07 16:00:00-05:00,96909,34.9,96891.53
2021-02-07 17:00:00-05:00,98534,34.34,98502.28
2021-02-07 18:00:00-05:00,103165,32.99,95507.73
2021-02-07 19:00:00-05:00,107319,30.95,106781.51
2021-02-07 20:00:00-05:00,106116,28.9,106144.16
2021-02-07 21:00:00-05:00,105528,27.39,105497.336
2021-02-07 22:00:00-05:00,103960,26.51,100531.555
2021-02-07 23:00:00-05:00,101716,25.21,101694.664
2021-02-08 00:00:00-05:00,99398,23.21,99449.88
2021-02-08 01:00:00-05:00,97668,21.44,97704.61
2021-02-08 02:00:00-05:00,97594,19.85,97591.41
2021-02-08 03:00:00-05:00,98023,18.78,98004.85
2021-02-08 04:00:00-05:00,98746,17.97,98734.37
2021-02-08 05:00:00-05:00,100818,19.08,97978.375
2021-02-08 06:00:00-05:00,104995,21.13,98445.734
2021-02-08 07:00:00-05:00,112053,22.86,112001.27
2021-02-08 08:00:00-05:00,117147,24.57,97813.06
2021-02-08 09:00:00-05:00,117372,26.45,98563.445
2021-02-08 10:00:00-05:00,115040,28.59,115023.22
2021-02-08 11:00:00-05:00,112224,29.61,112126.27
2021-02-08 12:00:00-05:00,109187,31.28,109108.234
2021-02-08 13:00:00-05:00,106368,30.43,106378.19
2021-02-08 14:00:00-05:00,104717,30.16,104716.94
2021-02-08 15:00:00-05:00,103891,27.61,103868.88
2021-02-08 16:00:00-05:00,103534,25.91,99251.875
2021-02-08 17:00:00-05:00,103941,25.32,103845.08
2021-02-08 18:00:00-05:00,108062,25.08,107893.77
2021-02-08 19:00:00-05:00,112517,24.4,112761.82
2021-02-08 20:00:00-05:00,112171,23.87,112152.586
2021-02-08 21:00:00-05:00,110277,23.77,110308.414
2021-02-08 22:00:00-05:00,107189,23.11,107252.77
2021-02-08 23:00:00-05:00,104611,22.82,105572.55
2021-02-09 00:00:00-05:00,101494,23.26,100141.71
2021-02-09 01:00:00-05:00,98354,23.65,98266.414
2021-02-09 02:00:00-05:00,96839,24.17,96894.445
2021-02-09 03:00:00-05:00,96670,25.23,96676.12
2021-02-09 04:00:00-05:00,95708,26.51,95729.67
2021-02-09 05:00:00-05:00,96627,28.05,96639.27
2021-02-09 06:00:00-05:00,99405,29.58,106612.164
2021-02-09 07:00:00-05:00,105062,30.45,105093.36
2021-02-09 08:00:00-05:00,109777,31.59,106224.64
2021-02-09 09:00:00-05:00,111070,32.95,111069.93
2021-02-09 10:00:00-05:00,110499,32.89,109802.6
2021-02-09 11:00:00-05:00,108707,32.98,108678.14
2021-02-09 12:00:00-05:00,106671,34.37,106521.516
2021-02-09 13:00:00-05:00,104592,35.11,104593.266
2021-02-09 14:00:00-05:00,102975,35.54,102937.82
2021-02-09 15:00:00-05:00,102350,34.95,102294.85
2021-02-09 16:00:00-05:00,101757,34.3,101779.625
2021-02-09 17:00:00-05:00,102285,33.08,102381.07
2021-02-09 18:00:00-05:00,104817,32.79,104823.0
2021-02-09 19:00:00-05:00,108081,32.63,108135.58
2021-02-09 20:00:00-05:00,107780,31.75,107832.15
2021-02-09 21:00:00-05:00,105884,30.52,105973.86
2021-02-09 22:00:00-05:00,102827,29.49,106562.32
2021-02-09 23:00:00-05:00,99324,28.48,99424.375
2021-02-10 00:00:00-05:00,96706,27.72,96826.375
2021-02-10 01:00:00-05:00,94666,26.7,94691.16
2021-02-10 02:00:00-05:00,93967,26.25,93956.5
2021-02-10 03:00:00-05:00,93593,25.36,93565.375
2021-02-10 04:00:00-05:00,93903,24.67,93964.11
2021-02-10 05:00:00-05:00,94807,26.18,93797.22
2021-02-10 06:00:00-05:00,98575,27.42,98481.445
2021-02-10 07:00:00-05:00,104686,29.35,104677.914
2021-02-10 08:00:00-05:00,109648,31.33,109628.71
2021-02-10 09:00:00-05:00,110987,33.06,110997.29
2021-02-10 10:00:00-05:00,109813,33.88,109830.79
2021-02-10 11:00:00-05:00,107862,34.83,108400.05
2021-02-10 12:00:00-05:00,106254,34.97,106267.06
2021-02-10 13:00:00-05:00,105278,35.72,105305.25
2021-02-10 14:00:00-05:00,104553,34.88,104506.02
2021-02-10 15:00:00-05:00,104609,34.3,104568.57
2021-02-10 16:00:00-05:00,106014,33.37,105932.84
2021-02-10 17:00:00-05:00,106651,33.57,106554.34
2021-02-10 18:00:00-05:00,109603,33.05,107187.62
2021-02-10 19:00:00-05:00,112191,32.41,112164.22
2021-02-10 20:00:00-05:00,111145,31.87,111128.46
2021-02-10 21:00:00-05:00,108894,30.28,108886.13
2021-02-10 22:00:00-05:00,105639,29.45,105620.19
2021-02-10 23:00:00-05:00,101981,28.8,101866.38
2021-02-11 00:00:00-05:00,99211,28.61,97056.945
2021-02-11 01:00:00-05:00,96445,28.41,96422.45
2021-02-11 02:00:00-05:00,94440,28.06,95244.26
2021-02-11 03:00:00-05:00,94558,27.41,94557.88
2021-02-11 04:00:00-05:00,94542,27.53,96411.24
2021-02-11 05:00:00-05:00,95030,27.98,95051.875
2021-02-11 06:00:00-05:00,97923,27.42,97964.2
2021-02-11 07:00:00-05:00,103669,28.56,103737.59
2021-02-11 08:00:00-05:00,108930,29.13,108972.19
