timestamp,load_MW,temperature,weekday,season
2018-01-01 00:00:00-05:00,19233.41666666665,15.4,Monday,Winter
2018-01-02 00:00:00-05:00,24461.985714285587,26.39,Tuesday,Winter
2018-01-03 00:00:00-05:00,23508.24166666661,29.02,Wednesday,Winter
2018-01-04 00:00:00-05:00,23875.45833333337,28.37,Thursday,Winter
2018-01-05 00:00:00-05:00,25095.241666666658,16.34,Friday,Winter
2018-01-06 00:00:00-05:00,24323.98571428577,13.72,Saturday,Winter
2018-01-07 00:00:00-05:00,23768.558333333312,18.77,Sunday,Winter
2018-01-08 00:00:00-05:00,23484.824999999943,30.98,Monday,Winter
2018-01-09 00:00:00-05:00,22233.941666666688,43.58,Tuesday,Winter
2018-01-10 00:00:00-05:00,21866.77499999993,39.57,Wednesday,Winter
2018-01-11 00:00:00-05:00,20712.316666666586,48.77,Thursday,Winter
2018-01-12 00:00:00-05:00,20122.00833333344,59.2,Friday,Winter
2018-01-13 00:00:00-05:00,21159.45833333332,53.9,Saturday,Winter
2018-01-14 00:00:00-05:00,21860.00833333337,25.33,Sunday,Winter
2018-01-15 00:00:00-05:00,23037.23333333322,30.22,Monday,Winter
2018-01-16 00:00:00-05:00,22582.191666666648,35.68,Tuesday,Winter
2018-01-17 00:00:00-05:00,22777.86666666678,35.59,Wednesday,Winter
2018-01-18 00:00:00-05:00,22665.83333333325,32.71,Thursday,Winter
2018-01-19 00:00:00-05:00,21451.633333333302,37.58,Friday,Winter
2018-01-20 00:00:00-05:00,19207.95833333337,52.2,Saturday,Winter
2018-01-21 00:00:00-05:00,19278.97500000005,50.64,Sunday,Winter
2018-01-22 00:00:00-05:00,20835.68333333328,47.33,Monday,Winter
2018-01-23 00:00:00-05:00,20445.166666666664,57.93,Tuesday,Winter
2018-01-24 00:00:00-05:00,21724.50000000003,42.33,Wednesday,Winter
2018-01-25 00:00:00-05:00,22054.38333333333,34.49,Thursday,Winter
2018-01-26 00:00:00-05:00,20916.62500000003,37.84,Friday,Winter
2018-01-27 00:00:00-05:00,18923.341666666627,53.91,Saturday,Winter
2018-01-28 00:00:00-05:00,18976.80000000008,51.07,Sunday,Winter
2018-01-29 00:00:00-05:00,21045.883333333422,43.03,Monday,Winter
2018-01-30 00:00:00-05:00,22237.15833333336,35.89,Tuesday,Winter
2018-01-31 00:00:00-05:00,22216.091666666707,32.06,Wednesday,Winter
2018-02-01 00:00:00-05:00,20899.05833333332,43.1,Thursday,Winter
2018-02-02 00:00:00-05:00,22618.97857142849,37.5,Friday,Winter
2018-02-03 00:00:00-05:00,20750.05833333332,31.04,Saturday,Winter
2018-02-04 00:00:00-05:00,20068.44999999998,43.68,Sunday,Winter
2018-02-05 00:00:00-05:00,22174.92499999995,37.82,Monday,Winter
2018-02-06 00:00:00-05:00,21794.49166666666,36.7,Tuesday,Winter
2018-02-07 00:00:00-05:00,21942.31666666677,42.78,Wednesday,Winter
2018-02-08 00:00:00-05:00,22089.75833333329,32.64,Thursday,Winter
2018-02-09 00:00:00-05:00,21449.66666666677,37.91,Friday,Winter
2018-02-10 00:00:00-05:00,19308.658333333333,46.97,Saturday,Winter
2018-02-11 00:00:00-05:00,19361.55833333333,59.32,Sunday,Winter
2018-02-12 00:00:00-05:00,21011.20833333336,57.92,Monday,Winter
2018-02-13 00:00:00-05:00,21273.841666666616,36.22,Tuesday,Winter
2018-02-14 00:00:00-05:00,20063.083333333238,51.57,Wednesday,Winter
2018-02-15 00:00:00-05:00,19552.158333333256,58.08,Thursday,Winter
2018-02-16 00:00:00-05:00,19671.649999999965,57.8,Friday,Winter
2018-02-17 00:00:00-05:00,19346.9916666666,37.84,Saturday,Winter
2018-02-18 00:00:00-05:00,18836.43333333328,44.93,Sunday,Winter
2018-02-19 00:00:00-05:00,19730.50833333339,47.51,Monday,Winter
2018-02-20 00:00:00-05:00,19109.96666666668,66.6,Tuesday,Winter
2018-02-21 00:00:00-05:00,19361.775,77.53,Wednesday,Winter
2018-02-22 00:00:00-05:00,20027.041666666704,52.91,Thursday,Winter
2018-02-23 00:00:00-05:00,19879.73333333327,42.69,Friday,Winter
2018-02-24 00:00:00-05:00,18196.82500000004,53.16,Saturday,Winter
2018-02-25 00:00:00-05:00,18690.60000000004,43.43,Sunday,Winter
2018-02-26 00:00:00-05:00,19843.27500000005,51.31,Monday,Winter
2018-02-27 00:00:00-05:00,19434.208333333343,55.49,Tuesday,Winter
2018-02-28 00:00:00-05:00,18973.38333333333,60.34,Wednesday,Winter
2018-03-01 00:00:00-05:00,19318.74166666656,58.24,Thursday,Spring
2018-03-02 00:00:00-05:00,19973.599999999944,42.96,Friday,Spring
2018-03-03 00:00:00-05:00,18367.22499999997,46.43,Saturday,Spring
2018-03-04 00:00:00-05:00,18997.49166666664,43.19,Sunday,Spring
2018-03-05 00:00:00-05:00,20467.50833333324,41.85,Monday,Spring
2018-03-06 00:00:00-05:00,19930.45000000001,45.56,Tuesday,Spring
2018-03-07 00:00:00-05:00,20745.550000000032,36.5,Wednesday,Spring
2018-03-08 00:00:00-05:00,20544.408333333264,39.54,Thursday,Spring
2018-03-09 00:00:00-05:00,20094.066666666746,42.11,Friday,Spring
2018-03-10 00:00:00-05:00,18957.82500000008,39.3,Saturday,Spring
2018-03-11 00:00:00-05:00,18484.533333333387,44.49,Sunday,Spring
2018-03-12 00:00:00-04:00,19942.174999999985,42.08,Monday,Spring
2018-03-13 00:00:00-04:00,20248.066666666626,40.22,Tuesday,Spring
2018-03-14 00:00:00-04:00,20408.18333333336,40.3,Wednesday,Spring
2018-03-15 00:00:00-04:00,19654.90833333339,46.59,Thursday,Spring
2018-03-16 00:00:00-04:00,19788.63571428565,39.45,Friday,Spring
2018-03-17 00:00:00-04:00,18050.4833333334,47.43,Saturday,Spring
2018-03-18 00:00:00-04:00,18558.108333333344,43.49,Sunday,Spring
2018-03-19 00:00:00-04:00,19547.966666666634,46.15,Monday,Spring
2018-03-20 00:00:00-04:00,20114.9333333333,38.42,Tuesday,Spring
2018-03-21 00:00:00-04:00,20231.891666666645,39.01,Wednesday,Spring
2018-03-22 00:00:00-04:00,19383.266666666663,50.44,Thursday,Spring
2018-03-23 00:00:00-04:00,19002.299999999923,48.93,Friday,Spring
2018-03-24 00:00:00-04:00,17704.758333333324,49.92,Saturday,Spring
2018-03-25 00:00:00-04:00,18194.46666666661,42.58,Sunday,Spring
2018-03-26 00:00:00-04:00,18987.858333333326,46.99,Monday,Spring
2018-03-27 00:00:00-04:00,19641.616666666705,43.27,Tuesday,Spring
2018-03-28 00:00:00-04:00,18843.6583333333,50.17,Wednesday,Spring
2018-03-29 00:00:00-04:00,18728.374999999935,50.47,Thursday,Spring
2018-03-30 00:00:00-04:00,18032.507142857045,58.71,Friday,Spring
2018-03-31 00:00:00-04:00,16997.158333333227,55.25,Saturday,Spring
