Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host,Labels
A/pigeon/Zhejiang/P1/2013,Epi532298,2013-04-01,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.33,2018.22,2013-04-xx,Other Avian,Aa: Ns1: D125g I145v P164s D209n; Nep: D125g I145v P164s D209n D246n;
A/Chicken/Shaoxing/5086,Epi764621,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,Aa: Ns1: T112a I123v; Nep: T112a I123v I226v;
A/pigeon/Zhejiang/P2/2013,Epi532299,2013-04-01,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.33,2018.22,2013-04-xx,Other Avian,unknown
A/Chicken/Shaoxing/5186,Epi764625,2013-10-28,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-28,Chicken,unknown
A/Zhejiang/32/2013,Epi476482,2013-04-01,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.33,2018.22,2013-04-xx,Human,Aa: Ns1: T49a; Nep: T49a N272d;
A/Goose/Jiangsu/1027,Epi573432,2013-04-06,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2013.26,2018.22,2013-04-06,Other Avian,Aa: Nep: Y278*;
A/Jiangsu/9387/2014,Epi628050,2014-02-07,unknown,China,Jiangsu,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.10,2018.22,2014-02-07,Human,Aa: Ns1: D152n N176d; Nep: D152n N176d S240n E249*;
A/chicken/Zhejiang/S4071/2013,Epi1090657,2013-12-08,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.93,2018.22,2013-12-08,Chicken,Aa: Ns1: G179e; Nep: G179e D246n;
A/Chicken/Shaoxing/5479,Epi764630,2013-10-29,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.82,2018.22,2013-10-29,Chicken,Aa: Nep: *250w;
A/Taiwan/1/2017,Epi917069,2017-02-03,unknown,Taiwan,Taiwan,Centers For Disease Control R.o.c.  Taiwan ,unknown,unknown,unknown,2017.09,2018.22,2017-02-03,Human,Aa: Ns1: T197a *218k; Nep: T197a *218k R220w V244i N272t;
A/Sichuan/27183/2017,Epi1102847,2017-05-19,unknown,China,Sichuan,Who Chinese National Influenza Center,unknown,unknown,unknown,2017.38,2018.22,2017-05-19,Human,Aa: Nep: E221k T241k;
A/Chongqing-Yuzhong/1500/2017,Epi1100777,2017-03-22,unknown,China,Chongqing,Who Chinese National Influenza Center,unknown,unknown,unknown,2017.22,2018.22,2017-03-22,Human,Aa: Ns1: S47g K62r D209n; Nep: S47g K62r D209n T242s *243q E249k;
A/Changsha/70/2017,Epi1036705,2017-04-13,unknown,China,Hunan,Other Database Import,unknown,unknown,unknown,2017.28,2018.22,2017-04-13,Human,Aa: Ns1: R118i; Nep: R118i E219k;
A/HongKong/VB16189623/2016,Epi872952,2016-12-28,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2016.99,2018.22,2016-12-28,Human,Aa: Ns1: D125g; Nep: D125g;
A/Environment/Guangxi/689,Epi628714,2014-12-23,unknown,China,Guangxi,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.97,2018.22,2014-12-23,Environment,unknown
A/Environment/Hunan/762,Epi628698,2015-01-20,unknown,China,Hunan,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.05,2018.22,2015-01-20,Environment,unknown
A/Jiangsu/Wuxi04/2013,Epi756018,2013-04-26,unknown,China,Jiangsu,Beijing Institute Of Microbiology And Epidemiology,unknown,unknown,unknown,2013.31,2018.22,2013-04-26,Human,unknown
A/Shandong/2/2014,Epi627858,2014-03-04,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.17,2018.22,2014-03-04,Human,Aa: Ns1: S3f; Nep: S3f;
A/Anhui/1887/2014,Epi627435,2014-05-20,unknown,China,Anhui,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-20,Human,Aa: Ns1: D39e; Nep: D39e E219k E221g;
A/chicken/Jiangsu/SD012/2015,Epi1090537,2015-01-17,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2015.04,2018.22,2015-01-17,Chicken,Aa: Ns1: S8r L36v R37c; Nep: S8r L36v R37c;
A/chicken/China/028/2014,Epi703998,2014-01-10,unknown,China,Jiangsu,Other Database Import,unknown,unknown,unknown,2014.02,2018.22,2014-01-10,Chicken,unknown
A/Chicken/Guangdong/CZ145/2015,Epi580375,2015-02-01,unknown,China,Guangdong,South China Agricultural University,unknown,unknown,unknown,2015.08,2018.22,2015-02-01,Chicken,Aa: Ns1: V194i F201l; Nep: V194i F201l;
A/Environment/Shandong-Linyi/EV01/2015,Epi628754,2015-01-16,unknown,China,Shandong,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.04,2018.22,2015-01-16,Environment,unknown
A/Chicken/Jiangxi/1848,Epi593473,2014-06-15,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.45,2018.22,2014-06-15,Chicken,unknown
A/Chicken/Jiangxi/1352,Epi592512,2014-04-06,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.26,2018.22,2014-04-06,Chicken,unknown
A/Chicken/Jiangxi/1354,Epi592596,2014-04-06,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.26,2018.22,2014-04-06,Chicken,unknown
A/Chicken/Jiangxi/1353,Epi592278,2014-04-06,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.26,2018.22,2014-04-06,Chicken,unknown
A/Chicken/Jiangxi/1351,Epi592248,2014-04-11,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.27,2018.22,2014-04-11,Chicken,unknown
A/Chicken/Jiangxi/1453,Epi593178,2014-04-20,unknown,China,Jiangxi,Other Database Import,unknown,unknown,unknown,2014.30,2018.22,2014-04-20,Chicken,unknown
A/Xinjiang/73030/2014,Epi627914,2014-07-25,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.56,2018.22,2014-07-25,Human,unknown
A/Environment/Xinjiang/7303,Epi627906,2014-07-25,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.56,2018.22,2014-07-25,Environment,unknown
A/XinjiangBintuan/99117/2014,Epi566094,2014-10-25,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.81,2018.22,2014-10-25,Human,unknown
A/XinjiangBintuan/99118/2014,Epi566102,2014-11-20,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.88,2018.22,2014-11-20,Human,unknown
A/Xinjiang/75802/2014,Epi627826,2014-08-15,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.62,2018.22,2014-08-15,Human,unknown
A/Xinjiang/98692/2014,Epi566110,2014-11-25,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.90,2018.22,2014-11-25,Human,Aa: Ns1: T112i; Nep: T112i;
A/Environment/Xinjiang/34,Epi627339,2014-10-23,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.81,2018.22,2014-10-23,Environment,unknown
A/Xinjiang/5845/2015,Epi566062,2015-01-08,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.02,2018.22,2015-01-08,Human,unknown
A/Xinjiang/5914/2015,Epi627315,2015-01-08,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.02,2018.22,2015-01-08,Human,unknown
A/Xinjiang/98691/2014,Epi627499,2014-11-29,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.91,2018.22,2014-11-29,Human,unknown
A/Environment/Xinjiang/9867,Epi566054,2014-11-28,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.91,2018.22,2014-11-28,Human,unknown
A/Xinjiang/5915/2014,Epi627323,2014-12-25,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.98,2018.22,2014-12-25,Human,unknown
A/Xinjiang/5916/2014,Epi566046,2014-12-25,unknown,China,Xinjiang,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.98,2018.22,2014-12-25,Human,unknown
A/chicken/Xinjiang/SD036/2014,Epi1090609,2014-12-03,unknown,China,Xinjiang,Other Database Import,unknown,unknown,unknown,2014.92,2018.22,2014-12-03,Chicken,unknown
