Author,n (strains),publication title,journal,publication URL,strains
centers for disease control and prevention,1,?,,unknown,A/HongKong/125/2017
hong kong department of health,20,?,,unknown,A/HongKong/5581/2014 A/HongKong/5942/2013 A/HongKong/3263/2014 A/HongKong/2212982/2014 A/HongKong/4495/2014 A/HongKong/8122430/2014 A/HongKong/5731/2014 A/HongKong/734/2014 A/HongKong/VB16064646/2016 A/HongKong/8113530/2014 A/HongKong/VB16049808/2016 A/HongKong/8130773/2015 A/HongKong/2550/2015 A/HongKong/VB16184091/2016 A/HongKong/214/2017 A/HongKong/VB17002884/2017 A/HongKong/8194273/2014 A/HongKong/VB16021618/2016 A/HongKong/VB16189623/2016 A/HongKong/VB17037915/2017
centers for disease control, r.o.c.  taiwan ,4,?,,unknown,A/Taiwan/3/2013 A/Taiwan/2/2014 A/Taiwan/1/2017 A/Taiwan/1/2014
beijing institute of microbiology and epidemiology,9,?,,unknown,A/Chicken/Nanjing/761/2013 A/Chicken/Nanjing/759/2013 A/Chicken/Suzhou/097-1/2013 A/environment/Wuxi/Huan/2014 A/Guangdong/8H324/2017 A/Jiangsu/Wuxi04/2013 A/chicken/Wuxi/WX5/2014 A/Chicken/Wuxi/7144 A/Chicken/Wuxi/8048
other database import,466,?,,unknown,A/Shenzhen/SP118/2014 A/Silkiechicken/Shenzhen/2139 A/Shenzhen/SP44/2014 A/Silkiechicken/Shenzhen/2134 A/HongKong/470129/2013 A/chicken/Guangdong/SD025/2014 A/chicken/Guangdong/SC092/2013 A/chicken/Guangdong/SC086/2013 A/Guangdong/2/2013 A/Guangdong/4/2013 A/Chicken/Dongguan/3488 A/Chicken/Dongguan/3418 A/Chicken/Dongguan/3146 A/Chicken/Dongguan/3112 A/Chicken/Dongguan/3141 A/Silkiechicken/Dongguan/3166 A/Silkiechicken/Dongguan/3275 A/Silkiechicken/Dongguan/3284 A/Chicken/Dongguan/3464 A/chicken/Dongguan/744/2014 A/chicken/Dongguan/851/2014 A/Chicken/Dongguan/1143 A/silkiechicken/Dongguan/963/2014 A/silkiechicken/Dongguan/967/2014 A/Chicken/Dongguan/3491 A/Silkiechicken/Dongguan/3520 A/Silkiechicken/Dongguan/3522 A/Chicken/Dongguan/3935 A/Silkiechicken/Dongguan/3980 A/Chicken/Dongguan/3894 A/chicken/Dongguan/178/2014 A/chicken/Dongguan/749/2014 A/Chicken/Shantou/1556 A/silkiechicken/Dongguan/635/2014 A/chicken/Dongguan/711/2014 A/chicken/Dongguan/899/2014 A/chicken/Dongguan/864/2014 A/chicken/Dongguan/518/2014 A/chicken/Dongguan/213/2014 A/chicken/Dongguan/189/2014 A/chicken/Dongguan/210/2014 A/chicken/Dongguan/262/2014 A/chicken/Dongguan/173/2014 A/chicken/Dongguan/248/2014 A/silkiechicken/Dongguan/988/2014 A/Chicken/Dongguan/1009 A/Chicken/Dongguan/1494 A/Chicken/Dongguan/2912 A/Silkiechicken/Dongguan/3049 A/Silkiechicken/Dongguan/3526 A/Chicken/Dongguan/4195 A/Silkiechicken/Dongguan/3990 A/Chicken/Dongguan/4251 A/chicken/Dongguan/835/2014 A/Silkiechicken/Dongguan/1450 A/Silkiechicken/Dongguan/1448 A/chicken/Dongguan/237/2014 A/silkiechicken/Dongguan/157/2014 A/chicken/Dongguan/874/2014 A/Chicken/Dongguan/1548 A/Chicken/Dongguan/1051 A/Chicken/Jiangxi/9513 A/Shenzhen/SP75/2014 A/Guangdong/5/2013 A/Shenzhen/SP60/2014 A/Chicken/Dongguan/1690 A/chicken/Guangdong/SD014/2014 A/chicken/Dongguan/191/2014 A/chicken/Dongguan/169/2014 A/Silkiechicken/Dongguan/1451 A/Chicken/Dongguan/1091 A/chicken/Guangdong/SD018/2015 A/Shenzhen/SP126/2014 A/Chicken/Dongguan/1673 A/Shenzhen/SP48/2014 A/silkiechicken/Dongguan/981/2014 A/Chicken/Dongguan/1505 A/Chicken/Dongguan/1314 A/Chicken/Dongguan/1108 A/silkiechicken/Dongguan/979/2014 A/chicken/Dongguan/536/2014 A/Chicken/Dongguan/1022 A/Silkiechicken/Shantou/1406 A/Silkiechicken/Shantou/2050 A/Silkiechicken/Shantou/2056 A/Chicken/Shantou/3057 A/Chicken/Shantou/2539 A/Chicken/Shantou/1552 A/Chicken/Shantou/1554 A/Silkiechicken/Shantou/2054 A/Chicken/Shantou/1550 A/Chicken/Shantou/2550 A/Chicken/Shantou/2546 A/Chicken/Shantou/2556 A/Chicken/Shantou/2538 A/Chicken/Shantou/2537 A/Chicken/Shantou/2562 A/chicken/Guangdong/SD023/2014 A/Chicken/Dongguan/1374 A/Chicken/Dongguan/1697 A/Chicken/Dongguan/1421 A/Chicken/Dongguan/1459 A/Chicken/Dongguan/1297 A/Chicken/Dongguan/1506 A/Chicken/Dongguan/1456 A/silkiechicken/Dongguan/953/2014 A/Chicken/Dongguan/1303 A/Chicken/Dongguan/1401 A/silkiechicken/Dongguan/986/2014 A/Chicken/Dongguan/1124 A/Chicken/Shantou/4325 A/Chicken/Shantou/4832 A/Chicken/Shantou/4833 A/chicken/Zhejiang/S4079/2013 A/chicken/Zhejiang/S4071/2013 A/chicken/Guangdong/S1200/2015 A/environment/Shanghai/PD-JZ-01/2014 A/Chicken/Jiangxi/1800 A/chicken/Jiangsu/SD012/2015 A/pigeon/Zhejiang/P2/2013 A/environment/Suzhou/14/2013 A/Zhejiang/HZ1/2013 A/Zhejiang/DTID-ZJU01/2013 A/chicken/Dongguan/709/2014 A/chicken/Dongguan/695/2014 A/chicken/Dongguan/815/2014 A/Chicken/Dongguan/4048 A/Chicken/Dongguan/1318 A/chicken/Dongguan/397/2014 A/Silkiechicken/Dongguan/1271 A/Chicken/Dongguan/1433 A/Silkiechicken/Dongguan/1268 A/Chicken/Dongguan/1188 A/Chicken/Dongguan/1533 A/Chicken/Dongguan/1307 A/Chicken/Dongguan/1393 A/Silkiechicken/Dongguan/1264 A/Silkiechicken/Dongguan/1516 A/chicken/Dongguan/449/2014 A/chicken/Dongguan/584/2014 A/Shenzhen/SP139/2014 A/chicken/Dongguan/575/2014 A/chicken/Dongguan/856/2014 A/chicken/Dongguan/934/2014 A/silkiechicken/Dongguan/523/2014 A/chicken/Dongguan/568/2014 A/Silkiechicken/Dongguan/1274 A/Chicken/Dongguan/1527 A/Chicken/Dongguan/1096 A/Chicken/Dongguan/1526 A/Chicken/Dongguan/1057 A/Chicken/Dongguan/1312 A/Chicken/Dongguan/1382 A/Chicken/Dongguan/1075 A/Minhang/S01/2013 A/environment/Shanghai/RL01/2013 A/Wuxi/3/2013 A/Wuxi/1/2013 A/chicken/Shanghai/017/2013 A/chicken/Guangdong/G2/2013 A/Chicken/Jiangxi/1248 A/environment/Guangdong/25/2013 A/Anhui/1-YK_RG56/2013 A/duck/Anhui/S702/2013 A/Chicken/Jiangxi/1255 A/Changsha/2/2013 A/Jiangsu/2/2013 A/Nanjing/1/2013 A/Shanghai/ION/2013 A/Changsha/1/2013 A/Chicken/Wuxi/405 A/Duck/Wuxi/405 A/Pigeon/Wuxi/405 A/Wuxi/2/2013 A/Suzhou/5/2013 A/Xuzhou/1/2013 A/chicken/Shanghai/019/2013 A/Chicken/Shaoxing/5479 A/Chicken/Shaoxing/5086 A/Chicken/Shaoxing/5087 A/Chicken/Shaoxing/5224 A/Chicken/Shaoxing/5227 A/Silkiechicken/Shaoxing/5235 A/chicken/Hangzhou/174/2013 A/Environment/Nanjing/2913 A/Zhenjiang/1/2013 A/environment/Wuxi/1/2013 A/Nanjing/2/2013 A/Shanghai/5190T/2013 A/Taiwan/T02081/2013 A/Taiwan/S02076/2013 A/Chicken/HuZhou/4045 A/Silkiechicken/HuZhou/4213 A/chicken/Guangdong/SD1/2013 A/treesparrow/Shanghai/01/2013 A/Chicken/Guangdong/3135 A/Chicken/Guangdong/3640 A/chicken/Guangdong/G1/2013 A/Chicken/Dongguan/3438 A/Chicken/Dongguan/3487 A/Silkiechicken/Dongguan/3528 A/Silkiechicken/Dongguan/3525 A/Chicken/Dongguan/3563 A/Silkiechicken/Dongguan/3606 A/Silkiechicken/Dongguan/3605 A/Chicken/Dongguan/3582 A/Chicken/Dongguan/3544 A/Chicken/Dongguan/3145 A/Chicken/Dongguan/4064 A/Chicken/Dongguan/4114 A/Silkiechicken/Dongguan/3281 A/Silkiechicken/Dongguan/4129 A/Chicken/Dongguan/3917 A/Chicken/Dongguan/3945 A/Shenzhen/SP-W1/2014 A/Chicken/Dongguan/3972 A/Chicken/Dongguan/4119 A/Chicken/Dongguan/4063 A/Chicken/Dongguan/3219 A/Chicken/Dongguan/4037 A/Chicken/Dongguan/4094 A/Silkiechicken/Dongguan/4127 A/Chicken/Dongguan/4102 A/Chicken/Dongguan/4040 A/Silkiechicken/Dongguan/4126 A/chicken/Dongguan/843/2014 A/chicken/Dongguan/850/2014 A/Chicken/Dongguan/1100 A/chicken/Dongguan/836/2014 A/chicken/Dongguan/748/2014 A/silkiechicken/Dongguan/997/2014 A/chicken/Dongguan/803/2014 A/Guangdong/1/2013 A/HuZhou/1/2013 A/chicken/Guangdong/SD015/2013 A/Chicken/Shantou/4824 A/chicken/Guangxi/SD004/2014 A/chicken/Shenzhen/138/2014 A/Chicken/Dongguan/1619 A/Silkiechicken/Dongguan/1641 A/Chicken/Dongguan/1666 A/chicken/Guangdong/SD002/2014 A/chicken/Shenzhen/727/2013 A/Shenzhen/SP26/2014 A/silkiechicken/Shenzhen/919/2013 A/silkiechicken/Shenzhen/918/2013 A/Shenzhen/SP58/2014 A/Shenzhen/SP38/2014 A/Silkiechicken/Dongguan/1519 A/Chicken/Shenzhen/3734 A/Silkiechicken/Shenzhen/3782 A/Shenzhen/SP17/2014 A/Silkiechicken/Shenzhen/3781 A/chicken/Shenzhen/898/2013 A/chicken/Shenzhen/801/2013 A/chicken/Shenzhen/747/2013 A/Chicken/Shenzhen/2293 A/Chicken/Shenzhen/2201 A/Chicken/Shenzhen/3733 A/Chicken/Shenzhen/1665 A/chicken/Shenzhen/742/2013 A/chicken/Shenzhen/749/2013 A/Chicken/Shenzhen/2110 A/Chicken/Shenzhen/3780 A/Shenzhen/SP-Z93/2014 A/Shenzhen/SP16/2014 A/Shenzhen/SP49/2014 A/Shenzhen/SP4/2014 A/Chicken/Wuxi/403 A/Shanghai/2/2013 A/Fujian/1/2013 A/Nanchang/1/2013 A/Nanjing/4/2013 A/Suzhou/3/2013 A/Nanjing/7/2013 A/Chicken/Jiangxi/1254 A/environment/Suzhou/8/2013 A/Chicken/Jiangxi/1249 A/Chicken/Jiaxing/4490 A/Nanjing/6/2013 A/Shanghai/MH01/2013 A/chicken/Zhejiang/DTID-ZJU01/2013 A/Duck/Sunan/408 A/chicken/Zhejiang/C483/2013 A/chicken/Zhejiang/C481/2013 A/Wuxi/4/2013 A/chicken/Guangdong/G3/2013 A/chicken/Fujian/S1085/2014 A/chicken/Zhejiang/S4135/2013 A/chicken/Zhejiang/DTID-ZJU06/2013 A/Shanghai/PD-01/2014 A/Shenzhen/SP116/2014 A/Shanghai/1/2014 A/chicken/Hunan/SD010/2014 A/chicken/Hunan/SD017/2014 A/chicken/Fujian/S1017/2014 A/chicken/Zhejiang/S4017/2013 A/duck/Jiangsu/S1181/2014 A/chicken/Fujian/S4518/2015 A/chicken/Wenzhou/HATSLG01/2015 A/chicken/Wenzhou/WZTSLG02/2015 A/Quzhou/1/2015 A/Quzhou/2/2015 A/chicken/Jiangxi/S11228/2015 A/chicken/Jiangxi/S10017/2015 A/Fujian/S03/2015 A/Chicken/Shaoxing/5201 A/Chicken/HuZhou/4141 A/Chicken/HuZhou/3802 A/Chicken/HuZhou/4169 A/Chicken/HuZhou/4073 A/Chicken/HuZhou/4067 A/Chicken/HuZhou/3791 A/Chicken/HuZhou/4083 A/Chicken/HuZhou/4076 A/Chicken/HuZhou/3765 A/Chicken/HuZhou/4074 A/Chicken/Shaoxing/5186 A/chicken/Shanghai/PD-CN-02/2014 A/Chicken/Jiangxi/1323 A/Chicken/Dongguan/1358 A/Chicken/Jiangxi/1351 A/Chicken/Jiangxi/1353 A/Chicken/Jiangxi/1325 A/Chicken/Jiangxi/1356 A/Chicken/Jiangxi/1355 A/chicken/China/028/2014 A/Taiwan/4-CGMH1/2014 A/Taiwan/4-CGMH2/2014 A/Chicken/Jiangxi/1552 A/Chicken/Jiangxi/1326 A/silkiechicken/Dongguan/969/2014 A/Chicken/Dongguan/1177 A/silkiechicken/Dongguan/991/2014 A/Chicken/Zhangzhou/8585 A/Chicken/Zhangzhou/8829 A/chicken/Fujian/S1096/2015 A/chicken/Fujian/S4248/2014 A/chicken/Fujian/SD005/2015 A/Chicken/Jiangxi/1321 A/Chicken/Jiangxi/1276 A/Duck/Jiangxi/1504 A/Chicken/Jiangxi/1455 A/Chicken/Jiangxi/1322 A/Chicken/Jiangxi/1447 A/Chicken/Jiangxi/1403 A/Chicken/Jiangxi/1350 A/Chicken/Dongguan/1230 A/Zhejiang/LS01/2014 A/environment/Fujian/SD003/2014 A/chicken/Taizhou/TZJF02/2015 A/chicken/Jiangxi/S40993/2015 A/duck/Wenzhou/YJYF24/2015 A/chicken/Jiangxi/S10844/2015 A/chicken/Zhejiang/S1190/2015 A/chicken/Jiangsu/S1361/2015 A/chicken/Jiangsu/S1460/2016 A/chicken/Jiangsu/S1441/2016 A/chicken/Ganzhou/GZ79/2016 A/chicken/Jiangsu/S1045/2016 A/chicken/Guangdong/J1/2017 A/chicken/Guangdong/SD032/2017 A/chicken/Guangdong/SD008/2017 A/chicken/Guangdong/SD010/2017 A/chicken/Guangdong/J2/2017 A/chicken/Guangdong/SD031/2017 A/duck/Japan/AQ-HE29-22/2017 A/chicken/Heinan/ZZ01/2017 A/environment/Hebei/SC069/2013 A/environment/Zhenjiang/4/2013 A/chicken/Ningxia/S1152/2014 A/Shanghai/PD-02/2014 A/pigeon/Zhejiang/P1/2013 A/Chicken/Jiangxi/1402 A/chicken/Henan/S1425/2014 A/Chicken/Jiangxi/1453 A/Chicken/Jiangxi/1451 A/Chicken/Jiangxi/1448 A/Chicken/Jiangxi/1354 A/Chicken/Jiangxi/1352 A/Chicken/Jiangxi/1848 A/Chicken/Jiangxi/1851 A/Chicken/Jiangxi/1844 A/chicken/Xinjiang/SD033/2014 A/chicken/Xinjiang/SD036/2014 A/Goose/Jiangsu/1027 A/chicken/Zhejiang/S4008/2013 A/chicken/Zhejiang/S4168/2013 A/Silkiechicken/Shaoxing/5130 A/Chicken/Shaoxing/5146 A/Chicken/Shaoxing/2417 A/Chicken/Shaoxing/5136 A/Chicken/Jiangxi/1226 A/Chicken/Jiangxi/1227 A/Chicken/Jiangxi/1320 A/Chicken/Jiangxi/1349 A/Chicken/Jiangxi/1223 A/Chicken/Jiangxi/1221 A/Chicken/Jiangxi/1224 A/Chicken/Jiangxi/1225 A/Chicken/Jiangxi/1222 A/chicken/Fujian/S1322/2014 A/chicken/Guangdong/SD021/2014 A/chicken/Guangdong/SD029/2014 A/chicken/Guangxi/SD005/2014 A/chicken/Guangxi/SD006/2014 A/Shenzhen/SP62/2014 A/Shenzhen/SP113/2014 A/silkiechicken/Dongguan/656/2014 A/Changsha/26/2017 A/chicken/Guangdong/SD027/2015 A/chicken/Guangdong/SD1433/2016 A/chicken/Guangdong/SD034/2017 A/Guangdong/SP440/2017 A/Guangdong/HP001/2017 A/chicken/Hunan/SD019/2014 A/chicken/Fujian/S4219/2014 A/chicken/Fujian/S4215/2014 A/chicken/Hebei/S1257/2016 A/duck/Hunan/S40506/2015 A/Qingyuan/GIRD01/2017 A/duck/Hunan/S40685/2015 A/environment/Hunan/S40858/2015 A/chicken/Jilin/SD009/2016 A/Chicken/Jiangxi/1256 A/Chicken/Shantou/4816 A/Silkiechicken/Jiangxi/9472 A/Chicken/Jiangxi/9508 A/Chicken/Jiangxi/1220 A/Chicken/Jiangxi/9558 A/Chicken/Jiangxi/9497 A/Silkiechicken/Jiangxi/9469 A/Silkiechicken/Jiangxi/9476 A/Chicken/Jiangxi/9530 A/Chicken/Jiangxi/9534 A/Chicken/Jiangxi/1092 A/Chicken/Jiangxi/1094 A/Chicken/Jiangxi/1095 A/Chicken/Jiangxi/1096 A/Chicken/Jiangxi/1087 A/Chicken/Jiangxi/1088 A/Chicken/Jiangxi/1089 A/Chicken/Jiangxi/1057 A/Chicken/Jiangxi/1055 A/Chicken/Jiangxi/1093 A/chicken/Zhejiang/S4060/2014 A/chicken/Longquan/LQ78/2016 A/chicken/Zhejiang/SD001/2016 A/chicken/Huaian/007/2014 A/Huaian/83/2014 A/duck/Huaian/053/2014 A/duck/Wenzhou/RAQL10/2015 A/chicken/Wenzhou/RAQL01/2015 A/chicken/Wenzhou/RAQL18/2015 A/chicken/Jiangsu/S4519/2015 A/chicken/Shanghai/S4100/2015 A/chicken/Hunan/S12753/2016 A/duck/Jiangsu/S1220/2016 A/duck/Zhejiang/S1375/2016 A/chicken/Zhejiang/S1074/2016 A/duck/Jiangsu/S1700/2016 A/chicken/Guangdong/SD027/2017 A/chicken/Guangdong/SD028/2017 A/Kunming/KMCDC-YHY/2017 A/Yunnan/129/2017 A/InnerMongolia/Tongliao29169/2017
jiangsu provincial center for disease control & prevention,11,?,,unknown,A/Nanjing/5/2013 A/Nanjing/f0874/2013 A/Nanjing/M2/2013 A/Nanjing/3/2013 A/Suzhou/73/2016 A/Suzhou/56/2016 A/Suzhou/60/2016 A/Suzhou/78/2016 A/Suzhou/79/2016 A/Suzhou/74/2016 A/Suzhou/67/2016
agriculture, fisheries and conservation department,1,?,,unknown,A/silky_chicken/HongKong/1772-3/2014
fujian center for disease control and prevention,6,?,,unknown,A/Fujian/1/2016 A/Fujian/16/2015 A/Fujian/10/2015 A/Fujian/3/2016 A/Fujian/22/2015 A/Fujian/18/2015
harbin veterinary research institute  caas ,37,?,,unknown,A/duck/Zhejiang/SC410/2013 A/chicken/Zhejiang/SD033/2013 A/chicken/Shanghai/S1080/2013 A/environment/Shanghai/S1439/2013 A/Environment/Shanghai/S1088/2013 A/chicken/Shanghai/S1413/2013 A/chicken/Shanghai/S1077/2013 A/duck/Anhui/SC702/2013 A/environment/Shandong/SD038/2013 A/environment/Henan/SD429/2013 A/Pigeon/Shanghai/S1069/2013 A/chicken/Shanghai/S1079/2013 A/chicken/Shanghai/S1076/2013 A/chicken/Shanghai/S1078/2013 A/homingpigeon/Jiangsu/SD184/2013 A/pigeon/Shanghai/S1423/2013 A/chicken/Zhejiang/SD019/2013 A/chicken/Shanghai/S1055/2013 A/chicken/Shanghai/S1410/2013 A/chicken/Jiangsu/SC537/2013 A/chicken/Jiangsu/SC035/2013 A/Chicken/Shanghai/S1053/2013 A/pigeon/Shanghai/S1421/2013 A/chicken/Guangdong/SD641/2013 A/chicken/Jiangxi/SD001/2013 A/wildpigeon/Jiangsu/SD001/2013 A/environment/Shandong/SD049/2013 A/environment/Shandong/SD039/2013 A/environment/Fujian/SC337/2013 A/environment/Henan/SC232/2013 A/chicken/Jiangsu/S002/2013 A/environment/Shanghai/S1436/2013 A/chicken/Zhejiang/SD007/2013 A/environment/Shanghai/S1437/2013 A/environment/Shanghai/S1438/2013 A/chicken/Shanghai/S1358/2013 A/chicken/Jiangsu/SC099/2013
institute of microbiology, chinese academy of sciences,33,?,,unknown,A/Chicken/Liaoning/304 A/Guangdong/Th005/2017 A/Chicken/Fujian/606 A/Shenzhen/Th008/2017 A/Chicken/Shandong/505 A/Shenzhen/Th003/2017 A/Environment/Guangdong/313 A/Shenzhen/Th0007/2017 A/Guangdong/Th008/2017 A/Shenzhen/Th001/2016 A/Shenzhen/Th006/2017 A/Chicken/Shandong/403 A/Shenzhen/Th004/2017 A/Chicken/Guangdong/108 A/Shenzhen/Th002/2016 A/Chicken/Hebei/222 A/Chicken/Jiangxi/217 A/Chicken/Shandong/210 A/Chicken/Zhejiang/1215 A/Chicken/Guangdong/1210 A/chicken/Zhejiang/110HZ142/2017 A/Yunnan/YN001/2017 A/Yunnan/YN002/2017 A/Fujian/QZ-Th005/2017 A/Chicken/Jiangxi/216 A/Environment/Jiangxi/205 A/Fujian/QZ-Th001/2017 A/Fujian/QZ-Th002/2017 A/Chicken/Jiangsu/502 A/chicken/Jiangsu/122KS008-O/2016 A/chicken/Jiangsu/122KS004-O/2016 A/chicken/Jiangsu/122KS001-O/2016 A/Chicken/Liaoning/512
