Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Fauna Date,Raw Date,Host
A/Environment/Guangdong/4740,Epi628533,2014-05-21,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.38,2018.22,2014-05-21,Environment
A/GD-95/2015/H7N9/2015-03-05,Epi656495,2015-03-05,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.17,2018.22,2015-03-05,Human
A/GD-68/2015/H7N9/2015-02-08,Epi656439,2015-02-08,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.10,2018.22,2015-02-08,Human
A/GD-51/2015/H7N9/2015-01-30,Epi656399,2015-01-30,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2015.08,2018.22,2015-01-30,Human
A/Guangdong/15SF051/2015,Epi627054,2015-01-31,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2015.08,2018.22,2015-01-31,Human
A/HuZhou/1/2013,Epi503496,2013-04-03,unknown,China,Zhejiang,Other Database Import,unknown,unknown,unknown,2013.25,2018.22,2013-04-03,Human
A/Guangdong/1/2013,Epi476698,2013-08-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-10,Human
A/Guangdong/24997/2013,Epi628517,2013-11-30,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2013.91,2018.22,2013-11-30,Human
A/Shenzhen/SP38/2014,Epi583261,2014-01-22,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.06,2018.22,2014-01-22,Human
A/Shenzhen/SP58/2014,Epi578156,2014-01-25,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.07,2018.22,2014-01-25,Human
A/Chicken/Shenzhen/3734,Epi581849,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/GD-48/2014/H7N9/2014-01-19,Epi655987,2014-01-19,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.05,2018.22,2014-01-19,Human
A/Guangdong/48/2014,Epi628005,2014-01-20,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human
A/Shenzhen/SP17/2014,Epi583233,2014-01-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human
A/Shenzhen/SP44/2014,Epi583268,2014-01-23,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human
A/HongKong/5942/2013,Epi490879,2013-11-30,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2013.91,2018.22,2013-11-30,Human
A/HongKong/470129/2013,Epi509510,2013-11-30,unknown,Hong Kong,Hong Kong,Other Database Import,unknown,unknown,unknown,2013.91,2018.22,2013-11-30,Human
A/Silkiechicken/Shenzhen/2139,Epi581580,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken
A/Silkiechicken/Shenzhen/2134,Epi581574,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken
A/Shenzhen/SP60/2014,Epi577992,2014-01-30,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human
A/Shenzhen/SP16/2014,Epi583254,2014-01-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-18,Human
A/GD-46/2014/H7N9/2014-01-16,Epi655979,2014-01-16,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.04,2018.22,2014-01-16,Human
A/Guangdong/46/2014,Epi627933,2014-01-17,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.04,2018.22,2014-01-17,Human
A/silkiechicken/Shenzhen/919/2013,Epi577936,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken
A/silkiechicken/Shenzhen/918/2013,Epi577930,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken
A/Chicken/Shenzhen/3780,Epi581856,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/chicken/Shenzhen/742/2013,Epi577902,2013-12-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-10,Chicken
A/chicken/Shenzhen/749/2013,Epi577916,2013-12-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-10,Chicken
A/Chicken/Shenzhen/2201,Epi581586,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken
A/Chicken/Shenzhen/3733,Epi581842,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Shenzhen/SP49/2014,Epi583282,2014-01-25,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.07,2018.22,2014-01-25,Human
A/chicken/Shenzhen/898/2013,Epi577923,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken
A/HongKong/734/2014,Epi498797,2014-01-07,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.02,2018.22,2014-01-07,Human
A/Shenzhen/SP26/2014,Epi583240,2014-01-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.05,2018.22,2014-01-20,Human
A/GD-26/2014/H7N9/2014-01-10,Epi655915,2014-01-10,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.02,2018.22,2014-01-10,Human
A/Guangdong/26/2014,Epi628109,2014-01-11,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.03,2018.22,2014-01-11,Human
A/Shenzhen/SP-Z93/2014,Epi583219,2014-01-11,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.03,2018.22,2014-01-11,Human
A/chicken/Shenzhen/801/2013,Epi583296,2013-12-09,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-09,Chicken
A/Silkiechicken/Shenzhen/3781,Epi581863,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Silkiechicken/Shenzhen/3782,Epi581871,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Shenzhen/2293,Epi581593,2013-12-13,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.95,2018.22,2013-12-13,Chicken
A/Chicken/Shenzhen/1665,Epi577950,2013-12-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-12,Chicken
A/chicken/Shenzhen/747/2013,Epi577909,2013-12-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-10,Chicken
A/chicken/Shenzhen/727/2013,Epi577895,2013-12-10,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.94,2018.22,2013-12-10,Chicken
A/Silkiechicken/Dongguan/3166,Epi581641,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken
A/Chicken/Dongguan/3146,Epi581634,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken
A/Chicken/Dongguan/3141,Epi581620,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken
A/Chicken/Dongguan/3112,Epi581613,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken
A/Guangdong/2/2013,Epi499905,2013-11-04,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.84,2018.22,2013-11-04,Human
A/Guangdong/DG-02/2013,Epi515858,2013-11-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.84,2018.22,2013-11-xx,Human
A/Guangdong/YJ-04/2013,Epi515874,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.00,2018.22,2013-12-xx,Human
A/Guangdong/DG-03/2013,Epi515866,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.93,2018.22,2013-12-xx,Human
A/Guangdong/5/2013,Epi506230,2013-12-17,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-17,Human
A/Guangdong/YJ-05/2013,Epi515882,2013-12-01,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2013.96,2018.22,2013-12-xx,Human
A/chicken/Guangdong/SC092/2013,Epi1090266,2013-08-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-12,Chicken
A/chicken/Guangdong/SC086/2013,Epi1090258,2013-08-12,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.61,2018.22,2013-08-12,Chicken
A/silky_chicken/HongKong/1772-3/2014,Epi553197,2014-01-27,unknown,Hong Kong,Hong Kong,Agriculture Fisheries And Conservation Department,unknown,unknown,unknown,2014.07,2018.22,2014-01-27,Other Avian
A/HongKong/2212982/2014,Epi502370,2014-01-28,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.07,2018.22,2014-01-28,Human
A/Chicken/Dongguan/1673,Epi597151,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Guangdong-Guangzhou/XN13392/2014,Epi627694,2014-03-24,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.22,2018.22,2014-03-24,Human
A/Shenzhen/SP48/2014,Epi583275,2014-01-23,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.06,2018.22,2014-01-23,Human
A/GD-75/2014/H7N9/2014-01-31,Epi656043,2014-01-31,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.08,2018.22,2014-01-31,Human
A/Guangdong/75/2014,Epi628013,2014-01-30,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.08,2018.22,2014-01-30,Human
A/Shenzhen/SP75/2014,Epi577999,2014-02-15,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.12,2018.22,2014-02-15,Human
A/Shenzhen/SP62/2014,Epi578006,2014-02-05,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.10,2018.22,2014-02-05,Human
A/HongKong/3263/2014,Epi507084,2014-02-12,unknown,Hong Kong,Hong Kong,Hong Kong Department Of Health,unknown,unknown,unknown,2014.11,2018.22,2014-02-12,Human
A/Chicken/Dongguan/1303,Epi597500,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1297,Epi596970,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1401,Epi597563,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1548,Epi578183,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1314,Epi597517,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1374,Epi596984,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1456,Epi597037,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/1459,Epi597044,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Chicken/Dongguan/4094,Epi581947,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/4102,Epi581954,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/4040,Epi583316,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/3145,Epi581627,2013-12-18,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-18,Chicken
A/Chicken/Dongguan/4114,Epi581963,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/4064,Epi583309,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/GD-35/2014/H7N9/2014-01-12,Epi655963,2014-01-12,unknown,China,Guangdong,Guangdong Provincial Center For Disease Control And Prevention,unknown,unknown,unknown,2014.03,2018.22,2014-01-12,Human
A/Guangdong/35/2014,Epi628469,2014-01-13,unknown,China,Guangdong,Who Chinese National Influenza Center,unknown,unknown,unknown,2014.03,2018.22,2014-01-13,Human
A/Shenzhen/SP-W1/2014,Epi583247,2014-01-14,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.04,2018.22,2014-01-14,Human
A/Chicken/Dongguan/3972,Epi581905,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/1527,Epi578169,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/chicken/Dongguan/449/2014,Epi596787,2014-02-20,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-20,Chicken
A/Silkiechicken/Dongguan/3605,Epi581830,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/3563,Epi581773,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/3582,Epi581780,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/3544,Epi581766,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Silkiechicken/Dongguan/3606,Epi581836,2013-12-19,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2013.96,2018.22,2013-12-19,Chicken
A/Chicken/Dongguan/1433,Epi597589,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Silkiechicken/Dongguan/1519,Epi578150,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Silkiechicken/Dongguan/1516,Epi597082,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Silkiechicken/Dongguan/1268,Epi596958,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
A/Silkiechicken/Dongguan/1271,Epi597494,2014-02-21,unknown,China,Guangdong,Other Database Import,unknown,unknown,unknown,2014.14,2018.22,2014-02-21,Chicken
