Country,Month,Year,Lat,Lon,Value,ISO2,ISO3
American Samoa,1,1972,-14.27,-170.13,2,AS,ASM
American Samoa,1,1995,-14.27,-170.13,2,AS,ASM
American Samoa,8,2001,-14.27,-170.13,1,AS,ASM
Angola,1,2013,-11.2,17.87,3,AO,AGO
Angola,4,2013,-11.2,17.87,1,AO,AGO
Argentina,2,2009,-38.42,-63.62,2,AR,ARG
Argentina,3,2009,-38.42,-63.62,3,AR,ARG
Argentina,4,2009,-38.42,-63.62,3,AR,ARG
Argentina,5,2009,-38.42,-63.62,2,AR,ARG
Argentina,2,2010,-38.42,-63.62,2,AR,ARG
Argentina,4,2010,-38.42,-63.62,1,AR,ARG
Argentina,5,2010,-38.42,-63.62,3,AR,ARG
Argentina,12,2010,-38.42,-63.62,1,AR,ARG
Argentina,1,2016,-38.42,-63.62,3,AR,ARG
Australia,1,1993,-25.27,133.78,1,AU,AUS
Australia,1,1997,-25.27,133.78,2,AU,AUS
Australia,1,1998,-25.27,133.78,1,AU,AUS
Australia,1,2002,-25.27,133.78,1,AU,AUS
Australia,1,2003,-25.27,133.78,1,AU,AUS
Australia,1,2005,-25.27,133.78,2,AU,AUS
Australia,1,2006,-25.27,133.78,1,AU,AUS
Australia,1,2008,-25.27,133.78,2,AU,AUS
Australia,1,2009,-25.27,133.78,1,AU,AUS
Australia,7,2010,-25.27,133.78,1,AU,AUS
Australia,1,2012,-25.27,133.78,1,AU,AUS
Australia,1,2015,-25.27,133.78,2,AU,AUS
Bangladesh,1,2002,23.68,90.36,3,BD,BGD
Bangladesh,7,2006,23.68,90.36,3,BD,BGD
Bangladesh,8,2006,23.68,90.36,1,BD,BGD
Bangladesh,9,2007,23.68,90.36,3,BD,BGD
Bangladesh,8,2008,23.68,90.36,3,BD,BGD
Bangladesh,9,2008,23.68,90.36,3,BD,BGD
Bangladesh,10,2009,23.68,90.36,3,BD,BGD
Belize,1,2002,17.19,-88.5,1,BZ,BLZ
Bhutan,1,2013,27.51,90.43,1,BT,BTN
Bolivia,1,2010,-16.29,-63.59,1,BO,BOL
