Country,Month,Year,Lat,Lon,Value,ISO2,ISO3
American Samoa,8,2001,-14.27,-170.13,1,AS,ASM
Angola,1,2013,-11.2,17.87,2,AO,AGO
Angola,4,2013,-11.2,17.87,1,AO,AGO
Argentina,2,2009,-38.42,-63.62,2,AR,ARG
Argentina,3,2009,-38.42,-63.62,2,AR,ARG
Argentina,4,2009,-38.42,-63.62,2,AR,ARG
Argentina,5,2009,-38.42,-63.62,2,AR,ARG
Argentina,2,2010,-38.42,-63.62,2,AR,ARG
Argentina,4,2010,-38.42,-63.62,1,AR,ARG
Argentina,5,2010,-38.42,-63.62,2,AR,ARG
Argentina,12,2010,-38.42,-63.62,1,AR,ARG
Argentina,1,2016,-38.42,-63.62,2,AR,ARG
Australia,1,2003,-25.27,133.78,2,AU,AUS
Australia,1,2008,-25.27,133.78,1,AU,AUS
Australia,1,2009,-25.27,133.78,1,AU,AUS
Australia,7,2010,-25.27,133.78,1,AU,AUS
Bangladesh,10,2009,23.68,90.36,1,BD,BGD
Barbados,1,1999,13.19,-59.54,1,BB,BRB
Barbados,1,2001,13.19,-59.54,2,BB,BRB
Barbados,1,2003,13.19,-59.54,1,BB,BRB
Bhutan,1,2013,27.51,90.43,2,BT,BTN
Bolivia,1,2010,-16.29,-63.59,1,BO,BOL
Brazil,1,1986,-14.24,-51.93,2,BR,BRA
Brazil,1,1988,-14.24,-51.93,1,BR,BRA
Brazil,1,1989,-14.24,-51.93,1,BR,BRA
Brazil,1,1990,-14.24,-51.93,2,BR,BRA
Brazil,1,1991,-14.24,-51.93,1,BR,BRA
Brazil,1,1994,-14.24,-51.93,1,BR,BRA
Brazil,1,1996,-14.24,-51.93,2,BR,BRA
Brazil,1,1997,-14.24,-51.93,2,BR,BRA
Brazil,1,1998,-14.24,-51.93,1,BR,BRA
Brazil,1,1999,-14.24,-51.93,1,BR,BRA
Brazil,1,2001,-14.24,-51.93,2,BR,BRA
Brazil,1,2002,-14.24,-51.93,1,BR,BRA
Brazil,1,2003,-14.24,-51.93,2,BR,BRA
Brazil,1,2004,-14.24,-51.93,1,BR,BRA
Brazil,1,2008,-14.24,-51.93,1,BR,BRA
Brazil,1,2009,-14.24,-51.93,2,BR,BRA
Brazil,1,2010,-14.24,-51.93,1,BR,BRA
Brazil,10,2010,-14.24,-51.93,1,BR,BRA
Brazil,1,2011,-14.24,-51.93,1,BR,BRA
Brazil,5,2011,-14.24,-51.93,2,BR,BRA
Brazil,6,2011,-14.24,-51.93,1,BR,BRA
Brazil,1,2012,-14.24,-51.93,1,BR,BRA
Brazil,2,2012,-14.24,-51.93,1,BR,BRA
Brazil,3,2012,-14.24,-51.93,1,BR,BRA
Brazil,1,2013,-14.24,-51.93,2,BR,BRA
Brazil,2,2013,-14.24,-51.93,2,BR,BRA
Brazil,10,2013,-14.24,-51.93,1,BR,BRA
Brazil,1,2014,-14.24,-51.93,1,BR,BRA
Brazil,2,2014,-14.24,-51.93,1,BR,BRA
Cambodia,1,2000,12.57,104.99,1,KH,KHM
Cambodia,1,2002,12.57,104.99,1,KH,KHM
Cambodia,1,2003,12.57,104.99,2,KH,KHM
Chile,1,2002,-35.68,-71.54,1,CL,CHL
China,1,1980,35.86,104.2,1,CN,CHN
China,1,1991,35.86,104.2,1,CN,CHN
China,1,1993,35.86,104.2,2,CN,CHN
China,1,1995,35.86,104.2,2,CN,CHN
China,1,1999,35.86,104.2,1,CN,CHN
China,1,2002,35.86,104.2,2,CN,CHN
China,9,2002,35.86,104.2,1,CN,CHN
China,1,2003,35.86,104.2,2,CN,CHN
China,1,2004,35.86,104.2,2,CN,CHN
China,10,2004,35.86,104.2,1,CN,CHN
China,1,2006,35.86,104.2,2,CN,CHN
China,1,2007,35.86,104.2,2,CN,CHN
China,8,2007,35.86,104.2,1,CN,CHN
China,10,2007,35.86,104.2,1,CN,CHN
China,1,2009,35.86,104.2,2,CN,CHN
China,1,2010,35.86,104.2,1,CN,CHN
China,1,2011,35.86,104.2,1,CN,CHN
China,9,2011,35.86,104.2,1,CN,CHN
China,1,2012,35.86,104.2,2,CN,CHN
China,4,2012,35.86,104.2,1,CN,CHN
China,9,2012,35.86,104.2,2,CN,CHN
China,1,2013,35.86,104.2,2,CN,CHN
China,4,2013,35.86,104.2,1,CN,CHN
China,5,2013,35.86,104.2,1,CN,CHN
China,6,2013,35.86,104.2,1,CN,CHN
China,8,2013,35.86,104.2,2,CN,CHN
China,9,2013,35.86,104.2,2,CN,CHN
China,10,2013,35.86,104.2,2,CN,CHN
China,11,2013,35.86,104.2,1,CN,CHN
China,1,2014,35.86,104.2,2,CN,CHN
China,8,2014,35.86,104.2,2,CN,CHN
China,9,2014,35.86,104.2,2,CN,CHN
China,10,2014,35.86,104.2,2,CN,CHN
China,11,2014,35.86,104.2,2,CN,CHN
China,1,2015,35.86,104.2,1,CN,CHN
China,5,2015,35.86,104.2,1,CN,CHN
China,6,2015,35.86,104.2,2,CN,CHN
China,7,2015,35.86,104.2,2,CN,CHN
China,8,2015,35.86,104.2,2,CN,CHN
China,9,2015,35.86,104.2,2,CN,CHN
China,10,2015,35.86,104.2,2,CN,CHN
China,11,2015,35.86,104.2,1,CN,CHN
China,1,2016,35.86,104.2,2,CN,CHN
China,2,2016,35.86,104.2,1,CN,CHN
China,3,2016,35.86,104.2,1,CN,CHN
Comoros,1,1993,-11.88,43.87,1,KM,COM
Cook Islands,1,2002,-21.24,-159.78,1,CK,COK
Costa Rica,1,2013,9.75,-83.75,2,CR,CRI
Costa Rica,1,2014,9.75,-83.75,1,CR,CRI
Cote D Ivoire,1,1998,9.75,-83.75,1,CR,CRI
Djibouti,1,1998,11.83,42.59,1,DJ,DJI
El Salvador,1,1993,13.79,-88.9,1,SV,SLV
Eritrea,1,2010,15.18,39.78,1,ER,ERI
Fiji,1,2002,-16.58,179.41,1,FJ,FJI
Fiji,1,2006,-16.58,179.41,2,FJ,FJI
Fiji,1,2011,-16.58,179.41,2,FJ,FJI
Fiji,1,2012,-16.58,179.41,1,FJ,FJI
Fiji,1,2014,-16.58,179.41,2,FJ,FJI
France,1,2004,46.23,2.21,2,FR,FRA
France,5,2004,46.23,2.21,1,FR,FRA
French Guiana,1,1989,3.93,-53.13,1,GF,GUF
French Polynesia,1,2001,-17.68,-149.41,2,PF,PYF
French Polynesia,1,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,2,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,3,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,4,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,5,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,6,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,7,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,8,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,9,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,10,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,11,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,12,2007,-17.68,-149.41,2,PF,PYF
French Polynesia,2,2008,-17.68,-149.41,2,PF,PYF
French Polynesia,3,2008,-17.68,-149.41,2,PF,PYF
French Polynesia,4,2008,-17.68,-149.41,2,PF,PYF
French Polynesia,5,2008,-17.68,-149.41,2,PF,PYF
French Polynesia,6,2008,-17.68,-149.41,2,PF,PYF
French Polynesia,7,2008,-17.68,-149.41,1,PF,PYF
French Polynesia,8,2008,-17.68,-149.41,1,PF,PYF
French Polynesia,9,2008,-17.68,-149.41,2,PF,PYF
French Polynesia,10,2008,-17.68,-149.41,1,PF,PYF
French Polynesia,11,2008,-17.68,-149.41,1,PF,PYF
French Polynesia,12,2008,-17.68,-149.41,1,PF,PYF
French Polynesia,1,2009,-17.68,-149.41,1,PF,PYF
French Polynesia,2,2009,-17.68,-149.41,1,PF,PYF
French Polynesia,3,2009,-17.68,-149.41,2,PF,PYF
French Polynesia,4,2009,-17.68,-149.41,2,PF,PYF
French Polynesia,5,2009,-17.68,-149.41,2,PF,PYF
French Polynesia,6,2009,-17.68,-149.41,1,PF,PYF
French Polynesia,6,2014,-17.68,-149.41,1,PF,PYF
Germany,1,2013,51.17,10.45,1,DE,DEU
Grenada,1,1977,12.26,-61.6,2,GD,GRD
Grenada,1,1978,12.26,-61.6,2,GD,GRD
Grenada,1,1981,12.26,-61.6,1,GD,GRD
Haiti,11,2014,18.97,-72.29,1,HT,HTI
India,1,1956,20.59,78.96,1,IN,IND
India,1,1962,20.59,78.96,2,IN,IND
India,1,1963,20.59,78.96,2,IN,IND
India,1,1970,20.59,78.96,1,IN,IND
India,1,1971,20.59,78.96,2,IN,IND
India,1,1982,20.59,78.96,2,IN,IND
India,1,2005,20.59,78.96,2,IN,IND
India,1,2006,20.59,78.96,1,IN,IND
India,7,2007,20.59,78.96,1,IN,IND
India,1,2008,20.59,78.96,2,IN,IND
India,10,2008,20.59,78.96,1,IN,IND
India,1,2009,20.59,78.96,1,IN,IND
India,4,2009,20.59,78.96,2,IN,IND
India,1,2010,20.59,78.96,1,IN,IND
India,10,2010,20.59,78.96,1,IN,IND
India,1,2011,20.59,78.96,2,IN,IND
India,1,2012,20.59,78.96,1,IN,IND
India,7,2013,20.59,78.96,1,IN,IND
India,1,2014,20.59,78.96,1,IN,IND
India,1,2015,20.59,78.96,2,IN,IND
India,6,2015,20.59,78.96,1,IN,IND
India,7,2015,20.59,78.96,2,IN,IND
India,10,2015,20.59,78.96,2,IN,IND
Indonesia,1,1988,-0.79,113.92,2,ID,IDN
Indonesia,1,1998,-0.79,113.92,1,ID,IDN
Indonesia,6,2007,-0.79,113.92,2,ID,IDN
Indonesia,7,2007,-0.79,113.92,1,ID,IDN
Indonesia,8,2007,-0.79,113.92,2,ID,IDN
Indonesia,9,2007,-0.79,113.92,1,ID,IDN
Indonesia,10,2007,-0.79,113.92,1,ID,IDN
Indonesia,12,2007,-0.79,113.92,2,ID,IDN
Indonesia,2,2008,-0.79,113.92,2,ID,IDN
Indonesia,3,2008,-0.79,113.92,1,ID,IDN
Indonesia,4,2008,-0.79,113.92,2,ID,IDN
Indonesia,8,2008,-0.79,113.92,1,ID,IDN
Indonesia,3,2010,-0.79,113.92,1,ID,IDN
Indonesia,4,2010,-0.79,113.92,2,ID,IDN
Indonesia,5,2010,-0.79,113.92,1,ID,IDN
Indonesia,7,2010,-0.79,113.92,1,ID,IDN
Indonesia,8,2010,-0.79,113.92,2,ID,IDN
Indonesia,9,2010,-0.79,113.92,1,ID,IDN
Indonesia,10,2010,-0.79,113.92,2,ID,IDN
Indonesia,11,2010,-0.79,113.92,2,ID,IDN
Indonesia,12,2010,-0.79,113.92,2,ID,IDN
Indonesia,3,2011,-0.79,113.92,1,ID,IDN
Indonesia,8,2011,-0.79,113.92,1,ID,IDN
Indonesia,3,2012,-0.79,113.92,2,ID,IDN
Indonesia,5,2014,-0.79,113.92,1,ID,IDN
Indonesia,6,2014,-0.79,113.92,1,ID,IDN
Indonesia,7,2014,-0.79,113.92,1,ID,IDN
Indonesia,8,2014,-0.79,113.92,1,ID,IDN
Indonesia,9,2014,-0.79,113.92,1,ID,IDN
Ireland,9,2010,53.41,-8.24,1,IE,IRL
Ireland,3,2012,53.41,-8.24,1,IE,IRL
Jamaica,1,2012,18.11,-77.3,1,JM,JAM
Japan,1,1943,36.2,138.25,1,JP,JPN
Japan,2,2014,36.2,138.25,2,JP,JPN
Japan,8,2014,36.2,138.25,2,JP,JPN
Japan,9,2014,36.2,138.25,2,JP,JPN
Madagascar,1,2006,-18.77,46.87,1,MG,MDG
Malaysia,1,1972,4.21,101.98,1,MY,MYS
Malaysia,1,1996,4.21,101.98,2,MY,MYS
Malaysia,1,1997,4.21,101.98,1,MY,MYS
Malaysia,1,2014,4.21,101.98,2,MY,MYS
Malaysia,2,2014,4.21,101.98,1,MY,MYS
Malaysia,5,2014,4.21,101.98,1,MY,MYS
Marshall Islands,1,2003,7.13,171.18,1,MH,MHL
Martinique,1,2008,14.64,-61.02,2,MQ,MTQ
Mexico,1,2006,23.63,-102.55,1,MX,MEX
Mexico,1,2007,23.63,-102.55,2,MX,MEX
Mexico,1,2008,23.63,-102.55,1,MX,MEX
Mexico,1,2010,23.63,-102.55,2,MX,MEX
Mexico,7,2010,23.63,-102.55,2,MX,MEX
Mexico,8,2010,23.63,-102.55,2,MX,MEX
Mexico,9,2010,23.63,-102.55,2,MX,MEX
Mexico,10,2010,23.63,-102.55,2,MX,MEX
Mexico,11,2010,23.63,-102.55,2,MX,MEX
Mexico,1,2011,23.63,-102.55,1,MX,MEX
Micronesia,1,2004,7.43,150.55,2,FM,FSM
Myanmar,1,1971,21.91,95.96,1,MM,MMR
Myanmar,1,1976,21.91,95.96,1,MM,MMR
Myanmar,1,1998,21.91,95.96,1,MM,MMR
Myanmar,1,2005,21.91,95.96,1,MM,MMR
Myanmar,9,2013,21.91,95.96,2,MM,MMR
Myanmar,10,2013,21.91,95.96,2,MM,MMR
Myanmar,11,2013,21.91,95.96,1,MM,MMR
Myanmar,6,2014,21.91,95.96,1,MM,MMR
Myanmar,1,2015,21.91,95.96,1,MM,MMR
Nauru,1,1974,-0.52,166.93,1,NR,NRU
New Caledonia,6,2001,-20.9,165.62,1,NC,NCL
New Caledonia,6,2002,-20.9,165.62,2,NC,NCL
New Caledonia,7,2002,-20.9,165.62,1,NC,NCL
New Caledonia,12,2002,-20.9,165.62,2,NC,NCL
New Caledonia,2,2003,-20.9,165.62,2,NC,NCL
New Caledonia,3,2003,-20.9,165.62,1,NC,NCL
New Caledonia,4,2003,-20.9,165.62,1,NC,NCL
New Caledonia,5,2003,-20.9,165.62,1,NC,NCL
New Caledonia,8,2003,-20.9,165.62,1,NC,NCL
New Caledonia,9,2003,-20.9,165.62,1,NC,NCL
New Caledonia,1,2004,-20.9,165.62,1,NC,NCL
New Caledonia,2,2004,-20.9,165.62,1,NC,NCL
New Caledonia,3,2004,-20.9,165.62,1,NC,NCL
New Caledonia,5,2004,-20.9,165.62,1,NC,NCL
New Caledonia,7,2004,-20.9,165.62,1,NC,NCL
New Caledonia,4,2007,-20.9,165.62,1,NC,NCL
New Caledonia,5,2007,-20.9,165.62,1,NC,NCL
New Caledonia,1,2008,-20.9,165.62,1,NC,NCL
New Caledonia,2,2008,-20.9,165.62,2,NC,NCL
New Caledonia,7,2008,-20.9,165.62,1,NC,NCL
New Caledonia,10,2008,-20.9,165.62,1,NC,NCL
New Caledonia,12,2008,-20.9,165.62,2,NC,NCL
New Caledonia,1,2009,-20.9,165.62,1,NC,NCL
New Caledonia,2,2009,-20.9,165.62,2,NC,NCL
New Caledonia,5,2009,-20.9,165.62,1,NC,NCL
New Caledonia,7,2009,-20.9,165.62,1,NC,NCL
New Caledonia,8,2009,-20.9,165.62,1,NC,NCL
New Caledonia,3,2010,-20.9,165.62,2,NC,NCL
New Caledonia,4,2010,-20.9,165.62,2,NC,NCL
New Caledonia,5,2010,-20.9,165.62,1,NC,NCL
New Caledonia,6,2010,-20.9,165.62,1,NC,NCL
New Caledonia,7,2010,-20.9,165.62,1,NC,NCL
New Caledonia,8,2010,-20.9,165.62,1,NC,NCL
New Caledonia,2,2012,-20.9,165.62,2,NC,NCL
New Caledonia,3,2012,-20.9,165.62,2,NC,NCL
New Caledonia,4,2012,-20.9,165.62,2,NC,NCL
New Caledonia,5,2012,-20.9,165.62,2,NC,NCL
New Caledonia,7,2012,-20.9,165.62,2,NC,NCL
New Caledonia,11,2012,-20.9,165.62,1,NC,NCL
New Caledonia,12,2012,-20.9,165.62,2,NC,NCL
Nicaragua,1,2004,12.87,-85.21,2,NI,NIC
Nicaragua,1,2005,12.87,-85.21,2,NI,NIC
Nicaragua,1,2006,12.87,-85.21,1,NI,NIC
Nicaragua,1,2008,12.87,-85.21,1,NI,NIC
Nicaragua,1,2009,12.87,-85.21,2,NI,NIC
Nicaragua,1,2011,12.87,-85.21,1,NI,NIC
Nicaragua,1,2012,12.87,-85.21,2,NI,NIC
Nicaragua,1,2014,12.87,-85.21,1,NI,NIC
