Author,n (strains),publication title,journal,publication URL,strains
Cecilia et al.,2,?,,unknown,DENV2/INDIA/598/2005 DENV2/INDIA/D9201/1996
Faria et al.,10,?,,unknown,DENV2/BRAZIL/41768RJ/1990 DENV2/BRAZIL/59382RN/1997 DENV2/BRAZIL/48622CE/1994 DENV2/BRAZIL/48578CE/1994 DENV2/BRAZIL/64905RJ/1999 DENV2/BRAZIL/75103RJ/2002 DENV2/BRAZIL/58448RN/1997 DENV2/BRAZIL/64625RJ/1999 DENV2/BRAZIL/0066BA/2009 DENV2/BRAZIL/0145ES/2009
Brooks et al.,1,?,,unknown,DENV2/AUSTRALIA/TSV01/1993
Afzal et al.,4,?,,unknown,DENV2/PAKISTAN/NA/2010 DENV2/PAKISTAN/I3/2014 DENV2/PAKISTAN/NA/2013 DENV2/PAKISTAN/NA/2011
Adnan et al.,3,?,,unknown,DENV2/MALAYSIA/TM181/2014 DENV2/MALAYSIA/TM296/2014 DENV2/MALAYSIA/TM213/2014
Colon et al.,8,?,,unknown,DENV2/INDIA/DB020/2006 DENV2/SOMALIA/DB123/2011 DENV2/SOMALIA/DB126/2011 DENV2/SOMALIA/DB124/2011 DENV2/TAIWAN/DB116/1987 DENV2/GUAM/DB019/2001 DENV2/COSTA_RICA/DB017/2003 DENV2/JAMAICA/JADB021/2008
Hashimoto et al.,1,?,,unknown,DENV2/BURKINA_FASO/BURKINAFONIID125/2016
Iovine et al.,1,?,,unknown,DENV2/USA/HOMOSAPIENSUF1GAINESVILLE/2016
Chidlow et al.,13,?,,unknown,DENV2/INDONESIA/N044/2010 DENV2/INDONESIA/N051/2010 DENV2/INDONESIA/N057/2010 DENV2/INDONESIA/N047/2010 DENV2/INDONESIA/N045/2010 DENV2/INDONESIA/N050/2010 DENV2/INDONESIA/N04/2010 DENV2/INDONESIA/N020/2010 DENV2/INDONESIA/N025/2010 DENV2/INDONESIA/N052/2010 DENV2/INDONESIA/N075/2011 DENV2/INDONESIA/N100/2012 DENV2/INDONESIA/N035/2010
Fang et al.,1,?,,unknown,DENV2/CHINA/ZS/2001
Koay et al.,1,?,,unknown,DENV2/SINGAPORE/NUHA0001/2013
Berlin et al.,4,?,,unknown,DENV2/PUERTO_RICO/BIDV1361/1993 DENV2/PUERTO_RICO/BIDV1408/1997 DENV2/PUERTO_RICO/BIDV856/1986 DENV2/MEXICO/BIDV3771/2003
Lin et al.,4,?,,unknown,DENV2/CHINA/ZH4132/2012 DENV2/CHINA/GDZS00C/2014 DENV2/CHINA/GDZS00F/2014 DENV2/CHINA/GDZS00A/2014
Baronti et al.,2,?,,unknown,DENV2/BURKINA_FASO/7869191/2016 DENV2/BURKINA_FASO/7754691/2016
Deubel et al.,1,?,,unknown,DENV2/JAMAICA/N1409/1983
