name,pop,lat,lon
American Samoa,2,-14.30063095,-170.695974791655
Aruba,1,12.5013629,-69.9618475
Australia,6,-24.7761086,134.755
Bangladesh,17,24.4768783,90.2932426
Belize,3,16.8259793,-88.7600927
Brazil,16,-10.3333333,-53.2
Cambodia,11,13.5066394,104.869423
China,31,25.4915799,-98.9811115045569
Colombia,12,2.8894434,-73.783892
Comoros,1,-12.2045176,44.2832964
Cook Islands,2,-16.0492781,-160.3554851
Costa Rica,1,10.2735633,-84.0739102
Cote D Ivoire,2,43.5957594,1.486982
Cuba,6,23.0131338,-80.8328748
Djibouti,2,11.85677545,42.7577845199437
Dominican Republic,2,19.0974031,-70.3028026
Ecuador,1,-1.3397668,-79.3666965
Fiji,4,-18.1239696,179.0122737
France,3,46.603354,1.8883335
French Polynesia,29,-18.6243749,-144.6434898
Honduras,1,15.0610686,-84.5978534
India,23,22.3511148,78.6677428
Indonesia,35,-4.7993356,114.5632032
Japan,2,36.5748441,139.2394179
Madagascar,2,-18.78295335,46.7119260933426
Malaysia,18,2.3923759,112.8471939
Martinique,1,14.6113732,-60.9620777
Mexico,5,19.4326009,-99.1333416
Mozambique,2,19.058889,-96.254167
Myanmar,1,17.1750495,95.9999652
New Caledonia,17,-21.3019905,165.4880773
Nicaragua,17,12.3724928,-84.8700308
Pakistan,12,30.3308401,71.247499
Papua New Guinea,3,-5.6816069,144.2489081
Paraguay,3,-23.3165935,-58.1693445
Peru,4,41.3272919,-89.1287636
Philippines,7,12.7503486,122.7312101
Portugal,1,40.033265,-7.8896263
Puerto Rico,23,18.22141715,-66.4132818505648
Samoa,1,40.8187372,-124.1864518
Saudi Arabia,6,14.4845383,121.0221299
Senegal,1,14.4750607,-14.4529612
Singapore,18,1.2904753,103.8520359
Solomon Islands,2,-9.7354344,162.8288542
Somalia,3,-13.180556,15.266667
Spain,14,40.0028028,-4.003104
Sri Lanka,23,7.878,80.7038245875
Taiwan,13,23.59829785,120.835363138175
Tanzania,1,-6.5247123,35.7878438
Thailand,42,14.8971921,100.83273
Togo,1,8.7800265,1.0199765
USA,2,39.7837304,-100.4458825
Venezuela,5,8.0018709,-66.1109318
Vietnam,5,13.2904027,108.4265113
Yemen,1,16.3471243,47.8915271
