Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date
EM_079542,Kr817199,2014-04-12,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817199,2014.28,Genbank,2014-04-12
Gueckedou-C05,Kj660348,2014-03-19,Subsaharan Africa,Guinea,Gueckedou,Baize Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KJ660348,2014.21,Genbank,2014-03-19
EM_079517,Kr817198,2014-04-11,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817198,2014.27,Genbank,2014-04-11
EM_079549,Kr817200,2014-04-13,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817200,2014.28,Genbank,2014-04-13
EM_079434,Kr817191,2014-04-02,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817191,2014.25,Genbank,2014-04-02
EM_079429,Kr817190,2014-04-02,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817190,2014.25,Genbank,2014-04-02
EM_079424,Kr817189,2014-03-27,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817189,2014.23,Genbank,2014-03-27
EM_079423,Kr817188,2014-03-27,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817188,2014.23,Genbank,2014-03-27
Gueckedou-C07,Kj660347,2014-03-20,Subsaharan Africa,Guinea,Gueckedou,Baize Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KJ660347,2014.21,Genbank,2014-03-20
EM_079421,Kr817186,2014-03-30,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817186,2014.24,Genbank,2014-03-30
EM_079422,Kr817187,2014-03-27,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817187,2014.23,Genbank,2014-03-27
EM_079497,Kr817196,2014-04-07,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817196,2014.26,Genbank,2014-04-07
EM_079414,Kr817185,2014-03-31,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817185,2014.24,Genbank,2014-03-31
EM_079413,Kr817184,2014-03-31,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817184,2014.24,Genbank,2014-03-31
EM_079750,Kr817213,2014-05-21,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817213,2014.38,Genbank,2014-05-21
EM_079815,Kr817217,2014-05-28,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817217,2014.40,Genbank,2014-05-28
EM_079859,Kr817218,2014-06-01,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817218,2014.41,Genbank,2014-06-01
EM_079775,Kr817216,2014-05-24,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817216,2014.39,Genbank,2014-05-24
EM_079914,Kr817225,2014-06-10,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817225,2014.44,Genbank,2014-06-10
EM_074354,Kr817113,2014-07-22,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817113,2014.55,Genbank,2014-07-22
EM_079913,Kr817224,2014-06-09,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817224,2014.44,Genbank,2014-06-09
EM_079910,Kr817221,2014-06-09,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817221,2014.44,Genbank,2014-06-09
EM_079912,Kr817223,2014-06-09,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817223,2014.44,Genbank,2014-06-09
EM_079911,Kr817222,2014-06-09,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817222,2014.44,Genbank,2014-06-09
V517,Kr534509,2014-07-24,Subsaharan Africa,Guinea,Siguiri,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534509,2014.56,Genbank,2014-07-24
V531,Kr534510,2014-07-27,Subsaharan Africa,Guinea,Kouroussa,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534510,2014.57,Genbank,2014-07-27
EM_080063,Kr817230,2014-06-20,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817230,2014.47,Genbank,2014-06-20
EM_080141,Kr817237,2014-06-25,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817237,2014.48,Genbank,2014-06-25
EM_079404,Kr817179,2014-03-28,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817179,2014.24,Genbank,2014-03-28
EM_079412,Kr817183,2014-03-31,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817183,2014.24,Genbank,2014-03-31
