Country,Month,Year,Lat,Lon,Value,ISO2,ISO3
Guinea,3,2014,9.95,-9.7,14,GN,GIN
Guinea,4,2014,9.95,-9.7,13,GN,GIN
Guinea,5,2014,9.95,-9.7,14,GN,GIN
Guinea,6,2014,9.95,-9.7,12,GN,GIN
Guinea,7,2014,9.95,-9.7,8,GN,GIN
Guinea,8,2014,9.95,-9.7,24,GN,GIN
Guinea,9,2014,9.95,-9.7,12,GN,GIN
Guinea,10,2014,9.95,-9.7,40,GN,GIN
Guinea,11,2014,9.95,-9.7,11,GN,GIN
Guinea,12,2014,9.95,-9.7,22,GN,GIN
Guinea,1,2015,9.95,-9.7,9,GN,GIN
Guinea,3,2015,9.95,-9.7,11,GN,GIN
Guinea,4,2015,9.95,-9.7,11,GN,GIN
Guinea,5,2015,9.95,-9.7,29,GN,GIN
Guinea,6,2015,9.95,-9.7,35,GN,GIN
Guinea,7,2015,9.95,-9.7,18,GN,GIN
Guinea,8,2015,9.95,-9.7,9,GN,GIN
Guinea,9,2015,9.95,-9.7,7,GN,GIN
Guinea,10,2015,9.95,-9.7,4,GN,GIN
Liberia,4,2014,6.43,-9.43,1,LR,LBR
Liberia,6,2014,6.43,-9.43,9,LR,LBR
Liberia,7,2014,6.43,-9.43,16,LR,LBR
Liberia,8,2014,6.43,-9.43,30,LR,LBR
Liberia,9,2014,6.43,-9.43,24,LR,LBR
Liberia,10,2014,6.43,-9.43,14,LR,LBR
Liberia,11,2014,6.43,-9.43,28,LR,LBR
Liberia,12,2014,6.43,-9.43,8,LR,LBR
Liberia,1,2015,6.43,-9.43,1,LR,LBR
Liberia,2,2015,6.43,-9.43,2,LR,LBR
Sierra Leone,5,2014,8.46,-11.78,13,SL,SLE
Sierra Leone,6,2014,8.46,-11.78,79,SL,SLE
Sierra Leone,7,2014,8.46,-11.78,49,SL,SLE
Sierra Leone,8,2014,8.46,-11.78,46,SL,SLE
Sierra Leone,9,2014,8.46,-11.78,64,SL,SLE
Sierra Leone,10,2014,8.46,-11.78,46,SL,SLE
Sierra Leone,11,2014,8.46,-11.78,59,SL,SLE
Sierra Leone,12,2014,8.46,-11.78,50,SL,SLE
Sierra Leone,1,2015,8.46,-11.78,89,SL,SLE
Sierra Leone,2,2015,8.46,-11.78,97,SL,SLE
Sierra Leone,3,2015,8.46,-11.78,89,SL,SLE
Sierra Leone,4,2015,8.46,-11.78,27,SL,SLE
Sierra Leone,5,2015,8.46,-11.78,17,SL,SLE
Sierra Leone,6,2015,8.46,-11.78,45,SL,SLE
Sierra Leone,7,2015,8.46,-11.78,25,SL,SLE
Sierra Leone,8,2015,8.46,-11.78,2,SL,SLE
Sierra Leone,9,2015,8.46,-11.78,5,SL,SLE
