Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Labels
IMB-1,Fj161211,2006-05-08,China,China,China,Ma Et Al,Virol Sin 25  6  381-389  2010 ,Isolation And Complete Nucleotide Sequence Of The Measles Virus Imb-1 Strain In China,https://www.ncbi.nlm.nih.gov/nuccore/FJ161211,2006.35,Genbank,2006-05-08,Aa: C: A8v A18t T34i L172p; F: V71a T82i K266r S344g; H: E28g S244l E245g M251i F276l L294f R348g D360g S479t S546g; L: R142s H157q I296v D715g L894p Y1249s I1332t G1336r E1351k A1491t N1531d R1632k M1968v A2050t; N: L266i T406a N450t; P: S25n S26p S86g F141v P396l K496r; V: S25n S26p S86g F141v;
Amsterdam.NLD/27.97/H1,Mg912594,1997-01-01,Europe,Netherlands,Netherlands,Phan Et Al,Unpublished,Complete Genome Sequences Of Six Measles Virus Strains,https://www.ncbi.nlm.nih.gov/nuccore/MG912594,1998.00,Genbank,1997-xx-xx,Aa: F: V178i; H: A68t N262d V326i E489a; L: V609a A618v T1101a V1614i T1624a I1705t N1709h D2183g;
Zhejiang.CHN/14.07/1/H1,Kj755978,2007-04-06,China,China,China,Jin Et Al,Unpublished,Evolutionary History Of The Endemic Strains Of Chinese Measles Virus,https://www.ncbi.nlm.nih.gov/nuccore/KJ755978,2007.26,Genbank,2007-04-06,Aa: C: Q96r; F: A74t G254d; H: Q334h D574a G603e; M: R82k; L: P43l H191y V893i A1726v; P: P419s;
Zhejiang.CHN/12.06/2/H1,Kj755977,2006-03-23,China,China,China,Jin Et Al,Unpublished,Evolutionary History Of The Endemic Strains Of Chinese Measles Virus,https://www.ncbi.nlm.nih.gov/nuccore/KJ755977,2006.22,Genbank,2006-03-23,Aa: H: M288i G388s Q520h; L: L110f V1004i I1891t; P: T160p M422v; V: T160p;
Zhejiang.CHN/10.05/1/H1,Kj755976,2005-03-11,China,China,China,Jin Et Al,Unpublished,Evolutionary History Of The Endemic Strains Of Chinese Measles Virus,https://www.ncbi.nlm.nih.gov/nuccore/KJ755976,2005.19,Genbank,2005-03-11,Aa: F: V178i; L: A249d I2130t; P: A495t;
Zhejiang.CHN/12.09/1/H1,Kj755980,2009-03-18,China,China,China,Jin Et Al,Unpublished,Evolutionary History Of The Endemic Strains Of Chinese Measles Virus,https://www.ncbi.nlm.nih.gov/nuccore/KJ755980,2009.21,Genbank,2009-03-18,Aa: F: R520c; L: R474s R1707k;
Pennsylvania.USA/20.09,Jn635411,2009-05-14,North America,USA,USA,Kirkness Et Al,Submitted  30-aug-2011  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JN635411,2009.36,Genbank,2009-05-14,Aa: C: K182r; H: L249p; L: V124i S621i; P: D152n; V: D152n;
BritishColumbia.CAN/12.10/1/H1,Kj018970,2010-03-31,North America,Canada,Canada,Gardy Et Al,J. Infect. Dis.  2015  In Press,Whole-genome Sequencing Of Measles Virus Genotypes H1 And D8 During Outbreaks Of Infection Following The 2010 Olympic Winter Games Reveals Viral Transmission Routes,https://www.ncbi.nlm.nih.gov/nuccore/KJ018970,2010.24,Genbank,2010-03-31,Aa: C: P42s; H: D135e; P: T49i R77s; V: T49i R77s;
Zhejiang.CHN/12.08/1/H1,Kj755979,2008-03-20,China,China,China,Jin Et Al,Unpublished,Evolutionary History Of The Endemic Strains Of Chinese Measles Virus,https://www.ncbi.nlm.nih.gov/nuccore/KJ755979,2008.22,Genbank,2008-03-20,Aa: F: S42g; H: N396k; M: D327y; L: S74a T650a;
Zhejiang.CHN/16.10/2/H1,Kj755981,2010-04-21,China,China,China,Jin Et Al,Unpublished,Evolutionary History Of The Endemic Strains Of Chinese Measles Virus,https://www.ncbi.nlm.nih.gov/nuccore/KJ755981,2010.30,Genbank,2010-04-21,Aa: F: A93s; M: Y170c;
