Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Muv Genotype,Labels
Ge9.DEU/0.77/D,Kf878076,1977-01-01,Europe,Germany,Germany,Jin Et Al,Rev. Med. Virol.  2014  In Press,Genomic Diversity Of Mumps Virus And Global Distribution Of The 12 Genotypes,https://www.ncbi.nlm.nih.gov/nuccore/KF878076,1978.00,Genbank,1977-xx-xx,?,Aa: F: G10s D61e P95l S97l I168l S318g L502i; I: S36g A62t H64n K70r S82p T91a T119i; M: V82i R138k; L: N227s N647h E1282d L1716m I1968v R2034k T2158i V2239i D2253n; P: S36g A62t H64n K70r S82p T91a T119i H314c T320a C330r N351d R384g; Sh: F12s L14v A41e F49s; Hn: L6f I46t S126l D266e V410i Y455f; V: S36g A62t H64n K70r S82p T91a T119i;
California.USA/50.07/1,Jx287386,2007-12-12,North America,USA,California,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287386,2007.94,Genbank,2007-12-12,?,Aa: F: A84v R149q V260i S454n S478n; I: T32a S34l S36g E53d K55n R77k T88i; Nc: Q339p N426s A427t; M: E230d I233v A339v; L: G141s Y158h V205i T335n T2003a P2085s; P: T32a S34l S36g E53d K55n R77k T88i A199t C229y N268d P280s R303w F341s V365l; Sh: A37s A41s A42v; Hn: S10l V125a S158a; V: T32a S34l S36g E53d K55n R77k T88i A199t;
RW154.USA/0.70s/K,Kf878080,1970-01-01,North America,USA,USA,Jin Et Al,Rev. Med. Virol.  2014  In Press,Genomic Diversity Of Mumps Virus And Global Distribution Of The 12 Genotypes,https://www.ncbi.nlm.nih.gov/nuccore/KF878080,1971.00,Genbank,1970-xx-xx,?,Aa: F: V151i S195y; I: A38v G50d A76t; Nc: P359q I387f; M: H104n; L: M692i; P: A38v G50d A76t *287g V365i; Hn: I21n T154n N464k; V: A38v G50d A76t;
Massachusetts.USA/24.17/5/K,Broad Sequence 1,2017-06-16,North America,USA,Massachusetts,Wohl Et Al,?,Unpublished,?,2017.45,Broad,2017-06-16,K,Aa: F: S478d V479i V488i; I: V44i G50a Y59h S63p G159s; Nc: V316a P345l L360i S377g; M: V26i E100d G284s; L: D154g K156n Y158c N505h P511s N647y N650t F1320y L1653i N1727s I2251t; P: V44i G50a Y59h S63p G159s Q240* D249n Q252* R267g T315i A333t H374y; Sh: Q5h P6h L17i Y19h V26i I28t L30p A37s F48l; Hn: A13t A16v T114a T275i K335q T402i N441s I473v A474t V513a N523s; V: V44i G50a Y59h S63p G159s;
MuVi-MNG09-024,Ab600843,2009-05-28,West Asia,Mongolia,Mongolia,Kidokoro Et Al,J. Clin. Microbiol. 49  5  1917-1925  2011 ,Characterization Of Mumps Viruses Circulating In Mongolia  Identification Of A Novel Cluster Of Genotype H,https://www.ncbi.nlm.nih.gov/nuccore/AB600843,2009.40,Genbank,2009-05-28,?,Aa: F: Y335s V488i; I: A62s; M: V82i; L: V68l A151s R1670s E1738k I1951v I2100v; P: A62s Q240* A333t P336s *379q *380r; Sh: F49l R50h H55r; Hn: I9m N400d T402a; V: A62s;
Virginia.USA/10.12/H,Ky969483,2012-03-11,North America,USA,Virginia,Elena Et Al,Submitted  20-apr-2017  Measles Mumps Rubella And Herpesvirus Laboratory Branch Centers For Disease Control And Prevention 1600 Clifton Road Ne Atlanta Ga 30329 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY969483,2012.19,Genbank,2012-03-11,?,Aa: F: I405v; Nc: V316i A347v N381t I390v; L: V1991i I2251l; P: D274n N297d E322*; Hn: V40i S69f F314y N385s;
Bedford.GBR/0.89/H,Kf878077,1989-01-01,Europe,United Kingdom,England,Jin Et Al,Rev. Med. Virol.  2014  In Press,Genomic Diversity Of Mumps Virus And Global Distribution Of The 12 Genotypes,https://www.ncbi.nlm.nih.gov/nuccore/KF878077,1990.00,Genbank,1989-xx-xx,?,Aa: F: P95s T178i I500t; I: T101p G157r; Nc: V301a; L: L133s K1126r I1129l; P: T101p G157r C299r C324r S359p V365i R384g; Sh: H9y K35n; Hn: A337t P353s S371f; V: T101p G157r;
Novosibirsk.RUS/10.03-H,Ay681495,2003-03-12,West Asia,Russia,Russia,Agafonov Et Al,Epidemiol Vakcinoprofil 5 34-42  2007 ,Isolation Genotyping And Analysis Of The Complete Nucleotide Sequence Of Mumps Virus Siberian Strain,https://www.ncbi.nlm.nih.gov/nuccore/AY681495,2003.19,Genbank,2003-03-12,?,Aa: I: G71s G86e; Nc: A294t; L: V243i N1210s; P: G71s G86e K237e V306i K334e Q382*; Sh: P6s; Hn: P19s S70a T117s V334i A378v L418f S553n; V: G71s G86e;
Mass.USA/4.10,Jx287388,2010-01-29,North America,USA,Massachusetts,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287388,2010.08,Genbank,2010-01-29,?,Aa: F: S5p; Nc: D331n A357v; L: V291i T396i M436i I695v Q1267k L1341m M2180v; P: D271n D281n E322k *354r T368k I369t R375* H386y; Sh: L15i V26i; Hn: L278i A337s;
Fukuoka.JPN/41.00/L,Kf878081,2000-10-14,Japan Korea,Japan,Fukuoka,Jin Et Al,Rev. Med. Virol.  2014  In Press,Genomic Diversity Of Mumps Virus And Global Distribution Of The 12 Genotypes,https://www.ncbi.nlm.nih.gov/nuccore/KF878081,2000.79,Genbank,2000-10-14,?,Aa: F: S16y I28v S92p S530g; I: M18i T32a T61i I106t T115n G159s S161t; Nc: A336v P345l N384t; M: K107q; L: A61s R164k S178a N227s T1667m I1673v S1751g E2089d Q2112h; P: M18i T32a T61i I106t T115n G159s S161t I192t Q240* K259* K279e R310q A333t T344a; Sh: F12l W27c V38e A42t; Hn: I21n T117a T279i P353a T438k Q444l A474v I495v; V: M18i T32a T61i I106t T115n G159s S161t I192t;
