Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Muv Genotype,Labels
Ontario.CAN/50.09/3/G,Ky680540,2009-12-11,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,Mumps Outbreak In Ontario Canada 2009-2010,https://www.ncbi.nlm.nih.gov/nuccore/KY680540,2009.94,Genbank,2009-12-11,?,Aa: F: P397s;
New_York.USA/40.09/4,Jx287391,2009-10-08,North America,USA,New York,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287391,2009.77,Genbank,2009-10-08,?,Aa: M: L42f;
Ontario.CAN/50.09/1/G,Ky680539,2009-12-13,North America,Canada,Ontario,Eshaghi Et Al,Unpublished,Mumps Outbreak In Ontario Canada 2009-2010,https://www.ncbi.nlm.nih.gov/nuccore/KY680539,2009.95,Genbank,2009-12-13,?,Aa: F: S294g; I: M18i; L: L2183i; P: M18i; V: M18i;
New_York.USA/01.10,Jx287389,2010-01-04,North America,USA,New York,Kirkness Et Al,Submitted  12-jun-2012  J. Craig Venter Institute 9704 Medical Center Drive Rockville Md 20850 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/JX287389,2010.01,Genbank,2010-01-04,?,Aa: L: S1756y; P: G278e;
California.USA/40.11/G,Ky969482,2011-10-08,North America,USA,California,Espinosa Et Al,Submitted  20-apr-2017  Viral And Rickettsial Disease Laboratory California Department Of Public Health 850 Marina Bay Parkway Richmond Ca 94804 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/KY969482,2011.77,Genbank,2011-10-08,?,Aa: F: S63g E344g; M: R20k; L: T2061a;
NewJersey.USA/16.14/2/G,Broad Sequence 49,2014-04-28,North America,USA,New Jersey,Wohl Et Al,?,Unpublished,?,2014.32,Broad,2014-04-28,G,Aa: F: L372m;
Indiana.USA/5.14/G,Broad Sequence 47,2014-01-31,North America,USA,Indiana,Wohl Et Al,?,Unpublished,?,2014.08,Broad,2014-01-31,G,Aa: L: S580a;
NewYork.USA/10.14/2/G,Broad Sequence 52,2014-03-03,North America,USA,New York,Wohl Et Al,?,Unpublished,?,2014.17,Broad,2014-03-03,G,unknown
NewYork.USA/10.14/3/G,Broad Sequence 53,2014-03-04,North America,USA,New York,Wohl Et Al,?,Unpublished,?,2014.17,Broad,2014-03-04,G,unknown
NewYork.USA/8.14/G,Broad Sequence 51,2014-02-20,North America,USA,New York,Wohl Et Al,?,Unpublished,?,2014.14,Broad,2014-02-20,G,unknown
