Country,Month,Year,Lat,Lon,Value,ISO2,ISO3
Canada,9,2009,56.13,-106.35,3,CA,CAN
Canada,12,2009,56.13,-106.35,2,CA,CAN
Canada,4,2011,56.13,-106.35,1,CA,CAN
Canada,3,2016,56.13,-106.35,1,CA,CAN
Canada,4,2016,56.13,-106.35,3,CA,CAN
Canada,5,2016,56.13,-106.35,14,CA,CAN
Canada,6,2016,56.13,-106.35,12,CA,CAN
Canada,7,2016,56.13,-106.35,15,CA,CAN
Canada,8,2016,56.13,-106.35,5,CA,CAN
Canada,9,2016,56.13,-106.35,1,CA,CAN
Canada,10,2016,56.13,-106.35,4,CA,CAN
Canada,11,2016,56.13,-106.35,1,CA,CAN
Canada,2,2017,56.13,-106.35,4,CA,CAN
Canada,5,2017,56.13,-106.35,1,CA,CAN
USA,9,2009,56.13,-106.35,1,CA,CAN
USA,10,2009,56.13,-106.35,1,CA,CAN
USA,1,2010,56.13,-106.35,2,CA,CAN
USA,10,2011,56.13,-106.35,1,CA,CAN
USA,1,2014,56.13,-106.35,1,CA,CAN
USA,2,2014,56.13,-106.35,1,CA,CAN
USA,3,2014,56.13,-106.35,8,CA,CAN
USA,4,2014,56.13,-106.35,3,CA,CAN
USA,12,2014,56.13,-106.35,4,CA,CAN
USA,6,2015,56.13,-106.35,1,CA,CAN
USA,7,2015,56.13,-106.35,1,CA,CAN
USA,9,2015,56.13,-106.35,1,CA,CAN
USA,1,2016,56.13,-106.35,4,CA,CAN
USA,2,2016,56.13,-106.35,5,CA,CAN
USA,3,2016,56.13,-106.35,30,CA,CAN
USA,4,2016,56.13,-106.35,33,CA,CAN
USA,5,2016,56.13,-106.35,21,CA,CAN
USA,6,2016,56.13,-106.35,3,CA,CAN
USA,7,2016,56.13,-106.35,2,CA,CAN
USA,8,2016,56.13,-106.35,2,CA,CAN
USA,10,2016,56.13,-106.35,6,CA,CAN
USA,11,2016,56.13,-106.35,13,CA,CAN
USA,12,2016,56.13,-106.35,7,CA,CAN
USA,1,2017,56.13,-106.35,13,CA,CAN
USA,2,2017,56.13,-106.35,13,CA,CAN
USA,3,2017,56.13,-106.35,6,CA,CAN
USA,4,2017,56.13,-106.35,9,CA,CAN
USA,5,2017,56.13,-106.35,12,CA,CAN
USA,6,2017,56.13,-106.35,15,CA,CAN
USA,7,2017,56.13,-106.35,2,CA,CAN
