"","port","ship_type","date","sum_dwt","n"
"1","Gdańsk","Cargo",2016-12-13,455725,16
"2","Gdańsk","Cargo",2016-12-14,519575,23
"3","Gdańsk","Cargo",2016-12-15,353783,20
"4","Gdańsk","Cargo",2016-12-16,748183,20
"5","Gdańsk","Cargo",2016-12-17,541925,13
"6","Gdańsk","Cargo",2016-12-18,509926,10
"7","Gdańsk","Cargo",2016-12-19,727102,19
"8","Gdańsk","Cargo",2016-12-20,528237,17
"9","Gdańsk","Fishing",2016-12-13,6744,4
"10","Gdańsk","Fishing",2016-12-14,10116,5
"11","Gdańsk","Fishing",2016-12-15,10116,5
"12","Gdańsk","Fishing",2016-12-16,10147,5
"13","Gdańsk","Fishing",2016-12-17,10147,6
"14","Gdańsk","Fishing",2016-12-18,13519,7
"15","Gdańsk","Fishing",2016-12-19,10599,5
"16","Gdańsk","Fishing",2016-12-20,10599,6
"17","Gdańsk","Passenger",2016-12-13,11382,4
"18","Gdańsk","Passenger",2016-12-14,7881,3
"19","Gdańsk","Passenger",2016-12-15,11382,4
"20","Gdańsk","Passenger",2016-12-16,7881,3
"21","Gdańsk","Passenger",2016-12-17,11382,3
"22","Gdańsk","Passenger",2016-12-18,7881,2
"23","Gdańsk","Passenger",2016-12-19,11382,3
"24","Gdańsk","Passenger",2016-12-20,81,1
"25","Gdańsk","Pleasure",2016-12-13,0,4
"26","Gdańsk","Pleasure",2016-12-14,0,4
"27","Gdańsk","Pleasure",2016-12-15,0,4
"28","Gdańsk","Pleasure",2016-12-16,0,5
"29","Gdańsk","Pleasure",2016-12-17,0,4
"30","Gdańsk","Pleasure",2016-12-18,0,3
"31","Gdańsk","Pleasure",2016-12-19,0,4
"32","Gdańsk","Pleasure",2016-12-20,0,4
"33","Gdańsk","Tanker",2016-12-13,238649,6
"34","Gdańsk","Tanker",2016-12-14,400106,7
"35","Gdańsk","Tanker",2016-12-15,349402,9
"36","Gdańsk","Tanker",2016-12-16,374345,8
"37","Gdańsk","Tanker",2016-12-17,210016,9
"38","Gdańsk","Tanker",2016-12-18,177530,8
"39","Gdańsk","Tanker",2016-12-19,178720,7
"40","Gdańsk","Tanker",2016-12-20,155030,6
"41","Gdańsk","Tug",2016-12-13,38314,28
"42","Gdańsk","Tug",2016-12-14,47009,29
"43","Gdańsk","Tug",2016-12-15,47163,32
"44","Gdańsk","Tug",2016-12-16,44202,30
"45","Gdańsk","Tug",2016-12-17,44202,29
"46","Gdańsk","Tug",2016-12-18,44073,26
