Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Away,SET PIECE,KICK OFF,1,1,0.04,0,0,19,,NaN,NaN,NaN,NaN
Away,PASS,,1,1,0.04,3,0.12,19,21,0.45,0.39,0.55,0.43
Away,PASS,,1,3,0.12,17,0.68,21,15,0.55,0.43,0.58,0.21
Away,PASS,,1,45,1.8,61,2.44,15,19,0.55,0.19,0.45,0.31
Away,PASS,,1,77,3.08,96,3.84,19,21,0.45,0.32,0.49,0.47
Away,PASS,,1,191,7.64,217,8.68,21,22,0.4,0.73,0.32,0.98
Away,PASS,,1,279,11.16,303,12.12,22,17,0.39,0.96,0.49,0.98
Away,BALL LOST,INTERCEPTION,1,346,13.84,380,15.2,17,,0.51,0.97,0.27,0.75
Home,RECOVERY,INTERCEPTION,1,378,15.12,378,15.12,2,,0.27,0.78,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,378,15.12,452,18.08,2,,0.27,0.78,0.59,0.64
Away,RECOVERY,INTERCEPTION,1,453,18.12,453,18.12,16,,0.57,0.67,NaN,NaN
Away,BALL LOST,HEAD-INTERCEPTION,1,453,18.12,497,19.88,16,,0.57,0.67,0.33,0.65
Away,CHALLENGE,AERIAL-LOST,1,497,19.88,497,19.88,18,,0.38,0.67,NaN,NaN
Home,CHALLENGE,AERIAL-WON,1,498,19.92,498,19.92,2,,0.36,0.67,NaN,NaN
Home,RECOVERY,INTERCEPTION,1,498,19.92,498,19.92,2,,0.36,0.67,NaN,NaN
Home,PASS,HEAD,1,498,19.92,536,21.44,2,9,0.36,0.67,0.53,0.59
Home,PASS,,1,536,21.44,556,22.24,9,10,0.53,0.59,0.5,0.65
Home,BALL LOST,INTERCEPTION,1,572,22.88,616,24.64,10,,0.5,0.65,0.67,0.44
Away,RECOVERY,INTERCEPTION,1,618,24.72,618,24.72,16,,0.64,0.46,NaN,NaN
Away,PASS,,1,763,30.52,784,31.36,16,19,0.58,0.27,0.51,0.33
Away,PASS,,1,784,31.36,804,32.16,19,20,0.51,0.33,0.57,0.47
Away,PASS,,1,834,33.36,881,35.24,20,22,0.53,0.53,0.44,0.92
Away,PASS,,1,976,39.04,1010,40.4,22,17,0.36,0.96,0.48,0.86
Away,BALL LOST,INTERCEPTION,1,1110,44.4,1134,45.36,17,,0.42,0.79,0.31,0.84
Home,RECOVERY,INTERCEPTION,1,1134,45.36,1134,45.36,5,,0.32,0.89,NaN,NaN
Home,PASS,HEAD,1,1134,45.36,1154,46.16,5,6,0.32,0.89,0.31,0.78
Home,PASS,,1,1154,46.16,1177,47.08,6,10,0.31,0.78,0.41,0.74
Home,PASS,,1,1226,49.04,1266,50.64,10,8,0.46,0.68,0.56,0.34
Home,BALL LOST,INTERCEPTION,1,1370,54.8,1375,55,8,,0.86,0.26,0.88,0.28
Away,RECOVERY,INTERCEPTION,1,1374,54.96,1374,54.96,15,,0.87,0.29,NaN,NaN
Away,BALL OUT,,1,1374,54.96,1425,57,15,,0.87,0.29,1.05,0.17
Home,SET PIECE,CORNER KICK,1,2143,85.72,2143,85.72,6,,NaN,NaN,NaN,NaN
Home,PASS,,1,2143,85.72,2184,87.36,6,10,1,0.01,0.9,0.09
Home,PASS,CROSS,1,2263,90.52,2289,91.56,10,9,0.89,0.14,0.92,0.47
Home,SHOT,HEAD-ON TARGET-GOAL,1,2289,91.56,2309,92.36,9,,0.92,0.47,1.01,0.55
Away,SET PIECE,KICK OFF,1,3675,147,3675,147,19,,NaN,NaN,NaN,NaN
Away,PASS,,1,3675,147,3703,148.12,19,21,0.49,0.5,0.58,0.52
Away,PASS,,1,3780,151.2,3805,152.2,21,20,0.57,0.53,0.58,0.73
Away,PASS,,1,3829,153.16,3854,154.16,20,22,0.57,0.76,0.52,0.98
Away,PASS,,1,3882,155.28,3907,156.28,22,17,0.55,0.95,0.69,0.87
Away,PASS,,1,3930,157.2,3994,159.76,17,25,0.71,0.86,0.93,0.55
Away,BALL OUT,,1,4093,163.72,4164,166.56,25,,0.93,0.56,0.49,1.04
Home,SET PIECE,THROW IN,1,4386,175.44,4386,175.44,1,,NaN,NaN,NaN,NaN
Home,PASS,,1,4386,175.44,4445,177.8,1,10,0.49,1.01,0.55,0.84
Home,BALL LOST,,1,4445,177.8,4453,178.12,10,,0.55,0.84,0.57,0.78
Away,RECOVERY,,1,4452,178.08,4452,178.08,19,,0.56,0.82,NaN,NaN
Away,BALL LOST,INTERCEPTION,1,4489,179.56,4518,180.72,19,,0.54,0.87,0.48,0.85
Home,RECOVERY,INTERCEPTION,1,4516,180.64,4516,180.64,1,,0.5,0.87,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,4620,184.8,4679,187.16,1,,0.37,0.97,0.65,0.92
Away,RECOVERY,INTERCEPTION,1,4679,187.16,4679,187.16,17,,0.62,0.92,NaN,NaN
Away,BALL LOST,INTERCEPTION,1,4709,188.36,4749,189.96,17,,0.6,0.95,0.36,0.78
Home,RECOVERY,INTERCEPTION,1,4751,190.04,4751,190.04,7,,0.39,0.78,NaN,NaN
Home,BALL OUT,,1,4751,190.04,4836,193.44,7,,0.39,0.78,0.67,1.03
Away,SET PIECE,THROW IN,1,5057,202.28,5057,202.28,22,,NaN,NaN,NaN,NaN
Away,PASS,,1,5057,202.28,5081,203.24,22,19,0.58,1.01,0.57,0.89
Away,BALL LOST,INTERCEPTION,1,5081,203.24,5150,206,19,,0.57,0.89,0.25,0.84
Home,RECOVERY,INTERCEPTION,1,5149,205.96,5149,205.96,2,,0.24,0.82,NaN,NaN
Home,PASS,,1,5149,205.96,5202,208.08,2,1,0.24,0.82,0.32,0.89
Home,BALL LOST,INTERCEPTION,1,5202,208.08,5228,209.12,1,,0.32,0.89,0.33,0.84
