,x,y,z
Digit 2,-2.3639443,2.4415162,0.12319078
Digit 7,2.9593472,0.9358921,-0.60461855
Digit 1,-0.46125385,2.6221516,-1.5453867
Digit 3,-2.565318,-0.80625147,-0.14084655
Digit 5,-1.2054733,-1.3302139,0.17466833
Digit 3,-1.7365837,-1.2583994,-0.68498725
Digit 8,-1.1264614,0.24709916,0.025424343
Digit 6,-0.5816619,-1.9266477,2.2942913
Digit 7,2.6433458,0.091991045,-1.5452962
Digit 0,-0.06334792,-3.577656,0.20272443
Digit 3,-1.3954715,-0.2984518,-1.2457753
Digit 3,-2.587023,-0.46549097,0.08137495
Digit 1,0.2447501,3.2307398,0.5038499
Digit 2,-2.0773962,1.9405898,0.5309059
Digit 1,0.40588528,3.205791,0.85412306
Digit 0,-0.02895942,-3.3801584,-0.50117135
Digit 0,0.79306996,-3.405294,-0.25864762
Digit 3,-2.561985,-0.5038761,-0.016272971
Digit 9,0.98199457,-0.55579484,-1.4193722
Digit 0,0.35294458,-3.3986886,0.07693991
Digit 0,1.1890469,-3.1604178,-0.032114826
Digit 7,3.0865438,0.69238406,0.5191144
Digit 6,0.1798818,-2.623501,2.2683814
Digit 7,2.9975548,0.6106849,-0.6460195
Digit 7,3.2293277,0.6268716,-0.42912987
Digit 7,3.0136266,0.8159101,-0.6440232
Digit 0,0.9062902,-3.3541605,-0.5388108
Digit 8,-1.4224532,-1.2579873,-0.8240096
Digit 2,1.2184498,1.5143511,1.1039959
Digit 0,0.9090548,-3.337982,-0.54597276
Digit 1,-0.53460515,1.7583407,-2.2651422
Digit 3,-1.5871463,-1.2623203,-0.7485863
Digit 7,3.137948,0.3702528,0.5000304
Digit 1,-0.63840836,2.0333319,-2.0804024
Digit 3,-2.294839,-1.2282387,-0.36025345
Digit 2,-1.9906696,1.5071806,-0.5433996
Digit 3,-2.2861428,-0.90528816,-0.6247547
Digit 0,0.8971119,-3.3605316,-0.5405134
Digit 0,1.0467014,-2.9320233,-1.0079508
Digit 7,2.52016,0.123213515,-1.6889304
Digit 5,-1.2544979,-1.3441075,0.71379215
Digit 3,-1.5489737,-0.7757864,-1.0094578
Digit 8,-1.3107144,-1.5665091,-0.43457446
Digit 9,0.9673268,0.101043284,-1.0510682
Digit 6,-0.76553583,-1.6760182,2.299895
Digit 3,-1.6279119,-1.3520453,-0.74855614
Digit 7,-0.21010967,2.8380058,-0.42489642
Digit 4,0.8296117,-0.9706492,-1.2780339
Digit 4,1.9326515,1.1663678,1.0069377
Digit 8,-0.81117684,0.65914935,0.81161195
Digit 6,-0.2683349,-2.2146947,2.3907666
Digit 4,0.6802663,0.5174642,-1.1162518
Digit 3,-1.9309516,-1.1775634,-0.72083205
Digit 5,-1.079363,-1.1902487,0.79953444
Digit 7,3.126422,0.48808643,-0.8464379
Digit 8,-1.0035558,0.53968287,0.2166099
Digit 4,1.9022907,1.172169,1.1303226
Digit 9,1.2677087,-0.08132137,-1.3024108
Digit 7,2.5431569,0.84605384,-1.1055437
Digit 9,1.2170006,0.7017019,-0.28954035
Digit 8,-0.41681534,1.2751303,0.8273056
Digit 0,-0.10431788,-2.943844,-0.5983079
Digit 2,-1.9759092,2.1772213,-0.23383673
Digit 9,-0.08361937,2.969608,-0.1470144
Digit 5,-0.94063216,-1.4637324,0.5518032
Digit 6,-0.41921043,-1.8862585,2.4990008
Digit 7,3.1659102,0.44211954,0.42219266
Digit 4,2.04988,1.4623088,0.9436601
Digit 2,-2.368126,2.242262,0.17111641
Digit 9,0.5733403,-1.5327901,-0.44829312
Digit 7,2.9063966,0.15706915,-1.555025
Digit 9,1.7612784,1.2639267,0.16458812
Digit 6,0.60461897,-3.1443377,1.8259712
Digit 3,-2.4720714,-0.8929402,-0.46876624
Digit 9,-0.083543934,1.434158,0.7727178
Digit 3,-2.4864016,-0.9707964,-0.50254554
Digit 5,0.4251732,0.79646635,-0.51942426
Digit 9,1.2801541,0.2804929,-0.53249705
Digit 7,3.2106242,0.7426724,-0.37287927
Digit 2,-2.5659857,2.0798113,0.68993986
Digit 2,2.941424,-0.30920887,0.6463825
Digit 8,-0.23148978,1.3278286,0.8039232
Digit 8,-1.0614179,0.49254984,0.408098
Digit 9,1.17894,0.10047194,-0.9376396
Digit 1,-0.007985599,3.1422095,0.38227695
Digit 8,-1.0662036,0.24990974,-1.6031368
Digit 4,1.4922185,0.981014,0.80427146
Digit 7,3.1529505,0.40941548,0.50444424
Digit 0,1.3914839,-3.0988786,-0.6238159
Digit 3,-1.560918,-1.307915,-0.7132997
Digit 5,-0.22164264,0.053632554,2.2515435
Digit 7,3.0542052,1.0677354,-0.15802683
Digit 5,-0.19235414,0.14979763,2.4184563
Digit 6,-0.3657578,-2.351089,2.1562977
Digit 0,1.0814964,-2.9542468,-0.9879653
Digit 4,1.5416496,1.4066384,0.8478289
Digit 6,-0.5648057,-1.893803,2.3647432
Digit 1,-1.0675502,2.4579127,-1.3858057
Digit 0,-0.44354856,-2.649287,-0.47402346
Digit 8,-0.71779597,0.96452767,0.9375464
Digit 1,-0.29626876,2.6031098,-1.0034462
Digit 9,1.0776502,0.14589237,-1.0922539
Digit 3,-1.4785724,-1.0764846,2.00082
Digit 1,-0.0046080993,2.9871786,0.576431
Digit 2,-2.0570598,2.3252823,0.45998538
Digit 8,-1.1938535,0.2719767,0.16777173
Digit 3,-0.926743,-1.5419961,0.2716232
Digit 1,0.035553087,3.1655347,0.18752894
Digit 6,-0.60874057,-2.395046,2.0793047
Digit 7,2.2839506,0.9344398,-0.74951077
Digit 7,3.2875664,0.15704045,-1.2225839
Digit 2,-2.2934668,2.239896,0.51463354
Digit 5,-0.9640348,-0.8183631,1.4074775
Digit 2,-2.6126065,2.089083,0.6264593
Digit 3,-2.3756027,-0.8290149,-0.48563415
Digit 3,-2.270112,-1.1160975,-0.52366036
Digit 7,2.9716702,1.3529894,-0.33136988
Digit 3,-2.142306,-0.421883,-0.42175227
Digit 3,-2.2489254,-0.71852,-0.405025
Digit 3,-1.8542438,-0.9429341,-0.54480606
Digit 2,-2.7474515,1.6683565,1.3006808
Digit 3,-2.3302586,-1.0801963,-0.48501536
Digit 5,-1.3772637,-1.2318336,-0.68706834
Digit 6,-0.95739317,-1.7312478,2.4580548
Digit 1,-0.17323862,3.1133354,0.061648242
Digit 4,0.88454086,-0.9530643,-1.4518278
Digit 7,2.8927402,0.17070295,-1.5375923
Digit 7,2.787331,0.14513576,-1.6327028
Digit 6,-0.14326003,-2.5285137,1.8805658
Digit 2,-2.0658052,2.4162893,0.5106542
Digit 6,0.6018567,-3.1180537,1.8034163
Digit 7,2.682646,0.06507564,-1.7060605
Digit 0,1.4201083,-3.0673635,-0.64205474
Digit 3,-2.2767677,-0.9408989,-0.6322017
Digit 0,0.94577885,-3.2330925,-0.7870482
Digit 4,-1.0094955,-2.0836465,2.252829
Digit 4,0.8647528,-0.67215526,-1.2174735
Digit 2,-2.2931447,2.4629216,0.22614369
Digit 5,-1.2113583,-1.0461477,-0.30746
Digit 1,0.51330185,3.1837647,1.3657538
Digit 9,0.59675944,0.8246688,-0.779907
Digit 0,0.45655528,-3.1322386,0.4481206
Digit 6,-0.44238818,-2.1645615,1.4106956
Digit 2,-1.3230917,0.6227864,-0.49608058
Digit 7,2.982725,-0.17626028,-1.9020832
Digit 1,0.1591816,3.2464101,0.57177603
Digit 5,-1.3139321,-1.2905575,0.49910992
Digit 4,1.749822,1.8786243,1.2363148
Digit 6,0.6092219,-3.1832528,1.7440268
Digit 6,-0.9330251,-1.8491274,2.1605513
Digit 6,-0.69536567,-2.3201432,2.1049898
Digit 9,1.8105888,1.3568723,0.2376597
Digit 9,1.6757703,0.52024764,-0.31934398
Digit 9,1.9329987,1.4276806,0.3619374
Digit 8,-1.1051463,0.22260398,-0.045902353
Digit 9,1.0131015,-0.36540323,-1.249775
Digit 3,-2.1494336,-0.7265999,-0.5110089
Digit 9,1.8326224,0.98787814,-0.3361245
Digit 7,2.8889358,0.0014658486,-1.5894415
Digit 2,-2.7536874,1.7395557,1.2508862
Digit 7,2.6971936,-0.031303786,-1.7728982
Digit 9,0.88992465,-0.63891846,-1.3337033
Digit 3,-1.6152291,-0.84113884,-0.8175592
Digit 4,1.6774695,1.2744154,-0.31556448
Digit 7,2.9370732,0.65253544,0.5742543
Digit 7,3.024029,0.9618886,-0.0065836553
Digit 9,1.9367054,1.6913298,0.7348017
Digit 0,1.011165,-3.0435603,-0.95721185
Digit 3,-2.4517949,-0.23430343,0.15827984
Digit 3,-2.1716757,-0.8068118,-0.5783428
Digit 9,1.7779549,1.2757512,0.22684357
Digit 8,-0.13762373,0.7213566,0.276362
Digit 8,-0.68156993,0.94129825,0.7838474
Digit 5,-0.16937253,0.04769538,2.1282604
Digit 0,-0.33624876,-3.1930184,-0.19307928
Digit 9,1.8836989,0.75967646,0.1659612
Digit 4,1.9230865,1.1965462,1.1343216
Digit 1,-0.5645606,1.0572737,-2.276493
Digit 1,-0.41794747,2.6899226,-1.2089969
Digit 0,1.4104099,-3.0961978,-0.4233416
Digit 6,0.18951924,-2.7858372,1.9954174
Digit 3,-1.5931493,-0.81277674,-0.9426098
Digit 1,-0.7973936,1.7213459,-2.243324
Digit 1,-1.014139,2.5929458,-1.2713556
Digit 8,-0.4881018,1.2073449,1.0686437
Digit 4,1.4319884,-0.10189399,0.46243727
Digit 4,1.8071026,1.6180031,1.0815032
Digit 3,-1.9012274,-1.2256783,-0.7149297
Digit 4,1.2560828,-0.05240357,-1.3216438
Digit 9,0.53137326,1.09396,-0.9516114
Digit 9,1.7561923,1.2248417,0.047599234
Digit 1,-0.43683988,2.6191814,-1.7031169
Digit 7,3.1454215,0.4204316,0.5370645
