,x,y,z
rt,-3.306358,-1.2734218,-1.3430303
i,4.1061583,-3.7045844,6.4407573
a,7.1158285,1.4548254,-2.596854
the,6.493922,-2.4723365,6.51001
you,4.2480416,-3.6084077,6.8265686
to,5.9528847,-3.7116673,5.931957
me,7.1310277,1.4681296,-2.6492393
de,5.072262,-0.9505723,-9.471691
que,3.6778784,-0.35215336,-9.460624
and,5.9605165,-2.6577005,6.366726
my,5.671091,-2.9458287,6.241164
no,7.1065116,1.5009568,-2.72846
is,7.030751,-2.6929383,7.2688546
it,4.056104,-2.8204126,6.517314
in,7.146846,-2.2854552,6.6750627
n,-3.0519893,1.5024261,-3.1043596
for,5.9730515,-3.0947864,5.9717975
of,6.812166,-2.3991442,6.7280188
la,5.0312557,-0.609669,-5.953751
do,6.0007358,-4.897376,5.971308
n't,3.7106502,-2.801654,7.1373715
that,3.926818,-2.901215,6.963041
on,5.8938103,-2.1247096,5.2467303
y,6.320114,3.1553211,-5.3592052
e,-2.5198317,0.59245217,-4.68788
o,-2.2802541,0.42797777,-4.91255
u,-3.579805,1.3489394,-3.2953808
en,5.2865567,-0.9793867,-9.412103
this,4.868953,-2.6584969,5.7937255
el,5.3649592,3.3448448,-4.7308083
so,3.4785962,-4.081079,5.8549385
be,4.7663608,-3.3920171,7.679758
with,6.0934086,-2.6145852,6.3358655
just,4.1314754,-3.0295699,6.578295
your,5.668684,-3.0278673,6.5935707
like,4.092858,-3.0022085,6.563947
have,4.6093507,-2.4481485,7.3094487
te,4.6305504,-0.21874963,-8.679216
at,6.2873383,-1.4590573,5.191128
love,1.8264267,-5.321527,2.0630412
se,3.7095869,-0.40359175,-9.166472
are,5.2930703,-2.0887814,8.841065
m,-2.965369,1.136933,-3.243755
r,-3.206583,1.3246753,-3.264494
if,3.944505,-2.9333582,7.7077594
all,5.667423,-2.17733,7.1674814
b,-3.2529588,1.1777521,-3.256215
not,4.321167,-2.9510217,7.5639286
but,3.6203747,-2.6429088,6.736525
we,5.405539,-3.7311928,7.237878
es,6.3697343,2.4948351,-5.8541574
ya,-4.025483,-6.0188737,-1.4125673
follow,0.31265226,-9.038013,-0.42706475
up,4.8876543,-1.4576018,5.1940026
what,3.2582963,-2.8791316,7.068014
get,4.2686453,-1.9413347,5.658934
lol,-1.756022,-4.279007,5.195607
un,5.724107,-0.32659104,-6.2559757
lo,5.7835965,1.1148535,-5.509706
when,3.6095786,-2.8238392,7.7581916
was,7.157468,-2.6813602,8.71515
one,5.6609206,-0.9217654,6.886642
por,2.1687286,0.53134125,-10.006838
si,5.8211746,0.70513946,-5.7012196
out,4.937746,-1.5640763,5.330477
mi,4.7006187,2.4814758,-4.5754757
can,4.6632543,-3.495264,7.6779466
he,6.151199,-4.140222,9.260092
con,5.2730217,2.70935,-5.0926504
they,4.9081006,-2.0944424,8.218658
now,4.7164383,-2.0975518,5.344077
go,4.0953827,-1.9104323,4.590778
para,2.1698744,-0.55018765,-10.767584
los,8.262727,5.389164,-6.840897
know,3.0221312,-2.8809674,7.124524
haha,-2.486314,-4.315757,-0.6360691
good,2.9043932,-3.326247,5.0866528
tu,4.93503,-0.6541263,-5.8999763
back,5.239694,-2.5299418,4.7338085
about,3.258651,-2.9538498,7.38572
new,-0.5767305,2.5684483,2.4067695
as,6.2394824,-4.422602,5.647443
day,6.2406435,-1.9125392,3.5432239
how,3.144863,-2.937198,7.1221585
who,4.0376277,-3.1270525,8.091726
will,4.892354,-2.068152,6.5140142
want,3.3410642,-3.7772305,8.5564
people,5.1961875,-1.9554144,8.983694
yo,6.8203387,2.4508834,-4.118611
eu,-6.0443377,-0.07899034,-8.203687
from,6.4300737,-2.255024,6.207823
di,-7.7156224,-7.672905,-3.8348417
time,5.41563,-0.52245736,4.3567486
s,-2.9342563,0.89990073,-3.210345
aku,-8.555486,-2.9636228,-2.9201841
da,-2.11947,0.115903206,-5.3050804
una,5.2275333,2.3530128,-5.118036
got,1.5770227,-0.64756083,5.208319
las,8.2955065,5.2431126,-6.778974
more,5.2785087,-1.886305,7.2072706
x,-3.9684339,0.37565804,-2.9931173
she,3.7364035,-4.6083117,7.6813607
today,5.888721,-1.7155124,3.7659423
k,-3.4216356,0.02124389,-4.4886026
by,6.7155757,-2.303055,6.160775
or,4.443697,-1.9158809,7.2101912
too,3.178456,-3.521901,5.706353
le,5.659339,-0.59040916,-6.2627206
see,4.1293054,-2.525522,5.741395
why,2.773007,-2.98585,7.092701
yg,-9.258587,-4.754832,-2.2328627
ca,4.7046413,-3.5756075,4.2978344
como,1.9962167,0.54003006,-9.449945
her,4.2552743,-4.8872375,7.995574
q,0.5144307,1.471443,-7.4737644
need,3.6433158,-1.8258626,5.475622
an,0.8590184,7.5096483,8.070551
na,-0.94598854,-4.2535753,-3.8688624
there,4.0636816,-2.0803673,6.8349767
happy,1.1871119,-6.705881,2.9841475
im,0.595204,-4.5387807,6.2034354
mas,0.8438055,1.1446989,-8.47352
je,7.5321727,-4.3836675,-2.9599493
life,3.703848,-1.7472569,9.733459
really,2.9931028,-2.8803978,6.95088
make,3.621564,-1.6919749,5.790346
yang,-10.503979,-4.839413,-2.866451
