,x,y,z
the,-0.1101664,-0.36981356,-0.09784057
and,-0.024071332,-0.45855853,-0.08782952
to,-0.22064266,-0.57809246,-0.2751271
of,-0.13083915,-0.35001254,-0.11384204
a,-0.14765918,-0.3277914,0.1123838
in,-0.070866115,-0.38799343,-0.09786845
is,-0.19883303,-0.45342082,-0.1846747
for,-0.027362883,-0.4417721,-0.060416427
i,-0.33564442,-0.16057709,-0.6271971
that,-0.20359832,-0.43584186,-0.18504429
you,-0.29824,-0.51765424,-0.30759633
it,-0.18963256,-0.42574543,-0.21983908
on,0.30519295,-0.447189,0.022572253
with,-0.023956364,-0.45869875,-0.0784486
this,-0.18787053,-0.41710138,-0.16597636
by,0.14354187,-0.533748,-0.027577408
are,-0.43754125,-0.38068074,-0.19159561
at,0.31196526,-0.43013808,0.025337623
as,-0.14458491,-0.45452148,-0.13258505
be,-0.31107014,-0.58137643,-0.24821898
from,0.1690552,-0.5351213,-0.019976938
have,-0.14960353,-0.4778274,-0.254456
was,-0.13569762,-0.48081383,-0.20284504
or,-0.43011925,-0.5960829,-0.22005397
your,-0.28234926,-0.5061943,-0.3335649
not,-0.34525922,-0.5588993,-0.24276656
we,-0.13706447,-0.42563155,-0.2681104
but,-0.22599657,-0.41861805,-0.23445264
all,-0.4239234,-0.3685328,-0.1904053
will,-0.2971477,-0.59566367,-0.28306562
an,-0.14637601,-0.3338076,0.106283806
my,-0.3498948,-0.119170584,-0.67496175
can,-0.309541,-0.5472407,-0.30613306
they,-0.14407434,-0.46491522,-0.2512395
n't,-0.37545538,-0.17985365,-0.6275856
do,-0.37982365,-0.21311334,-0.6083102
he,-0.49732813,0.23497608,-1.6613642
more,-0.33870086,-0.6629404,-0.08639308
if,-0.36989766,-0.5605201,-0.27320594
one,-0.20920204,-0.29449913,0.12165909
has,-0.22091763,-0.42998028,-0.15423608
so,-0.19825737,-0.40059307,-0.31607443
about,-0.5521354,-0.007767447,-0.6353805
new,-0.0046833,-0.3959933,-0.06419307
what,-0.5451463,-0.014146796,-0.61101353
his,-0.50534624,0.24405082,-1.7140512
there,-0.11969439,-0.3663265,-0.12178302
up,0.2652112,-0.44536868,0.023061704
out,0.2314267,-0.446014,-0.0051160995
their,-0.21156932,-0.36875194,-0.31809863
our,-0.19892298,-0.38991523,-0.317263
like,-0.27186275,-0.3984627,-0.30473608
when,-0.011115958,-0.4587216,-0.08696537
just,-0.10115192,-0.39432317,-0.27095935
time,-0.0047898567,-0.42401055,-0.02648701
me,-0.380109,-0.08343136,-0.65874517
which,-0.20432873,-0.45031294,-0.1786974
who,-0.41735393,0.11443293,-0.5901232
no,-0.36947626,-0.5694321,-0.16159411
would,-0.3333292,-0.4916986,-0.3443492
some,-0.38229272,-0.43558383,-0.05301958
get,-0.20982185,-0.4664792,-0.25144753
also,-0.18794842,-0.4464483,-0.16463187
other,-0.5830043,-0.34196493,0.026297232
how,-0.5624098,-0.031931832,-0.6210106
may,-0.34088638,-0.60029185,-0.27248454
had,-0.090435416,-0.50347704,-0.22891778
am,2.2923272,1.94852,0.0615756
been,-0.24896121,-0.3959854,-0.12715788
her,-0.5041056,0.23376164,-1.6980932
were,-0.120031685,-0.4986109,-0.22682959
them,-0.03218808,-0.44595158,-0.1366
people,-0.4115327,-0.2982842,-0.26993465
she,-0.4946653,0.23765393,-1.6767836
any,-0.4143138,-0.5937558,-0.23992957
now,-0.2562042,-0.3172352,-0.08714334
only,-0.33505675,-0.45715457,-0.04672084
pm,2.3075497,1.9614637,0.062426105
first,0.17779931,-0.14527602,0.3170377
than,-0.34738,-0.6624716,-0.05060803
good,-0.11761418,-0.37415195,-0.5881097
into,0.27017927,-0.48260093,0.028122865
its,-0.12170619,-0.39776042,-0.12110404
these,-0.43782732,-0.36179024,-0.170475
us,-0.17174076,-0.40356228,-0.29624248
see,-0.57132417,0.039628807,0.049592424
here,-0.53142434,0.0102043105,0.031621557
make,-0.21735395,-0.4611202,-0.21880658
home,0.70150375,0.1957507,0.4589257
very,-0.28746158,-0.35003656,-0.5749281
over,0.1512746,-0.4611315,-0.017071469
most,-0.33313435,-0.29537156,-0.118522584
then,-0.017206373,-0.47930214,-0.09320106
know,-0.51920974,-0.007950747,-0.5797034
said,-0.5926673,0.18092,-0.73835534
after,-0.042722654,-0.4612918,-0.04054065
well,-0.13589324,-0.43664125,-0.24495718
use,-0.7119063,-0.40587774,0.3405517
two,0.619147,3.1000803,-0.47694516
did,-0.3427055,-0.19871944,-0.61716276
could,-0.3486182,-0.52596116,-0.3100931
day,0.42199782,0.11362496,0.4853166
great,-0.09395817,-0.3531936,-0.6243781
free,-0.5502644,-0.3080017,0.38937277
many,-0.3805761,-0.35625234,-0.12628765
back,0.3067062,-0.45633805,0.017899795
way,-0.063482165,-0.3854881,-0.19766147
work,-0.22223976,-0.53627515,-0.2714881
because,-0.26932687,-0.4363754,-0.20217815
best,-0.2778982,-0.31443876,-0.09623066
should,-0.42380726,-0.5713926,-0.29287723
even,-0.2574635,-0.4485902,-0.23928332
year,0.39539132,0.12346178,0.35340464
think,-0.44452223,-0.0836999,-0.643534
years,0.3484551,0.11217727,0.31462446
much,-0.22560807,-0.5166104,-0.2651845
does,-0.32399073,-0.52627784,-0.2917646
where,0.1222004,-0.29802293,0.019932758
go,-0.044397116,-0.4373008,-0.2475755
love,-0.19127919,0.1436008,-0.87663084
need,-0.33479753,-0.59812117,-0.26425725
last,0.19268636,-0.06431518,0.23968713
find,-0.73452866,-0.116419524,-0.07745543
world,0.99787956,0.869942,-0.57284063
really,-0.384513,-0.18101811,-0.63450485
information,-0.9364893,-0.010571478,0.44238096
through,0.25212887,-0.49341342,0.027527554
want,-0.27663082,-0.4327633,-0.3354087
him,-0.5006225,0.24308224,-1.6933267
right,0.06476704,-0.42656994,-0.16036199
take,-0.008731032,-0.48207456,-0.19456372
views,-1.1071637,0.41768584,0.20071879
such,-0.58840156,-0.3590547,-0.012511495
made,-0.1729066,-0.4349061,-0.063139714
those,-0.4311337,-0.34678826,-0.2061365
business,-0.3749758,0.2493688,0.9243802
life,0.030265318,0.3277625,-0.80955815
before,-0.034488596,-0.459511,-0.057654645
being,-0.27034053,-0.56392354,-0.19398747
off,0.33945125,-0.43193102,0.044696808
used,-0.7203067,-0.40984368,0.34416264
help,-0.37421283,-1.0033036,-0.11025458
while,0.05776352,-0.46471208,-0.09476047
posted,-1.3014987,0.47612593,0.10550581
too,-0.1768589,-0.4702894,-0.41712102
still,-0.24490745,-0.375299,-0.18048403
down,0.33609763,-0.4261523,0.065362625
going,-0.08773079,-0.41517854,-0.30378595
video,-0.5029949,0.8230087,0.7927808
part,-0.26916066,-0.22126858,0.20862733
online,-1.1330181,0.42019105,0.92033696
each,-0.27580917,-0.26157156,0.04206263
little,-0.058891196,-0.5090314,-0.5077343
high,-0.1586177,-1.2171235,0.15945634
look,-0.50987655,-0.1355984,-0.34883973
around,0.30410436,-0.41929972,0.0492122
same,-0.37282816,-0.3454084,0.057704724
game,0.11623359,1.1787533,0.54600525
read,-1.1646593,0.43841776,0.10718543
service,-0.5036866,0.050389674,1.1386477
long,-0.51497316,-0.3787635,0.07705573
why,-0.5087384,-0.019592758,-0.64667183
school,-1.2582,-1.518937,-0.07475999
state,1.3794551,1.0448242,-0.33020407
post,-1.2482134,0.47312158,0.10181849
city,0.9564579,0.36763552,0.3237007
own,-0.23077653,-0.34525293,-0.32493
every,-0.26062247,-0.29269633,0.077727124
system,-0.4390773,-0.21250151,0.86488837
next,-0.0015346338,-0.25697,0.005481288
news,-0.64755774,-0.1021298,0.26038387
site,-1.144051,0.42574224,0.87674296
say,-0.49633124,-0.011860078,-0.661692
got,0.06569122,-0.5206503,-0.22079262
both,-0.08221938,-0.41214588,-0.16056539
under,-0.038678367,-0.43511632,-0.094592385
top,0.12714443,-0.31966132,0.218267
set,-0.08783642,-0.28599286,0.36332625
another,-0.17660867,-0.2950663,0.11653242
since,-0.116175525,-0.2696946,0.008889735
things,-0.35597587,-0.141448,-0.65084314
available,-0.51159626,-0.63999575,0.5922013
show,-0.37150303,0.02396025,-0.03680873
place,0.41724563,-0.20360619,0.096406765
using,-0.7298717,-0.40287557,0.35175055
better,-0.18370731,-0.479466,-0.34490412
page,-1.0980191,0.30533847,0.67377603
never,-0.20547847,-0.161843,-0.6199726
please,-0.9630865,0.26536846,-0.14620349
come,-0.09955466,-0.34040585,-0.24899223
big,0.34673715,-0.49596766,-0.70011395
today,-0.24328327,-0.22196783,-0.011625608
s,1.5302165,1.3925759,0.049910974
family,0.20455335,0.9185085,-0.9150785
music,0.03697923,1.1854306,0.69901043
services,-0.5031811,0.061709836,1.14231
full,-0.49202088,-0.42811757,0.3076402
something,-0.38493142,-0.14788263,-0.6723527
number,-0.6433517,-0.30124938,0.12271654
company,-0.01274664,0.40490636,0.8943896
few,-0.38842034,-0.43550083,-0.019000687
price,0.0018155997,-0.7191505,0.90094644
ca,-0.38648614,-0.119395524,-0.69750816
between,-0.049664397,-0.42290217,-0.1069847
days,0.38826197,0.11342289,0.491361
book,-1.1908237,0.47058755,0.092581876
name,-0.82280767,0.090197116,0.34837037
view,-0.6880507,0.15786256,0.23309517
found,-0.32117665,-0.36538133,-0.24403088
ago,0.36555046,0.15086459,0.4430063
real,0.100764714,-0.016173154,0.9609808
without,-0.39111903,-0.5728187,-0.13897151
old,-0.23714721,-0.0852412,-0.3970322
search,-0.89757943,-0.012125964,0.17240648
always,-0.34284997,-0.24154782,-0.40899017
black,1.2082244,0.3085076,0.50048816
house,0.7636242,0.19841516,0.55351746
three,0.62138164,3.1120343,-0.47893906
man,0.16360334,0.89478236,-1.0477428
must,-0.4972967,-0.56174314,-0.2937171
during,-0.05713304,-0.46886367,-0.024826283
again,-0.037438717,-0.436687,-0.14224146
end,0.34538278,-0.4824542,-0.003389627
different,-0.53370714,-0.41638684,0.24080169
lot,-0.3049986,-0.7680243,-0.013394575
health,-0.90726954,-1.5911179,-0.7776702
looking,-0.59819025,-0.12334384,-0.2667273
week,0.40579855,0.106823124,0.39593697
sure,-0.46959913,-0.13915214,-0.37473392
group,-0.32112578,0.38751736,0.062233075
give,-0.0880336,-0.44167376,-0.20826355
team,0.8407633,0.9951135,0.20844868
power,-0.013256522,-0.22408348,0.7391914
times,0.019573428,-0.07038599,0.19260727
let,-0.16163078,-0.3444524,-0.29324
car,1.0224273,0.053765133,0.7205752
area,0.7277215,0.14050278,0.16762748
buy,0.073978305,-0.44710982,1.3356732
money,-0.52592295,-1.2977878,0.9610281
water,1.0729085,-0.53456724,0.004628725
keep,0.041660056,-0.7851385,0.034160227
support,-1.8112217,-1.1897646,0.56422085
web,-1.1167206,0.4113774,0.88398653
data,-1.0181693,-0.036537286,0.50225776
live,0.013171329,0.20843881,-0.6928184
comments,-1.2367542,0.44755763,0.13782246
small,0.42745334,-0.7157317,-0.80534613
play,0.2388498,1.3507313,0.5699418
including,-0.5661742,-0.40626094,0.30955493
x,1.8238376,0.89010787,-0.6420134
thing,-0.3987867,-0.142551,-0.64880174
list,-0.9501081,0.09906832,0.5841001
put,0.079955064,-0.43729094,-0.0055551813
children,0.24810527,1.0415549,-1.0011537
design,-0.08652898,0.2639495,0.67257726
women,0.24606621,1.0496635,-1.0265489
might,-0.3993442,-0.513281,-0.2946284
white,1.2089776,0.30949414,0.49473175
public,-0.03969878,0.3810038,-0.13551366
point,0.08318037,-0.43113726,-0.09532666
order,-0.33822688,-0.70525825,0.37753746
call,-0.97138304,0.6108765,-0.14841983
second,0.19697408,-0.13110392,0.33998582
local,0.60874444,0.32929942,0.08339883
says,-0.5755392,0.17402561,-0.74032074
case,-0.69089556,-0.3884338,-0.46403772
care,-0.89666677,-1.5706689,-0.76728034
download,-0.7736446,0.6304266,0.8226838
reblogged,-0.25115204,0.28468674,-1.0642523
program,-1.0764421,-1.0935445,0.09435264
night,0.75223356,0.257174,0.6688976
blog,-1.1404852,0.56218415,0.5479223
away,0.40721264,-0.39537996,0.079815045
start,0.14667606,-0.7481574,-0.15758765
products,-0.23258744,0.04951133,1.2328796
review,-1.259201,0.043160077,0.29562697
against,0.111972265,-0.3031615,-0.3809735
left,0.34623417,-0.45256323,0.020677676
however,-0.4746674,-0.41046858,-0.31965682
center,0.67395204,-0.121942915,0.33126706
feel,-0.25864136,-0.37195846,-1.0109062
having,-0.28341872,-0.5962768,-0.12656419
website,-1.1305563,0.41502216,0.87122005
line,0.23892222,-0.4128181,0.13215292
thanks,-0.3270809,0.35927486,-1.0098977
food,1.2915696,-0.8015778,-0.31571513
ever,-0.16766365,-0.14918268,-0.6139323
open,0.5331802,-0.6633353,-0.04287372
university,-1.2298408,-1.5160198,-0.07018228
room,1.0486772,-0.28566062,0.54965574
though,-0.2906748,-0.37682393,-0.3795973
god,0.2186474,0.7300663,-1.1902544
product,-0.24902296,0.058854483,1.2235234
national,0.54292536,0.6145177,-0.084378205
change,-0.6813358,-0.55529493,-0.11305516
making,-0.16668773,-0.43838048,-0.097531535
experience,-0.9715812,-0.24285662,-0.377451
add,-0.6892677,-0.16408007,0.22138904
internet,-1.1078959,0.4094718,0.9198691
hotel,1.4299275,0.011308547,0.73839927
check,-0.75117886,0.0047952733,0.11707707
job,-0.049124952,0.10472372,-0.30125466
getting,-0.11377635,-0.44315112,-0.28691718
date,1.2070926,-0.45751292,-1.7745013
quality,-0.11181768,-0.39861393,-0.59151703
once,-0.076590225,-0.49375966,-0.09656538
course,-0.78875875,-1.0040548,-0.03697611
american,1.0761304,0.9685475,-0.5461442
hard,-0.13805284,-0.5244572,-0.3529503
within,0.17209762,-0.30320862,0.04003696
contact,-1.174918,0.35150644,0.019614842
until,0.012196123,-0.45960557,-0.10867621
try,-0.23410027,-0.36913872,-0.5434434
sale,0.036320638,-0.41687405,1.4535736
games,0.06722027,1.1386617,0.5541659
side,0.65822333,-0.2924253,0.440303
able,-0.3364179,-0.64109135,-0.20803593
county,1.5672257,0.9271633,0.09620131
phone,-1.1134138,0.6359071,0.74282664
research,-1.0312018,-1.1612811,-0.07971038
community,0.048502337,0.5277344,-0.011289983
software,-0.79550284,0.16458216,0.8964709
working,-0.2169037,-0.5495923,-0.2800767
march,1.5711164,-0.46629956,-2.1726847
art,0.22812279,0.6993005,0.44947314
yet,-0.2770603,-0.37547567,-0.39672336
months,0.39079902,0.12542039,0.45616978
body,0.5519011,-0.4810375,-0.15500952
easy,-0.6119053,-0.8496157,-0.21340436
control,-0.32774395,-0.245541,0.8126653
story,-0.8315605,0.3627526,-0.11005535
done,-0.2099893,-0.4443173,-0.41878647
light,1.0600724,0.07022475,0.49022385
de,1.8932495,1.848219,-0.043145236
click,-0.89833635,0.13700046,0.49123925
country,1.0548791,0.9091738,-0.55333626
provide,-0.57515967,-0.59043795,0.40418687
market,-0.20758268,-0.3552577,1.1298648
results,-0.6389463,-0.57395947,-0.33669123
large,0.4261977,-0.71803707,-0.8145658
person,-0.48446694,-0.1463858,-0.65905005
actually,-0.37042123,-0.24176036,-0.5503622
less,-0.3778062,-0.6770072,-0.05170739
office,0.11080693,0.7987462,0.013135094
enough,-0.18193665,-0.5417614,-0.29729906
men,0.24539638,1.0497621,-1.0269952
government,0.09587735,0.7814155,-0.4239832
june,1.5595124,-0.4686051,-2.1615555
following,-0.43360096,-0.37104294,0.031252142
special,-0.49589103,-0.43119967,0.31477886
international,1.0711585,0.9554236,-0.57512593
states,1.2658215,1.0309451,-0.44120032
report,-1.0512747,-0.52328086,0.2073959
makes,-0.05105871,-0.47849417,-0.13391156
per,-0.42369422,-1.0886899,0.25304222
important,-0.7159566,-0.5085442,-0.2652622
united,1.2506423,1.0398037,-0.47115326
series,-0.2810569,-0.2013819,0.26637095
april,1.5648953,-0.46522188,-2.1641448
doing,-0.20236968,-0.44488016,-0.41047254
size,0.569019,-0.708036,-0.8343821
air,0.59517777,-0.22013876,-0.16075777
hours,0.6412872,0.14312609,1.2317257
red,1.1762198,0.30439407,0.44404465
john,0.97272664,1.6314274,0.14273117
