,x,y,z
Sandal,-0.24970251,0.19355585,3.0213733
Sneaker,-0.32133776,3.640539,0.73260665
Shirt,1.1961737,-3.2297666,-2.532558
Dress,-2.0302668,0.8245214,-0.0017580121
Pullover,0.06432681,-2.7350383,0.8724047
Sandal,0.72543347,3.3584442,1.3725951
T-Shirt,0.33123514,1.0233119,-1.6192212
Coat,-0.73516506,-0.7605149,-1.5266054
Dress,-0.8468661,1.1252892,-1.3335999
Sneaker,0.65615547,3.537359,0.99968344
Shirt,0.097177096,0.034975767,-1.4724048
Shirt,-2.201392,-0.07251763,-0.6930281
Trouser,0.8021527,0.48563075,0.344641
Sandal,-1.4150227,2.4956853,2.1394126
T-Shirt,-1.8568519,0.09570972,-0.5264104
Coat,1.0071551,-2.4377844,0.11584353
Bag,-2.3956485,-1.6770165,-2.890235
Bag,-3.325456,-2.3716714,-0.11677688
Coat,-0.32184047,-0.45916805,-0.2970424
Coat,-0.029911064,-2.4602718,-2.9817605
Pullover,0.3712631,-1.58349,-2.5650303
Sneaker,-0.5111492,3.6607203,1.0475489
Dress,-1.8047233,-0.5682429,0.5687887
Ankle boot,1.7355592,-0.76854444,2.360977
Bag,-3.330759,-2.3627264,-0.22603936
Ankle boot,1.2679229,0.701097,3.2405055
Dress,-2.8324745,0.7558797,0.0444515
Pullover,2.4206824,-2.176846,-2.0569372
Ankle boot,1.2443241,0.80683744,3.2880423
Pullover,1.1445146,-2.3967755,-0.06774847
Ankle boot,0.84663796,2.8362088,2.2828848
Coat,1.4078673,-2.4029589,-1.2549053
Dress,-0.7913626,-0.4497913,-1.5328636
T-Shirt,0.1664276,-0.8601198,1.0790998
Pullover,-0.28727296,-2.7436442,1.173448
Shirt,0.5392149,-2.166838,-0.9699133
Coat,0.69594544,-2.3890166,-3.2720962
Trouser,0.796515,0.48403817,0.34277934
Pullover,-1.9360622,-0.90308475,1.5745856
T-Shirt,0.11940243,1.2736398,-2.4467375
Dress,-2.604986,0.71874654,0.10140595
Shirt,-0.5282403,-2.246715,1.5561916
Bag,-2.6807601,-1.938547,-2.468683
Trouser,2.5734491,0.71035445,0.54955363
Shirt,0.7992401,-2.3885748,-1.0702865
Shirt,-2.0750985,-1.7279531,-2.7380955
Shirt,-1.1023836,-1.1265349,-3.1216912
Sandal,-1.022268,3.2130094,1.8721752
Dress,-0.044357,-1.8841102,-1.1286769
Dress,-1.1382018,-0.4792228,-1.2958966
Shirt,-0.013840941,0.72718006,-2.3983355
Sneaker,-0.5494274,3.9156876,-0.15307125
Pullover,-0.34862804,-2.7224216,1.1880141
Coat,1.9473944,-2.791306,-2.3602188
Sneaker,0.12337364,3.994594,-0.22844636
Ankle boot,1.2822888,0.81596315,3.3022532
Sandal,-1.8871173,3.0506704,1.7248164
Dress,-3.2818766,0.73945177,1.0286001
Coat,-0.8168913,-0.5626664,-1.4975271
Dress,-2.723029,-0.15410614,1.4419022
Sneaker,0.7401119,2.9320114,2.246938
Ankle boot,0.49102223,0.23991214,2.9305682
Dress,-0.57528716,-2.2729316,1.5619446
Bag,-3.3898647,-2.409627,-0.23742366
Dress,-0.9182213,-0.4336657,-1.2607328
T-Shirt,-0.4871027,1.2894379,-2.526814
