,x,y,z
Digit 2,-17.527067,-1.2893152,-8.507817
Digit 7,3.6017811,12.660385,0.4886914
Digit 1,-0.7526477,6.0209694,-6.039743
Digit 3,-9.758713,-9.0914135,-3.5832589
Digit 5,2.3453417,-6.5955396,-1.3156267
Digit 3,-2.7069867,-6.7757287,-7.983121
Digit 8,-4.1240525,-1.4255457,4.515005
Digit 6,8.431942,-13.800569,-0.31861207
Digit 7,10.213622,11.837204,2.9774814
Digit 0,0.681051,-25.467007,1.6253558
Digit 3,0.1631123,-3.3951776,-5.802927
Digit 3,-10.354034,-7.13348,-0.4566036
Digit 1,-7.240403,11.059071,-4.9123683
Digit 2,-11.9235735,0.7942081,-9.964276
Digit 1,-10.0967865,13.3248625,-2.298914
Digit 0,0.7436334,-19.567959,-1.9053831
Digit 0,-2.7840574,-25.472433,-6.358863
Digit 3,-9.215798,-4.2420564,-1.4979706
Digit 9,14.145935,6.6273293,8.116446
Digit 0,-2.2309504,-25.36208,-2.7987044
Digit 0,-8.285828,-24.079624,-8.520002
Digit 7,0.4754751,17.726336,1.1689047
Digit 6,8.940505,-18.406334,1.6234529
Digit 7,5.651639,14.662794,2.3525732
Digit 7,4.1086116,18.023466,-0.18741174
Digit 7,4.9719787,13.657564,-0.7394471
Digit 0,-5.393177,-23.555439,-4.3408823
Digit 8,1.4525583,-12.418982,-7.655843
Digit 2,10.750063,1.9277611,-3.96463
Digit 0,-4.863376,-22.629488,-4.911408
Digit 1,4.131715,5.0920997,-9.37845
Digit 3,-0.21191308,-7.935979,-9.996763
Digit 7,2.6697984,20.36132,1.0101808
Digit 1,1.897818,4.0880027,-7.5044847
Digit 3,-6.660217,-11.640203,-5.559173
Digit 2,-15.04938,7.011071,-5.75045
Digit 3,-4.421768,-11.290468,0.07215326
Digit 0,-3.721027,-22.721243,-3.4194539
Digit 0,-8.658688,-16.269743,-3.8371518
Digit 7,11.386057,9.309222,0.6481237
Digit 5,2.765694,-11.062637,0.5463691
Digit 3,0.93842065,-5.370987,-3.914473
Digit 8,-1.1719669,-10.7665,-3.0643497
Digit 9,7.8425674,5.5643277,7.136739
Digit 6,8.309077,-9.825686,-2.900367
Digit 3,-2.0914433,-9.695511,-8.185674
Digit 7,-3.7402427,9.585677,-3.207146
Digit 4,10.656516,3.394086,14.95629
Digit 4,-2.0918872,10.155473,10.248977
Digit 8,-8.840817,0.9651085,0.4550828
Digit 6,10.98191,-14.5157995,0.20981549
Digit 4,4.9871025,2.4036455,7.372555
Digit 3,-2.6493757,-7.931239,-6.3238573
Digit 5,2.3783052,-8.982011,2.153895
Digit 7,7.068593,16.153076,0.68922746
Digit 8,-5.010157,-0.8706321,4.2023296
Digit 4,-2.9214165,12.974298,10.432438
Digit 9,10.737436,7.397555,3.9097211
Digit 7,3.9717484,9.18854,-3.1853957
Digit 9,4.8273582,12.377853,8.110031
Digit 8,-6.516604,6.3334064,0.90367335
Digit 0,-2.847282,-17.563087,-0.6290188
Digit 2,-11.814758,3.1492772,-6.5570107
Digit 9,-3.8868306,10.409467,-1.5337938
Digit 5,3.9238539,-12.776079,2.6095283
Digit 6,9.102244,-13.478366,-4.705216
Digit 7,1.6350815,19.595984,0.55313355
Digit 4,-3.0969899,13.648185,7.8315907
Digit 2,-15.58927,1.4215137,-9.406122
Digit 9,0.54560274,-28.320923,-1.0709094
Digit 7,8.882481,13.976097,-0.8829789
Digit 9,0.36983547,11.312802,6.1647444
Digit 6,4.6719937,-21.617834,5.610243
Digit 3,-6.0317883,-6.0546827,-4.3327775
Digit 9,-4.5319395,8.604612,0.7082369
Digit 3,-8.24517,-5.400791,-6.584035
Digit 5,6.1641293,2.3114264,1.3480115
Digit 9,8.290828,9.791129,10.630967
Digit 7,1.982935,17.961435,-1.9589628
Digit 2,-12.549636,3.3560188,-12.0351
Digit 2,-4.65163,-22.360624,-10.904518
Digit 8,-3.868963,7.305171,1.6359836
Digit 8,-6.778181,-0.7673852,1.9256986
Digit 9,10.191609,7.8891916,8.715697
Digit 1,-8.326525,7.3630958,-4.1209483
Digit 8,7.012321,-1.336947,-10.134457
Digit 4,1.0134097,7.0369034,10.150458
Digit 7,1.5068883,20.749321,1.6211706
Digit 0,-5.847408,-19.98279,-7.7666106
Digit 3,-1.4153501,-7.1731157,-8.880373
Digit 5,12.100554,-3.9488401,-2.8317447
Digit 7,-0.22750688,14.812701,0.2684874
Digit 5,14.395888,-2.6836185,-1.5572369
Digit 6,8.315475,-14.539811,3.5648956
Digit 0,-8.408455,-16.858387,-5.0231943
Digit 4,-2.0048442,6.9461317,6.6047683
Digit 6,9.830582,-13.59609,-1.5959256
Digit 1,-1.1665812,7.23389,-10.55774
Digit 0,-2.5740404,-17.753996,3.0286696
Digit 8,-9.50282,2.2973876,5.1722665
Digit 1,-1.2273562,3.546665,-4.4638968
Digit 9,9.130638,5.84642,6.0333934
Digit 3,-14.29669,-8.871745,-0.5619858
Digit 1,-8.121918,7.122519,-3.1525772
Digit 2,-9.5966,1.3894658,-6.7096844
Digit 8,-6.3016005,-1.224239,0.94027406
Digit 3,-7.2400594,-6.317709,4.118547
Digit 1,-7.0615754,11.916319,-6.0289655
Digit 6,9.633767,-14.225025,4.683927
Digit 7,5.3412414,9.648691,1.2044171
Digit 7,8.42814,18.496847,1.2689358
Digit 2,-10.819685,2.6243052,-8.809892
Digit 5,4.850722,-6.391965,0.6707249
Digit 2,-12.260625,2.51095,-12.909548
Digit 3,-7.7669725,-3.5522041,-5.6972623
Digit 3,-5.5852823,-10.159507,-3.7995293
Digit 7,1.1237297,11.391131,-2.474451
Digit 3,-5.9629836,-4.169383,-0.94472224
Digit 3,-5.5651608,-10.0423355,1.9749031
Digit 3,-3.0414476,-4.931632,-2.373711
Digit 2,-7.352992,1.1007146,-15.245553
Digit 3,-6.5988436,-10.221445,-2.8442607
Digit 5,18.480677,-1.4216226,6.518854
Digit 6,-5.855798,4.364589,-7.1334734
Digit 1,-6.585493,7.060877,-4.7214384
Digit 4,16.541737,3.5097868,12.790203
Digit 7,8.808932,12.682018,-0.6574565
Digit 7,8.989884,11.683864,0.23959042
Digit 6,7.4871244,-14.93107,5.6429896
Digit 2,-9.767159,-0.68040836,-7.3917003
