,x,y,z
rt,-7.065065,-0.073420376,-1.5097467
i,5.48392,-2.520559,21.548607
a,0.73169225,-7.9506307,-0.45295566
the,11.035903,1.0515522,22.056948
you,7.2750926,-3.882393,22.518415
to,11.075121,-2.1502645,21.630165
me,0.1903456,-8.35703,-0.28325173
de,-7.6665344,10.848245,-25.848248
que,-7.5824165,8.161885,-23.217476
and,9.883726,0.13931291,21.323599
my,8.959797,0.5556618,21.188873
no,0.16542752,-8.344896,-0.28071228
is,11.786735,1.566935,22.99555
it,5.4820037,-3.3800154,19.118235
in,12.156725,1.6383014,21.20947
n,-5.8085146,8.170581,-1.2601457
for,10.971133,-1.9485976,21.597513
of,11.373042,1.2641048,22.20861
la,7.1337414,-9.0332575,-20.067982
do,-19.316114,10.032911,3.0702088
n't,6.3852763,-4.6170745,20.825438
that,5.55948,-3.3900142,19.66651
on,8.038057,1.5880783,18.070442
y,9.444682,-3.7157364,-22.620764
e,-8.538423,6.6363487,-5.3387055
o,-8.577713,6.6649394,-5.612486
u,-5.9323072,6.4983454,0.30860788
en,-7.644617,10.858096,-25.895498
this,5.6246557,-1.9458337,18.510696
el,10.190217,-4.8235283,-22.151365
so,1.0789524,-5.017906,19.2151
be,7.0331397,-9.4869375,20.087915
with,9.969401,0.38237676,21.110237
just,5.5334654,-2.3360538,20.927946
your,8.971165,-0.40561414,21.98047
like,5.2257557,-1.2787911,20.580496
have,7.8513784,-3.384494,19.948427
te,1.4090438,-7.3569736,-22.392916
at,9.694998,1.3349329,19.01806
love,7.552914,-3.5629041,23.192772
se,-7.567593,8.14776,-23.251883
are,14.274342,-11.480005,15.95314
m,-5.703286,5.931859,-1.6296885
r,-5.988905,6.652337,-0.72495073
if,8.712931,-6.177139,19.954672
all,8.382283,-2.2405863,19.627443
b,-6.033594,6.5525446,-0.4816613
not,7.071559,-8.767744,19.7518
but,5.6744533,-4.733912,18.554745
we,9.857787,-3.1076934,17.468575
es,4.9958625,-0.35583264,-24.315395
ya,-8.835982,-11.219751,2.963492
follow,-0.061834242,-17.875032,-6.943481
up,8.792611,2.0068264,17.130577
what,5.372401,-5.2048106,21.751652
get,8.572112,0.52339274,16.033522
lol,-8.347897,-4.413219,12.874858
un,5.3246274,-9.16047,-21.114546
lo,6.2595725,-7.600903,-23.208353
when,7.0738163,-5.3383465,20.453245
was,16.461908,-3.0311792,21.635746
one,7.4837446,-3.4644513,12.548454
por,-8.282306,8.792989,-18.87208
si,6.0347543,-7.9452825,-22.895935
out,8.740798,1.6820855,17.303202
mi,10.894341,-7.239077,-22.316183
can,8.989983,-8.946174,21.663773
he,13.189453,-5.1117983,26.049551
con,9.2652025,-5.970292,-22.176876
they,12.863342,-14.004608,14.144922
now,6.7647595,-2.4351082,16.878105
go,8.260779,1.8810414,13.330638
para,-6.3123775,10.008667,-19.168814
los,16.806248,8.739439,-24.40731
know,5.9119053,-4.9141283,21.298937
haha,-6.881497,-9.746058,-3.721473
good,0.9632426,-3.6517744,16.832825
tu,7.197225,-9.035429,-20.023226
back,8.678144,3.0828269,13.417779
about,5.1982994,-6.5333037,21.144657
new,12.279046,-0.22036812,-4.476796
as,2.0403755,-6.881318,-0.92107624
day,22.766369,-1.8191377,13.527691
how,5.054419,-5.812031,21.157429
who,8.7784815,-6.0718794,19.955715
will,10.664357,-3.968876,18.929167
want,9.549704,-0.8158006,15.780276
people,13.440219,-12.859915,15.612245
yo,-3.0033934,-8.673918,0.6290082
eu,-20.00916,10.93028,-5.3390164
from,10.94375,0.64700127,20.462
di,-11.997665,-9.515627,-7.7073016
time,18.351,-1.4574392,8.72694
s,-6.949063,5.142254,-2.162608
aku,-17.757069,-6.2712216,-9.334069
da,-8.781484,6.71985,-6.4316034
una,9.1682205,-6.1160235,-22.177578
got,16.92509,-5.427252,18.616673
las,16.801638,8.668583,-24.492632
more,9.632217,-7.1461143,16.273582
x,-8.197963,3.1641724,-0.28979546
she,12.082755,-8.974709,23.376692
today,22.147686,-1.3249773,13.268258
k,-9.613596,5.1989284,-3.0189617
by,11.219835,0.6587352,20.212986
or,8.753632,-9.135939,18.242151
too,1.4696039,-5.23222,18.331295
le,5.3493676,-9.197503,-21.004269
see,8.887289,-3.7283435,17.7466
why,4.86818,-5.126637,22.021961
yg,-21.001785,-7.9646635,-2.439899
ca,14.381141,-1.4074777,6.3022165
como,-7.2726526,7.767979,-17.733269
her,11.111087,-9.305053,23.44332
q,-9.990225,0.23534223,-15.184449
need,8.596217,0.17878671,15.650735
an,6.9459944,-10.255906,20.242384
na,-10.463162,-5.115675,-20.953943
there,7.3727674,-3.951971,17.674534
happy,-4.653702,0.9901178,9.017727
