,x,y,z
the,-3.3428543,-3.1079931,2.8613603
of,-3.5593622,-2.9320188,2.648032
to,3.7545364,10.616132,-13.011245
and,-4.575872,1.9866807,4.70619
in,-9.130457,1.7165188,7.017085
a,-7.1882505,-2.45358,1.4665874
for,1.3243762,0.7568221,3.2131622
that,-1.8136054,-0.7618288,-3.2989645
on,-4.4352016,-2.3450606,4.202191
is,-3.8747447,-2.6294427,-1.8447784
was,-0.11133688,7.255014,-2.054468
said,6.442455,9.305238,2.849897
with,-4.561574,1.2770847,4.849672
he,-6.9729285,-8.905537,10.629781
as,0.26153436,1.7517347,4.336385
it,-3.1912005,-1.5711516,-1.7724649
by,-2.3779798,2.703226,4.5005326
at,-8.724447,0.7376535,6.0045996
from,-6.7534328,5.0474577,3.7299213
his,-5.1509156,-8.788391,9.890097
an,-7.3369765,-2.7436855,1.6541966
be,1.8151834,6.8088403,-5.179127
has,0.53817666,5.9308615,1.7079216
are,-0.97788143,-16.160706,4.285627
have,-2.1576078,-11.183313,4.6160083
but,-1.1195449,0.9769618,-3.9321892
were,1.0724312,8.466563,-0.25585723
not,1.5938118,6.206765,-6.3396263
this,-3.116035,-1.5274549,-1.0920355
who,-4.587208,-21.185902,9.714572
they,-2.1245399,-11.146698,5.2958045
had,-2.2465782,7.11236,-1.0463288
i,-0.22575004,4.542494,-17.533894
which,-1.6960244,-3.4826288,1.8677552
will,5.4450526,9.748729,-10.135114
their,-3.7733684,-8.520267,7.500175
or,3.431178,-3.0522687,-3.4722698
its,-2.159949,-2.7307577,3.3515317
one,-6.1994605,-1.5221254,0.8396828
after,-6.9181514,12.669479,-0.07030615
new,-0.06802334,0.4216241,4.3712797
been,0.39619836,7.0592794,-0.7662507
also,-1.898581,1.8640277,5.133894
we,-4.0262756,6.2626495,-16.153164
would,5.2808914,8.607571,-10.967664
two,-19.770834,-2.007302,1.8785254
more,-9.120449,-5.8968377,-14.098741
first,-22.15066,6.1023374,1.2401327
about,-9.825846,-5.4075117,-11.725373
up,-8.266832,3.765435,-1.3342352
when,-5.331053,10.984864,-0.4523796
year,-10.625571,18.35243,0.91556525
there,2.6952004,2.8710926,-5.7411833
all,-0.6454906,-14.904287,4.900043
out,-9.0682745,4.0138125,-2.3816526
she,-5.415149,-10.092568,12.216196
other,-3.3432763,-15.481436,3.4125028
people,-1.8236291,-14.345424,6.6186233
n't,0.2823519,5.908964,-14.541822
her,-5.132911,-10.013354,12.120518
percent,-9.951437,-5.5898733,-18.089653
than,-9.101402,-5.9881983,-14.2099495
over,-6.740947,2.2912405,3.0815258
