"Index","GDPC1"
1947-01-01,2033.061
1947-04-01,2027.639
1947-07-01,2023.452
1947-10-01,2055.103
1948-01-01,2086.017
1948-04-01,2120.45
1948-07-01,2132.598
1948-10-01,2134.981
1949-01-01,2105.562
1949-04-01,2098.38
1949-07-01,2120.044
1949-10-01,2102.251
1950-01-01,2184.872
1950-04-01,2251.507
1950-07-01,2338.514
1950-10-01,2383.291
1951-01-01,2415.66
1951-04-01,2457.517
1951-07-01,2508.166
1951-10-01,2513.69
1952-01-01,2540.55
1952-04-01,2546.022
1952-07-01,2564.401
1952-10-01,2648.621
1953-01-01,2697.855
1953-04-01,2718.709
1953-07-01,2703.411
1953-10-01,2662.482
1954-01-01,2649.755
1954-04-01,2652.643
1954-07-01,2682.601
1954-10-01,2735.091
1955-01-01,2813.212
1955-04-01,2858.988
1955-07-01,2897.598
1955-10-01,2914.993
1956-01-01,2903.671
1956-04-01,2927.665
1956-07-01,2925.035
1956-10-01,2973.179
1957-01-01,2992.219
1957-04-01,2985.663
1957-07-01,3014.919
1957-10-01,2983.727
1958-01-01,2906.274
1958-04-01,2925.379
1958-07-01,2993.068
1958-10-01,3063.085
1959-01-01,3121.936
1959-04-01,3192.38
1959-07-01,3194.653
1959-10-01,3203.759
1960-01-01,3275.757
1960-04-01,3258.088
1960-07-01,3274.029
1960-10-01,3232.009
1961-01-01,3253.826
1961-04-01,3309.059
1961-07-01,3372.581
1961-10-01,3438.721
1962-01-01,3500.054
1962-04-01,3531.683
1962-07-01,3575.07
1962-10-01,3586.827
1963-01-01,3625.981
1963-04-01,3666.669
1963-07-01,3747.278
1963-10-01,3771.845
1964-01-01,3851.366
1964-04-01,3893.296
1964-07-01,3954.121
1964-10-01,3966.335
1965-01-01,4062.311
1965-04-01,4113.629
1965-07-01,4205.086
1965-10-01,4301.973
1966-01-01,4406.693
1966-04-01,4421.747
1966-07-01,4459.195
1966-10-01,4495.777
1967-01-01,4535.591
1967-04-01,4538.37
1967-07-01,4581.309
1967-10-01,4615.853
1968-01-01,4709.993
1968-04-01,4788.688
1968-07-01,4825.799
1968-10-01,4844.779
1969-01-01,4920.605
1969-04-01,4935.564
1969-07-01,4968.164
1969-10-01,4943.935
1970-01-01,4936.594
1970-04-01,4943.6
1970-07-01,4989.159
1970-10-01,4935.693
1971-01-01,5069.746
1971-04-01,5097.179
1971-07-01,5139.128
1971-10-01,5151.245
1972-01-01,5245.974
1972-04-01,5365.045
1972-07-01,5415.712
1972-10-01,5506.396
