# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-GEOD-38612
# Selected columns: 4 (all)
# Timestamp: Wed, 14-Nov-2018 15:43:17
Gene ID	Gene Name	leaf	flower	fruit	root
AT1G01010	NAC001	4.0	10.0	3.0	38.0
AT1G01020	ARV1	16.0	16.0	7.0	18.0
AT1G01030	NGA3	5.0	7.0	1.0	2.0
AT1G01040	DCL1	16.0	21.0	16.0	19.0
AT1G01046	MIR838A	6.0	7.0	5.0	8.0
AT1G01050	PPA1	64.0	125.0	117.0	149.0
AT1G01060	LHY	27.0	95.0	16.0	2.0
AT1G01070	AT1G01070	8.0	10.0	0.8	23.0
AT1G01080	AT1G01080	84.0	52.0	51.0	7.0
AT1G01090	PDH-E1 ALPHA	181.0	195.0	150.0	133.0
AT1G01100	RPP1A	283.0	589.0	328.0	491.0
AT1G01110	IQD18	4.0	13.0	2.0	12.0
AT1G01120	KCS1	44.0	80.0	165.0	37.0
AT1G01130	AT1G01130	5.0	17.0	12.0	8.0
AT1G01140	CIPK9	79.0	58.0	80.0	4.0
AT1G01150	AT1G01150	0.2	3.0	0.1	0.1
AT1G01160	GIF2	36.0	61.0	44.0	46.0
AT1G01170	AT1G01170	169.0	139.0	105.0	45.0
AT1G01180	AT1G01180	13.0	2.0	8.0	20.0
AT1G01183	MIR165A		0.2	0.3	0.7
AT1G01190	CYP78A8	1.0	0.4	0.2	45.0
AT1G01200	RABA3	0.6	3.0	3.0	5.0
AT1G01210	AT1G01210	11.0	19.0	12.0	16.0
AT1G01220	FKGP	14.0	18.0	16.0	16.0
AT1G01225	AT1G01225	5.0	9.0	9.0	8.0
AT1G01230	AT1G01230	41.0	43.0	59.0	75.0
AT1G01240	AT1G01240	45.0	29.0	32.0	30.0
AT1G01250	ERF023	4.0	25.0	28.0	
AT1G01260	BHLH13	13.0	20.0	14.0	20.0
AT1G01280	CYP703A2		27.0		
AT1G01290	CNX3	10.0	17.0	13.0	13.0
AT1G01300	APF2	33.0	104.0	65.0	43.0
AT1G01305	AT1G01305		7.0	0.9	
AT1G01310	AT1G01310		56.0	5.0	0.1
AT1G01320	AT1G01320	152.0	122.0	69.0	14.0
AT1G01340	CNGC10	2.0	2.0	0.6	21.0
AT1G01350	AT1G01350	24.0	33.0	26.0	38.0
AT1G01355	AT1G01355	0.3	1.0	0.6	0.1
AT1G01360	PYL9	14.0	24.0	19.0	35.0
AT1G01370	HTR12	4.0	11.0	5.0	6.0
AT1G01380	ETC1	1.0	0.9	0.6	2.0
AT1G01390	AT1G01390	3.0	0.7	0.5	0.2
AT1G01400	AT1G01400		2.0		
AT1G01410	APUM22		0.1		
AT1G01420	UGT72B3	8.0	0.6	3.0	7.0
AT1G01430	TBL25	83.0	31.0	97.0	24.0
AT1G01440	AT1G01440	15.0	11.0	10.0	20.0
AT1G01448	AT1G01448	7.0	7.0	6.0	9.0
AT1G01450	AT1G01450	0.5	0.6	0.4	0.6
AT1G01453	AT1G01453				2.0
AT1G01460	PIP5K10		17.0	2.0	
AT1G01470	LEA14	40.0	15.0	36.0	114.0
AT1G01480	ACS2	0.3	3.0	7.0	3.0
AT1G01490	AT1G01490	46.0	30.0	12.0	36.0
AT1G01500	AT1G01500	18.0	21.0	15.0	16.0
AT1G01510	AN	26.0	39.0	30.0	39.0
AT1G01520	AT1G01520	3.0	4.0	0.9	0.2
AT1G01530	AGL28		0.2	6.0	
AT1G01540	AT1G01540	57.0	66.0	39.0	39.0
AT1G01550	BPS1	163.0	153.0	127.0	257.0
AT1G01560	MPK11	0.6	2.0	0.8	0.7
AT1G01570	AT1G01570	2.0	7.0	3.0	4.0
AT1G01580	FRO2	0.7	5.0	0.1	204.0
AT1G01590	FRO1	0.2	7.0	7.0	
AT1G01600	CYP86A4	3.0	55.0	19.0	5.0
AT1G01610	GPAT4	58.0	88.0	111.0	36.0
AT1G01620	PIP1-3	495.0	480.0	298.0	465.0
AT1G01630	AT1G01630	52.0	88.0	40.0	54.0
AT1G01640	AT1G01640	2.0	5.0	5.0	64.0
AT1G01650	SPPL4	17.0	44.0	38.0	27.0
AT1G01660	AT1G01660	0.2	2.0	2.0	4.0
AT1G01670	PUB56	0.8	3.0	4.0	2.0
AT1G01680	PUB54	0.1	0.3	0.1	0.5
AT1G01690	ATPRD3	7.0	14.0	6.0	11.0
AT1G01695	AT1G01695	0.3	1.0	1.0	0.4
AT1G01700	ATROPGEF2	2.0	5.0	2.0	1.0
AT1G01710	AT1G01710	31.0	49.0	50.0	30.0
AT1G01715	AT1G01715	4.0	12.0	6.0	7.0
AT1G01720	NAC002	47.0	41.0	30.0	50.0
AT1G01725	AT1G01725	20.0	31.0	26.0	27.0
AT1G01730	AT1G01730	25.0	34.0	30.0	56.0
AT1G01740	AT1G01740	5.0	6.0	5.0	7.0
AT1G01750	ADF11	0.6	3.0	1.0	25.0
AT1G01760	AT1G01760	6.0	5.0	5.0	8.0
AT1G01770	AT1G01770	26.0	23.0	21.0	30.0
AT1G01780	PLIM2B	19.0	66.0	21.0	55.0
AT1G01790	KEA1	94.0	51.0	48.0	15.0
AT1G01800	AT1G01800	61.0	86.0	46.0	95.0
AT1G01810	AT1G01810	0.5	3.0	2.0	1.0
AT1G01820	PEX11C	69.0	51.0	56.0	133.0
AT1G01830	AT1G01830	12.0	30.0	29.0	17.0
AT1G01840	AT1G01840	0.4	1.0	0.8	0.3
AT1G01860	PFC1	17.0	14.0	10.0	8.0
AT1G01870	AT1G01870		0.2		
AT1G01880	GEN1	4.0	7.0	3.0	2.0
AT1G01890	AT1G01890			0.1	
AT1G01900	SBTI1.1	4.0	7.0	5.0	2.0
AT1G01910	AT1G01910	44.0	52.0	47.0	59.0
AT1G01920	AT1G01920	12.0	27.0	15.0	23.0
AT1G01930	AT1G01930	13.0	17.0	13.0	16.0
AT1G01940	CYP18-1	14.0	22.0	16.0	27.0
AT1G01950	ARK2	14.0	22.0	15.0	22.0
AT1G01960	BIG3	42.0	47.0	40.0	78.0
AT1G01970	AT1G01970	30.0	22.0	30.0	8.0
AT1G01980	SEC1A	0.1	58.0	8.0	
AT1G01990	AT1G01990	20.0	20.0	20.0	24.0
AT1G02000	GAE2	7.0	45.0	13.0	13.0
AT1G02010	SEC1A	8.0	19.0	7.0	6.0
AT1G02020	AT1G02020	12.0	13.0	10.0	7.0
AT1G02030	ZAT1	0.1	1.0	0.2	1.0
AT1G02040	AT1G02040		15.0	0.1	
AT1G02050	PKSA	8.0	117.0	8.0	14.0
AT1G02060	AT1G02060	7.0	9.0	5.0	12.0
AT1G02065	SPL8	1.0	22.0	6.0	
AT1G02067	AT1G02067	0.1	0.7	0.3	
AT1G02070	AT1G02070	0.4	14.0	3.0	0.8
AT1G02080	AT1G02080	47.0	66.0	49.0	75.0
AT1G02090	CSN7	25.0	46.0	40.0	41.0
AT1G02100	AT1G02100	37.0	40.0	28.0	76.0
AT1G02110	AT1G02110	23.0	26.0	14.0	23.0
AT1G02120	VAD1	63.0	51.0	64.0	90.0
AT1G02130	RABD2A	61.0	74.0	64.0	81.0
AT1G02140	MEE63	115.0	186.0	156.0	159.0
AT1G02145	ALG12	25.0	33.0	29.0	33.0
AT1G02150	AT1G02150	116.0	70.0	59.0	29.0
AT1G02160	AT1G02160	38.0	58.0	57.0	45.0
AT1G02170	AMC1	23.0	28.0	29.0	40.0
AT1G02180	AT1G02180	6.0	20.0	17.0	5.0
AT1G02190	AT1G02190	0.3	169.0	33.0	
AT1G02205	CER1	27.0	487.0	514.0	0.7
AT1G02220	NAC003	4.0	3.0	4.0	28.0
AT1G02230	NAC004	0.4	0.8	0.4	2.0
AT1G02250	NAC005		0.3	0.2	0.2
AT1G02260	AT1G02260	11.0	15.0	18.0	23.0
AT1G02270	AT1G02270	21.0	17.0	26.0	22.0
AT1G02280	TOC33	150.0	122.0	87.0	49.0
AT1G02290	AT1G02290	11.0	18.0	11.0	14.0
AT1G02300	CATHB1	35.0	21.0	36.0	18.0
AT1G02305	CATHB2	87.0	135.0	210.0	223.0
AT1G02310	MAN1	0.1	1.0	0.4	2.0
AT1G02320	AT1G02320				0.4
AT1G02330	CSU2	32.0	53.0	36.0	55.0
AT1G02335	GL22	13.0	30.0	23.0	42.0
AT1G02340	HFR1	23.0	22.0	6.0	22.0
AT1G02350	AT1G02350	16.0	12.0	8.0	5.0
AT1G02360	AT1G02360	1.0	0.1		64.0
AT1G02370	AT1G02370	5.0	14.0	6.0	12.0
