Unnamed: 0,NAME,PAGE,IMG_URL,LOGP,PKA,MW,FORM,SOL,DESC
0,Cyclacillin,https://www.drugbank.ca/drugs/DB01000,https://www.drugbank.ca/structures/DB01000/thumb.svg,1.31,3.3,341.426,C15H23N3O4S,1.9,A cyclohexylamido analog of penicillanic acid. [PubChem]
1,Salbutamol,https://www.drugbank.ca/drugs/DB01001,https://www.drugbank.ca/structures/DB01001/thumb.svg,1.4,10.12,239.3107,C13H21NO3,2.15,"Salbutamol is a short-acting, selective beta2-adrenergic receptor agonist used in the treatment of asthma and COPD. It is 29 times more selective for beta2 receptors than beta1 receptors giving it higher specificity for pulmonary beta receptors versus beta1-adrenergic receptors located in the heart. Salbutamol is formulated as a racemic mixture of the R- and S-isomers. The R-isomer has 150 times greater affinity for the beta2-receptor than the S-isomer and the S-isomer has been associated with toxicity. This lead to the development of levalbuterol, the single R-isomer of salbutamol. However, the high cost of levalbuterol compared to salbutamol has deterred wide-spread use of this enantiomerically pure version of the drug. Salbutamol is generally used for acute episodes of bronchospasm caused by bronchial asthma, chronic bronchitis and other chronic bronchopulmonary disorders such as chronic obstructive pulmonary disorder (COPD). It is also used prophylactically for exercise-induced asthma."
2,Levobupivacaine,https://www.drugbank.ca/drugs/DB01002,https://www.drugbank.ca/structures/DB01002/thumb.svg,3.6,13.62,288.4277,C18H28N2O,0.0977,"Levobupivacaine is an amino-amide local anaesthetic drug belonging to the family of n-alkylsubstituted
pipecoloxylidide. It is the S-enantiomer of bupivacaine. Levobupivacaine hydrochloride is commonly marketed by AstraZeneca under the trade name Chirocaine. Compared to bupivacaine, levobupivacaine is associated with less vasodilation and has a longer duration of action. It is approximately 13 per cent less potent (by molarity) than racemic bupivacaine.Levobupivacaine is indicated for local anaesthesia including infiltration, nerve block, ophthalmic, epidural and intrathecal anaesthesia in adults; and infiltration analgesia in children. Adverse drug reactions (ADRs) are rare when it is administered correctly. Most ADRs relate to administration technique (resulting in systemic exposure) or pharmacological effects of anesthesia, however allergic reactions can rarely occur. [Wikipedia]"
3,Cromoglicic acid,https://www.drugbank.ca/drugs/DB01003,https://www.drugbank.ca/structures/DB01003/thumb.svg,1.92,1.77,468.3665,C23H16O11,0.0358,"A chromone complex that acts by inhibiting the release of chemical mediators from sensitized mast cells. It is used in the prophylactic treatment of both allergic and exercise-induced asthma, but does not affect an established asthmatic attack. [PubChem]"
4,Ganciclovir,https://www.drugbank.ca/drugs/DB01004,https://www.drugbank.ca/structures/DB01004/thumb.svg,-1.66,10.16,255.2306,C9H13N5O4,11.5,An acyclovir analog that is a potent inhibitor of the Herpesvirus family including cytomegalovirus. Ganciclovir is used to treat complications from AIDS-associated cytomegalovirus infections. [PubChem]
5,Hydroxyurea,https://www.drugbank.ca/drugs/DB01005,https://www.drugbank.ca/structures/DB01005/thumb.svg,-1.8,10.14,76.0547,CH4N2O2,269.0,An antineoplastic agent that inhibits DNA synthesis through the inhibition of ribonucleoside diphosphate reductase. [PubChem]
6,Ketoprofen,https://www.drugbank.ca/drugs/DB01009,https://www.drugbank.ca/structures/DB01009/thumb.svg,3.12,3.88,254.2806,C16H14O3,0.0213,"Ketoprofen, a propionic acid derivative, is a nonsteroidal anti-inflammatory agent (NSAIA) with analgesic and antipyretic properties."
7,Edrophonium,https://www.drugbank.ca/drugs/DB01010,https://www.drugbank.ca/structures/DB01010/thumb.svg,-2.95,8.59,166.2401,C10H16NO,0.0486,"A rapid-onset, short-acting cholinesterase inhibitor used in cardiac arrhythmias and in the diagnosis of myasthenia gravis. It has also been used as an antidote to curare principles. [PubChem]"
8,Clobetasol propionate,https://www.drugbank.ca/drugs/DB01013,https://www.drugbank.ca/structures/DB01013/thumb.svg,3.5,13.63,466.97,C25H32ClFO5,0.00413,"A derivative of prednisolone with high glucocorticoid activity and low mineralocorticoid activity.  Absorbed through the skin faster than fluocinonide, it is used topically in treatment of psoriasis but may cause marked adrenocortical suppression. [PubChem]"
9,Balsalazide,https://www.drugbank.ca/drugs/DB01014,https://www.drugbank.ca/structures/DB01014/thumb.svg,1.3,3.06,357.3175,C17H15N3O6,0.0621,"Balsalazide is an anti-inflammatory drug used in the treatment of Inflammatory Bowel Disease. It is sold under the name ""Colazal"" in the US and ""Colazide"" in the UK.

The chemical name is (E)-5-[[-4-(2-carboxyethyl) aminocarbonyl] phenyl]azo] -2-hydroxybenzoic acid. It is usually administered as the disodium salt.

Balsalazide releases mesalazine, also known as 5-aminosalicylic acid, or 5-ASA, in the large intestine. Its advantage over that drug in the treatment of Ulcerative colitis is believed to be the delivery of the active agent past the small intestine to the large intestine, the active site of ulcerative colitis."
10,Sulfamethoxazole,https://www.drugbank.ca/drugs/DB01015,https://www.drugbank.ca/structures/DB01015/thumb.svg,0.89,6.16,253.278,C10H11N3O3S,0.459,"A bacteriostatic antibacterial agent that interferes with folic acid synthesis in susceptible bacteria. Its broad spectrum of activity has been limited by the development of resistance. (From Martindale, The Extra Pharmacopoeia, 30th ed, p208)"
11,Glyburide,https://www.drugbank.ca/drugs/DB01016,https://www.drugbank.ca/structures/DB01016/thumb.svg,4.7,4.32,494.004,C23H28ClN3O5S,0.00206,"Glyburide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It belongs to the sulfonylurea class of insulin secretagogues, which act by stimulating &beta; cells of the pancreas to release insulin. Sulfonylureas increase both basal insulin secretion and meal-stimulated insulin release. Medications in this class differ in their dose, rate of absorption, duration of action, route of elimination and binding site on their target pancreatic &beta; cell receptor. Sulfonylureas also increase peripheral glucose utilization, decrease hepatic gluconeogenesis and may increase the number and sensitivity of insulin receptors. Sulfonylureas are associated with weight gain, though less so than insulin. Due to their mechanism of action, sulfonylureas may cause hypoglycemia and require consistent food intake to decrease this risk. The risk of hypoglycemia is increased in elderly, debilitated and malnourished individuals. Glyburide has been shown to decrease fasting plasma glucose, postprandial blood glucose and glycosolated hemoglobin (HbA1c) levels (reflective of the last 8-10 weeks of glucose control). Glyburide appears to be completely metabolized, likely in the liver. Although its metabolites exert a small hypoglycemic effect, their contribution to glyburide's hypoglycemic effect is thought to be clinically unimportant. Glyburide metabolites are excreted in urine and feces in approximately equal proportions. The half-life of glyburide appears to be unaffected in those with a creatinine clearance of greater than 29 ml/min/1.73m2."
12,Minocycline,https://www.drugbank.ca/drugs/DB01017,https://www.drugbank.ca/structures/DB01017/thumb.svg,0.05,-2.3,457.4764,C23H27N3O7,3.07,"A tetracycline analog, having a 7-dimethylamino and lacking the 5 methyl and hydroxyl groups, which is effective against tetracycline-resistant staphylococcus infections. [PubChem]"
