DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,13,575748.46,133282.62,132010.15,61.21,-149.82
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,18,155684.83,43356.72,38916.89,61.21,-149.82
038 - EXTRACRANIAL PROCEDURES W CC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,14,93951.86,15336.0,14416.0,61.21,-149.82
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,21,46687.76,9910.05,8784.52,61.21,-149.82
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,48,71561.04,9969.46,7211.4,61.21,-149.82
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,46,76259.78,16925.11,14427.33,61.21,-149.82
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,14,89287.71,21724.57,10754.64,61.21,-149.82
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,17,67940.41,20347.88,19670.94,61.21,-149.82
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,60,58312.1,11961.87,9052.58,61.21,-149.82
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,25,56784.0,11243.68,10317.44,62.0,-148.0
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,AK - Anchorage,22,37768.09,15672.23,14446.55,64.6,-147.3
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,23,59475.52,8484.26,7365.48,61.21,-149.82
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,29,48998.31,13119.38,12190.55,61.21,-149.82
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,25,40033.72,7433.96,5849.44,61.21,-149.82
069 - TRANSIENT ISCHEMIA,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,13,37973.38,8237.62,5998.0,62.0,-148.0
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,11,40071.82,7391.36,6065.18,61.21,-149.82
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,12,45170.25,8739.83,7342.5,61.21,-149.82
100 - SEIZURES W MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,13,108048.0,18898.77,17913.23,61.21,-149.82
101 - SEIZURES W/O MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,17,42616.53,7974.35,6334.65,61.21,-149.82
101 - SEIZURES W/O MCC,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,26,39288.04,9467.81,6804.08,62.0,-148.0
175 - PULMONARY EMBOLISM W MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,12,61295.08,13479.25,12384.25,61.21,-149.82
175 - PULMONARY EMBOLISM W MCC,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,11,65836.73,15738.64,15041.18,62.0,-148.0
176 - PULMONARY EMBOLISM W/O MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,14,38427.43,8890.43,7628.14,61.21,-149.82
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,26,97672.5,17902.77,16707.54,61.21,-149.82
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,29,61249.97,20148.28,19243.59,62.0,-148.0
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,14,111146.14,17512.21,16868.21,61.21,-149.82
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,104,62915.27,12109.93,10581.52,61.21,-149.82
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,54,50531.67,13015.7,12087.56,62.0,-148.0
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,23,72693.43,18708.26,10387.78,61.21,-149.82
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,AK - Anchorage,18,64145.94,19991.5,19422.11,60.4,-150.9
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,17,48206.18,14956.53,14353.71,61.21,-149.82
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,41,53526.15,11263.32,9415.98,61.21,-149.82
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,32,47870.47,12286.94,11126.69,62.0,-148.0
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,21,51327.62,10036.0,8874.62,61.21,-149.82
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,AK - Anchorage,21,48555.29,17287.14,16309.81,60.4,-150.9
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,20,67257.45,15242.65,14604.25,61.21,-149.82
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,23,45303.61,9181.52,7985.13,61.21,-149.82
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,15,31301.67,9892.6,8951.8,62.0,-148.0
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,AK - Anchorage,15,57340.4,19313.47,18072.2,60.4,-150.9
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,23,38660.91,11719.65,10832.17,61.21,-149.82
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,AK - Anchorage,11,15508.36,12923.09,12223.09,61.0,-161.0
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,AK - Anchorage,12,28029.08,9931.0,8755.0,60.4,-150.9
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,27,59181.81,13405.52,11647.44,61.21,-149.82
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,42,44575.12,15470.48,13430.71,62.0,-148.0
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,14,56992.0,11013.0,9410.64,61.21,-149.82
