DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,13,238705.46,100084.62,98494.38,39.2,-75.5
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,15,100518.4,26209.6,25216.4,39.2,-75.5
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,17,28591.0,7096.0,6033.53,39.2,-75.5
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,80007,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,19958,MD - Salisbury,88,39638.78,7702.38,5255.55,38.7,-75.2
054 - NERVOUS SYSTEM NEOPLASMS W MCC,80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,11,32115.82,8548.0,7357.82,39.2,-75.5
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,80007,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,19958,MD - Salisbury,11,20881.55,6673.09,5324.73,38.7,-75.2
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,68,41514.65,12787.69,10783.03,39.2,-75.5
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,80006,NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,SEAFORD,DE,19973,MD - Salisbury,19,27907.89,12669.68,10343.63,38.6,-75.6
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,80007,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,19958,MD - Salisbury,40,42768.75,12748.35,9669.08,38.7,-75.2
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,80009,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,21 WEST CLARKE AVENUE,MILFORD,DE,19963,MD - Salisbury,28,37785.21,10421.18,8637.79,38.9,-75.4
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,80003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,DE - Wilmington,33,33107.39,8556.48,6500.39,39.75,-75.59
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,102,26936.24,6960.4,5849.37,39.2,-75.5
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,80006,NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,SEAFORD,DE,19973,MD - Salisbury,49,22734.59,7557.98,6298.35,38.6,-75.6
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,80007,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,19958,MD - Salisbury,86,25737.83,6975.31,5086.71,38.7,-75.2
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,80009,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,21 WEST CLARKE AVENUE,MILFORD,DE,19963,MD - Salisbury,44,28608.77,6664.52,5233.43,38.9,-75.4
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,80003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,DE - Wilmington,13,22497.85,6092.38,4904.85,39.75,-75.59
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,54,24009.56,5959.44,3921.94,39.2,-75.5
