DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",130049,KOOTENAI HEALTH,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,WA - Spokane,11,243740.64,106384.91,89412.45,47.7,-116.7
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ID - Boise,12,111537.75,37168.08,30149.33,43.6,-116.19
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,130003,ST JOSEPH REGIONAL MEDICAL CENTER,415 SIXTH STREET,LEWISTON,ID,83501,WA - Spokane,12,102655.25,33388.33,32431.75,46.2,-116.9
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ID - Boise,11,104105.27,26998.55,26355.55,43.63,-116.13
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ID - Boise,15,60666.0,13910.27,12868.13,43.63,-116.13
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ID - Boise,20,61753.05,16451.75,13423.0,43.6,-116.19
038 - EXTRACRANIAL PROCEDURES W CC,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ID - Boise,11,35833.45,9991.91,8920.36,43.63,-116.13
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ID - Boise,27,24791.41,7031.52,5933.07,43.63,-116.13
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ID - Boise,19,40307.11,7363.47,5478.53,43.6,-116.19
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,130049,KOOTENAI HEALTH,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,WA - Spokane,24,23023.38,7857.92,6292.88,47.7,-116.7
054 - NERVOUS SYSTEM NEOPLASMS W MCC,130049,KOOTENAI HEALTH,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,WA - Spokane,12,28717.08,10653.5,8403.33,47.7,-116.7
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ID - Boise,16,23801.69,6788.44,5795.63,43.63,-116.13
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ID - Boise,13,28507.15,7095.15,5849.31,43.6,-116.19
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,3100 CHANNING WAY,IDAHO FALLS,ID,83404,ID - Idaho Falls,11,25535.0,10154.55,5128.91,43.43,-112.01
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,130049,KOOTENAI HEALTH,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,WA - Spokane,13,17343.54,7395.46,6331.15,47.7,-116.7
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,130002,ST LUKE'S MAGIC VALLEY RMC,801 POLE LINE ROAD WEST,TWIN FALLS,ID,83301,ID - Boise,11,51597.0,11533.0,10246.91,42.3,-114.5
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,3100 CHANNING WAY,IDAHO FALLS,ID,83404,ID - Idaho Falls,14,60107.57,13653.21,10178.86,43.43,-112.01
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,130002,ST LUKE'S MAGIC VALLEY RMC,801 POLE LINE ROAD WEST,TWIN FALLS,ID,83301,ID - Boise,30,28364.13,10756.03,9560.27,42.3,-114.5
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,130003,ST JOSEPH REGIONAL MEDICAL CENTER,415 SIXTH STREET,LEWISTON,ID,83501,WA - Spokane,15,36596.33,17265.2,10915.07,46.2,-116.9
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ID - Boise,72,56380.65,14148.17,11035.89,43.63,-116.13
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ID - Boise,36,41855.78,12034.25,9642.06,43.6,-116.19
