DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,32,623297.47,119086.44,109338.91,39.07,-94.63
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",170086,STORMONT VAIL HOSPITAL,1500 SW 10TH AVENUE,TOPEKA,KS,66604,KS - Topeka,11,427304.73,92692.36,89139.82,39.04,-95.73
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,17,459893.06,101654.76,99677.41,37.71,-97.32
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,KS - Wichita,11,597342.0,93992.27,93177.73,37.71,-97.32
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",170086,STORMONT VAIL HOSPITAL,1500 SW 10TH AVENUE,TOPEKA,KS,66604,KS - Topeka,16,254871.0,57601.19,56719.06,39.04,-95.73
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,13,262064.0,54643.08,53224.69,37.71,-97.32
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,KS - Wichita,11,348737.64,55525.09,55056.64,37.71,-97.32
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,23,504346.09,83426.09,81538.13,39.07,-94.63
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,18,176175.39,25881.28,21462.56,39.07,-94.63
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,34,191827.5,43332.79,39458.15,39.07,-94.63
016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,13,205541.23,42616.23,41526.46,37.71,-97.32
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,16,211320.5,37379.44,36420.5,39.07,-94.63
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,15,120830.93,32466.8,27422.73,37.71,-97.32
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,71,130536.01,27896.03,25805.41,39.07,-94.63
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,170086,STORMONT VAIL HOSPITAL,1500 SW 10TH AVENUE,TOPEKA,KS,66604,KS - Topeka,25,122936.6,28987.04,21926.64,39.04,-95.73
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,48,99937.5,27457.29,21358.35,37.71,-97.32
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,KS - Wichita,31,180284.0,29683.71,23368.06,37.71,-97.32
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,37,110277.76,20629.22,18769.32,39.07,-94.63
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,25,68301.96,17534.24,16614.72,37.71,-97.32
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,KS - Wichita,19,114178.42,18712.89,15110.63,37.71,-97.32
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,57,82027.96,15965.65,13926.3,39.07,-94.63
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,24,58344.63,14690.83,11555.42,37.71,-97.32
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,KS - Wichita,15,94598.8,14680.67,12249.47,37.71,-97.32
038 - EXTRACRANIAL PROCEDURES W CC,170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,1701 E 23RD AVENUE,HUTCHINSON,KS,67502,KS - Wichita,12,30929.58,10352.33,9493.67,38.1,-97.9
038 - EXTRACRANIAL PROCEDURES W CC,170086,STORMONT VAIL HOSPITAL,1500 SW 10TH AVENUE,TOPEKA,KS,66604,KS - Topeka,38,47962.34,10197.95,7388.55,39.04,-95.73
038 - EXTRACRANIAL PROCEDURES W CC,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,11,38326.64,9470.36,8426.73,37.71,-97.32
038 - EXTRACRANIAL PROCEDURES W CC,170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,KS - Wichita,15,81318.13,10309.6,9114.87,37.71,-97.32
038 - EXTRACRANIAL PROCEDURES W CC,170186,KANSAS HEART HOSPITAL,3601 NORTH WEBB ROAD,WICHITA,KS,67226,KS - Wichita,40,18019.85,8079.63,7126.7,37.78,-97.22
038 - EXTRACRANIAL PROCEDURES W CC,170197,KANSAS MEDICAL CENTER LLC,1124 WEST 21ST STREET,ANDOVER,KS,67002,KS - Wichita,15,22402.87,8093.53,7070.6,37.69,-97.11
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170012,SALINA REGIONAL HEALTH CENTER,400 SOUTH SANTA FE AVENUE,SALINA,KS,67401,KS - Wichita,18,27364.61,6648.28,5582.72,38.9,-97.6
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170013,HAYS MEDICAL CENTER,2220 CANTERBURY DRIVE,HAYS,KS,67601,KS - Wichita,17,42184.47,7779.12,6576.76,38.9,-99.4
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170016,ST FRANCIS HEALTH CENTER INC,1700 SW 7TH STREET,TOPEKA,KS,66606,KS - Topeka,24,22576.5,6118.0,4677.13,39.06,-95.72
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,19,59091.11,8568.21,6937.68,39.07,-94.63
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170049,OLATHE MEDICAL CENTER,20333 WEST 151ST STREET,OLATHE,KS,66061,MO - Kansas City,16,16570.25,5957.13,4914.13,38.9,-94.9
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170086,STORMONT VAIL HOSPITAL,1500 SW 10TH AVENUE,TOPEKA,KS,66604,KS - Topeka,16,42317.06,8063.94,4564.25,39.04,-95.73
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170104,SHAWNEE MISSION MEDICAL CENTER,9100 W 74TH STREET,SHAWNEE MISSION,KS,66204,MO - Kansas City,27,44859.67,6405.85,4930.81,38.99,-94.68
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,45,34085.58,6793.67,5784.36,37.71,-97.32
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,KS - Wichita,58,58470.28,7451.02,5655.79,37.71,-97.32
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170137,LAWRENCE MEMORIAL HOSPITAL,325 MAINE STREET,LAWRENCE,KS,66044,MO - Kansas City,17,20033.47,6532.24,5476.47,39.0,-95.2
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170186,KANSAS HEART HOSPITAL,3601 NORTH WEBB ROAD,WICHITA,KS,67226,KS - Wichita,128,13801.42,5570.02,4574.3,37.78,-97.22
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170197,KANSAS MEDICAL CENTER LLC,1124 WEST 21ST STREET,ANDOVER,KS,67002,KS - Wichita,20,20139.05,5528.45,4311.85,37.69,-97.11
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,170086,STORMONT VAIL HOSPITAL,1500 SW 10TH AVENUE,TOPEKA,KS,66604,KS - Topeka,11,88958.45,20149.45,19334.91,39.04,-95.73
054 - NERVOUS SYSTEM NEOPLASMS W MCC,170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,21,54683.0,12091.48,8222.1,39.07,-94.63
054 - NERVOUS SYSTEM NEOPLASMS W MCC,170086,STORMONT VAIL HOSPITAL,1500 SW 10TH AVENUE,TOPEKA,KS,66604,KS - Topeka,16,40153.63,7704.44,6666.69,39.04,-95.73
054 - NERVOUS SYSTEM NEOPLASMS W MCC,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,32,32603.16,8282.53,7243.91,37.71,-97.32
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,170040,UNIVERSITY OF KANSAS HOSPITAL,3901 RAINBOW BLVD,KANSAS CITY,KS,66103,MO - Kansas City,18,65753.83,12649.94,9965.0,39.07,-94.63
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,KS - Wichita,12,46551.42,11394.75,10650.42,37.71,-97.32
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,KS - Wichita,11,92571.18,11830.91,10662.55,37.71,-97.32
