DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,MO - St. Louis,59,692266.63,216828.9,212912.03,38.63,-90.27
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,260138,ST LUKES HOSPITAL OF KANSAS CITY,4401 WORNALL ROAD,KANSAS CITY,MO,64111,MO - Kansas City,17,744987.29,176782.35,175835.18,39.06,-94.59
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,MO - St. Louis,23,540568.0,132978.43,128841.78,38.65,-90.45
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,MO - St. Louis,103,461467.8,148356.28,144534.13,38.63,-90.27
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",260040,COX MEDICAL CENTERS,3801 SOUTH NATIONAL AVENUE,SPRINGFIELD,MO,65807,MO - Springfield,19,373035.21,89844.37,85657.95,37.17,-93.33
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",260065,MERCY HOSPITAL SPRINGFIELD,1235 E CHEROKEE,SPRINGFIELD,MO,65804,MO - Springfield,37,458028.7,124612.27,123791.38,37.15,-93.25
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",260077,ST ANTHONY'S MEDICAL CENTER,10010 KENNERLY ROAD,SAINT LOUIS,MO,63128,MO - St. Louis,17,262560.71,94516.71,80942.24,38.49,-90.38
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",260104,SSM HEALTH DEPAUL HOSPITAL ST LOUIS,12303 DEPAUL DRIVE,BRIDGETON,MO,63044,MO - St. Louis,17,347332.06,93247.18,91299.59,38.77,-90.42
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",260105,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,3635 VISTA AVE,SAINT LOUIS,MO,63110,MO - St. Louis,43,541960.95,157317.98,131009.49,38.63,-90.27
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",260108,MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD,TOWN AND COUNTRY,MO,63131,MO - St. Louis,21,345402.86,112569.1,111301.76,38.61,-90.45
