DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,380009,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,OR - Portland,18,523248.78,258611.39,246511.72,45.49,-122.69
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",380007,LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,OR - Portland,21,815398.38,248198.81,221468.48,45.54,-122.68
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",380009,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,OR - Portland,18,338425.28,158517.28,149896.06,45.49,-122.69
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",380018,ASANTE ROGUE REGIONAL MEDICAL CENTER,2825 E BARNETT ROAD,MEDFORD,OR,97504,OR - Medford,12,633353.67,174190.25,172175.17,42.3,-122.8
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",380102,SACRED HEART MEDICAL CENTER - RIVERBEND,3333 RIVERBEND DRIVE,SPRINGFIELD,OR,97477,OR - Eugene,11,506750.64,165108.36,163908.82,44.07,-123.0
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",380009,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,OR - Portland,12,217796.92,111143.75,102732.75,45.49,-122.69
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,380009,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,OR - Portland,12,443488.5,170332.08,121318.17,45.49,-122.69
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",380009,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,OR - Portland,25,121649.64,41145.64,35268.12,45.49,-122.69
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",380009,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,OR - Portland,12,93072.33,30245.42,24261.42,45.49,-122.69
014 - ALLOGENEIC BONE MARROW TRANSPLANT,380009,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,OR - Portland,17,211110.29,110284.29,101589.53,45.49,-122.69
