DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,lat,lon
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,33,478053.09,187755.58,146816.67,41.82,-71.41
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,19,284802.37,98951.84,82544.63,41.82,-71.41
023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,58,117190.26,46180.43,42933.38,41.82,-71.41
024 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,36,76707.94,32427.83,30976.22,41.82,-71.41
025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,46,101169.43,37543.41,35100.17,41.82,-71.41
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,14,50841.5,27363.86,22447.5,41.82,-71.41
027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,30,56599.37,22418.7,18881.83,41.82,-71.41
029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,14,72785.07,29382.57,27140.07,41.82,-71.41
033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,22,35815.91,15096.18,13657.64,41.82,-71.41
038 - EXTRACRANIAL PROCEDURES W CC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,13,47957.0,17980.85,12376.92,41.82,-71.41
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,30,29340.77,10548.47,9151.1,41.82,-71.41
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,RI,2886,RI - Providence,21,29591.24,8620.24,6593.57,41.71,-71.46
054 - NERVOUS SYSTEM NEOPLASMS W MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,48,36325.58,13144.33,10953.46,41.82,-71.41
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,21,54675.52,19333.76,17072.43,41.82,-71.41
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,RI - Providence,12,21174.08,11843.58,7793.58,41.84,-71.44
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,43,27073.6,10259.23,8656.91,41.82,-71.41
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,RI,2886,RI - Providence,13,26601.0,6990.23,5048.54,41.71,-71.46
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,410012,THE MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE,RI,2906,RI - Providence,26,21009.5,8164.04,7146.12,41.84,-71.39
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,22,62615.91,18051.23,15023.95,41.82,-71.41
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,410012,THE MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE,RI,2906,RI - Providence,12,59898.17,14665.92,13327.33,41.84,-71.39
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,RI - Providence,196,43825.13,16816.3,14784.05,41.82,-71.41
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,RI,2886,RI - Providence,19,38342.58,12579.95,11283.58,41.71,-71.46
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,410011,LANDMARK MEDICAL CENTER,115 CASS AVENUE,WOONSOCKET,RI,2895,RI - Providence,16,43055.69,10832.69,10032.94,42.0,-71.5
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,410012,THE MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE,RI,2906,RI - Providence,19,30977.05,11670.74,10529.16,41.84,-71.39
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,410001,MEMORIAL HOSPITAL OF RHODE ISLAND,111 BREWSTER STREET,PAWTUCKET,RI,2860,RI - Providence,18,23474.72,10214.39,8522.44,41.88,-71.39
