"Col1","Col2"
"ISIN - Base Shares","LU0254094344"
"ISIN - Other Currency Shares (EUR- Hedged)","LU0254093379"
"ISIN - Other Currency Shares (GBP- Hedged)","LU0254093700"
"Bloomberg Ticker - Base Shares","GSGLP2U LX"
"Bloomberg Ticker - Other Currency Shares (EUR-Hedged)","GSGL2HE LX"
"Bloomberg Ticker - Other Currency Shares (GBP-Hedged)","GSG2DHG LX"
"Dividend Distribution Frequency","Annually"
"Dealing and valuation","Daily"
"Reporting year end","2001-11-30"
"Reference Benchmark","3 Month Libor (USD)"
"Settlement","T+3"
