"EPX equity sector, x","EPX equity sector, y","WTI 2-yr swap, x","WTI 2-yr swap, y","HY energy spread ratio (rhs, inverted), x","HY energy spread ratio (rhs, inverted), y"
"0.091362831","89.2027082377","0.0310879693","89.9046747573","0.0852185622","0.9575304358"
"0.0944172642","88.8245495541","0.0371477086","89.5625509976","0.2176768938","0.9618750026"
"0.1034780376","88.5544775539","0.052219094","89.3645488456","0.3501159762","0.9639475027"
"0.1095356409","88.230362212","0.0852898487","89.6564841873","0.4825930223","0.970501023"
"0.1246123662","87.9873390156","0.1214094832","89.6170827314","0.6029166173","0.963465149"
"0.157688888","88.2306516295","0.1575158747","89.6893334654","0.7030999556","0.9474126838"
"0.1937803277","88.4289612876","0.1936201302","89.7795926172","0.7474508686","0.9722477308"
"0.2178147659","88.7847722464","0.2176657822","90.0408593829","0.8438942515","0.9883972105"
"0.2328065865","89.2575836547","0.2296496268","90.5001463894","0.9402756093","0.9972255867"
"0.2417904651","89.6358146928","0.2446574672","90.8378946647","0.9861776498","1.0156889058"
"0.2658478649","89.7980351611","0.2697517012","90.7164885833","1.0609763455","1.0347053874"
"0.2899736157","89.3839862621","0.2898604095","90.3384324016","1.1762741349","1.0434241089"
"0.2990525448","88.9608427113","0.3019499845","89.9063027305","1.2669873539","1.0530869162"
"0.3061229526","88.5556955191","0.3260479677","89.726363262","1.3981758189","1.0496371252"
"0.326226855","88.2181582773","0.3621693109","89.6725550719","1.5185956004","1.0539545715"
"0.3503515378","87.8131135872","0.3983098779","89.4566711223","1.6270952973","1.0722279244"
"0.3624341709","87.4395112737","0.434444037","89.2948124258","1.7476049602","1.087154484"
"0.3745130661","87.0974236912","0.4735584044","89.3805875617","1.7517032607","1.0972496181"
"0.3906047318","86.7553602269","0.5036301542","89.5833631471","1.8378768645","1.085325124"
"0.4077017262","86.3952943744","0.5427525316","89.6016067165","1.9012510248","1.1057425447"
"0.4197848933","86.0171899565","0.5788546511","89.709874286","2.0366170298","1.0980586006"
"0.4348733664","85.6751204626","0.6149653145","89.7461081845","2.1449983545","1.1023599462"
"0.4469437177","85.4050665511","0.6540898278","89.7463433362","2.2534526274","1.1152717028"
"0.4830693329","85.3152415255","0.6811696214","89.8005313867","2.3859681718","1.1263693563"
"0.5131587044","85.3694476646","0.6872336326","89.4223907916","2.5184537731","1.133932684"
"0.5192227156","84.9913070695","0.68727208","89.0982392726","2.6028302371","1.1467065501"
"0.519261163","84.6671555504","0.6873105274","88.7740877535","2.6270480227","1.163366512"
"0.5313464661","84.2710427148","0.6993958305","88.3779749178","2.6512834533","1.1821092017"
"0.5313849135","83.9468911957","0.6964289719","88.0177884747","2.6731423945","1.204531563"
"0.5464787265","83.5598006575","0.7034983117","87.6216454914","2.6925919086","1.2267458374"
"0.5374788283","83.3166327524","0.7236016801","87.288610354","2.7090006716","1.2452808587"
"0.5755552936","83.6950386469","0.7477151491","86.978109857","2.7290397498","1.2660371772"
"0.5675617919","83.4248641447","0.7718414339","86.5595588535","2.7454479246","1.2845027743"
"0.6036019684","84.0553758283","0.7863502055","86.0301981976","2.7654817093","1.3046342745"
"0.6396827283","84.343727575","0.7960333997","85.587249005","2.8162078973","1.3241385855"
"0.6733720591","84.4952008761","0.8111149309","85.3037068687","2.9174375252","1.3368552498"
"0.6902769589","84.0631001468","0.8441930547","85.5335131693","3.0018099026","1.3491467525"
"0.6879192781","83.6416887011","0.8832823246","85.8308872135","3.0452905005","1.3659837464"
"0.7000024452","83.2635842832","0.9163759342","85.9301324855","3.1044082171","1.3813219512"
"0.7000387567","82.9574411818","0.9284526933","85.6060533207","3.1887977144","1.3956341956"
"0.7060984959","82.6153174222","0.9525795121","85.1830002129","3.2831800909","1.405336666"
"0.7121560992","82.2912020803","0.9743067853","84.6915006468","3.3873205913","1.382720143"
"0.7182137025","81.9670867383","0.9918081538","84.3053250004","3.519665032","1.3736216491"
"0.7242713058","81.6429713964","1.000883345","83.9136961806","3.6521041144","1.3756941493"
