"WTI Prices, x","WTI Prices, y","Sep-15 forecast, x","Sep-15 forecast, y","Forward, x","Forward, y","May-15 forecast, x","May-15 forecast, y"
"0.2679078628","92.6854279938","6.303683979","43.4205825309","6.2856667369","44.2005771522","4.262587834","59.9449130263"
"0.3399768313","91.53950997","6.4057816845","42.2746645071","6.4177931792","44.3669059716","4.3918543966","59.4313363209"
"0.4000343051","90.4898875784","6.4898621478","41.2291690711","6.5499196216","44.5463660135","4.5339904179","58.8696117994"
"0.4600917789","89.4402651868","6.5739426111","40.1905518946","6.6820460639","44.6995636103","4.6761264392","58.3078872779"
"0.5201492527","88.3713836687","6.6580230744","39.1381781993","6.8141725063","44.8440070587","4.8154597784","58.0382595076"
"0.5802067265","87.3217612771","6.7661265272","38.2171167297","6.9462989486","45.0803690651","4.9331724271","58.0382595076"
"0.6402642003","86.2625093223","6.8982529696","38.5672826652","7.078425391","45.259829107","5.0652988694","58.0382595076"
"0.7003216741","85.2128869307","7.0303794119","39.1187940135","7.2105518333","45.4436662232","5.1974253118","58.0093708179"
"0.7603791479","84.1728941023","7.1625058543","39.6703053619","7.3426782757","45.6318804135","5.3295517541","57.8552978063"
"0.8264423691","83.0558647681","7.2946322966","40.1955542651","7.474804718","45.824471678","5.4616781964","57.5760404728"
"0.8925055902","81.9099467442","7.426758739","40.7339343909","7.6069311603","46.0126858683","5.5938046388","57.3449309554"
"0.952563064","80.9277312952","7.5588851813","41.2635603684","7.7390576027","46.1965229845","5.7365698336","56.8703310535"
"1.0186262852","79.7818132713","7.6910116237","41.7888092716","7.871184045","46.3803601006","5.8352356834","56.1893833683"
"1.0846895064","78.6744135004","7.823138066","41.9857776103","8.0033104874","46.5598201425","5.8786105256","55.1515304428"
"1.1447469802","77.6633093617","7.9552645084","41.9857776103","8.1354369297","46.7392801845","6.0154081048","53.3438474351"
"1.204804454","76.6233165333","8.0873909507","41.9857776103","8.2675633721","46.9143631522","6.1475345472","51.4468234796"
"1.2597141443","75.482901117","8.219517393","41.9551380909","8.3996898144","47.0806919716","6.2843321264","49.6573296468"
