frame,y,x,bottom,right,class,class_str,score
73,0.73882216,0.85974306,0.9520009,0.9838967,85,clock,0.86797476
74,0.7388777,0.8597473,0.952014,0.9838369,85,clock,0.867205
75,0.7387134,0.8597136,0.9522637,0.9837709,85,clock,0.8683358
76,0.73820233,0.8596226,0.95189905,0.9836451,85,clock,0.86936986
77,0.7380772,0.8596314,0.9522143,0.9835634,85,clock,0.8683038
78,0.7381766,0.85954094,0.95224893,0.9835315,85,clock,0.86758083
79,0.73824084,0.85949886,0.9523262,0.98353136,85,clock,0.86824393
80,0.73870707,0.8596486,0.9520894,0.98347247,85,clock,0.86748415
81,0.7387117,0.8596864,0.9519752,0.9834485,85,clock,0.86734086
82,0.73855674,0.85977626,0.95187414,0.98343134,85,clock,0.8681041
83,0.7386398,0.8596727,0.9520535,0.9834959,85,clock,0.86946666
84,0.7384404,0.8597076,0.9519335,0.9835484,85,clock,0.8704213
85,0.7380568,0.859833,0.95225763,0.98360693,85,clock,0.87350106
86,0.7381218,0.8599255,0.9523601,0.983652,85,clock,0.8699403
87,0.73796135,0.8600381,0.9525309,0.983712,85,clock,0.8703765
88,0.73769534,0.8600586,0.9525175,0.9837639,85,clock,0.86816466
89,0.7373707,0.85999966,0.9519532,0.9837816,85,clock,0.867395
90,0.73735034,0.86007804,0.9520279,0.9837554,85,clock,0.86550164
91,0.73708856,0.86018443,0.9517486,0.98372805,85,clock,0.8660893
92,0.7369218,0.8601621,0.95174,0.98367053,85,clock,0.87121683
93,0.7366113,0.86004376,0.9518588,0.9836595,85,clock,0.8711029
94,0.7366902,0.8600821,0.9515545,0.98357683,85,clock,0.8698131
95,0.7372612,0.86022085,0.95162976,0.9835461,85,clock,0.86836624
96,0.7376305,0.8602792,0.95131874,0.983583,85,clock,0.86570495
97,0.7376959,0.86023414,0.95132583,0.98358536,85,clock,0.8673003
98,0.73782843,0.8602348,0.9514579,0.983627,85,clock,0.8674757
99,0.7378824,0.8602342,0.9514469,0.9835983,85,clock,0.8669023
100,0.73788095,0.8602339,0.9514483,0.9835993,85,clock,0.8668764
101,0.7378792,0.8602419,0.95143265,0.98360336,85,clock,0.866899
102,0.7378934,0.86024183,0.9514256,0.9836109,85,clock,0.8674085
103,0.7378044,0.8602443,0.95141315,0.98362136,85,clock,0.86821705
104,0.73512,0.86069596,0.95014924,0.98355246,85,clock,0.858894
104,0.0,0.7718904,0.7391707,0.98150575,1,person,0.2047359
105,0.73492223,0.8609297,0.94997174,0.983431,85,clock,0.85962963
105,0.030658245,0.64283484,0.7483013,0.84851223,1,person,0.21473806
106,0.734664,0.86083174,0.9502135,0.9834963,85,clock,0.86280715
106,0.024302453,0.63248974,0.74199927,0.8488924,1,person,0.208771
107,0.73496884,0.860704,0.95002824,0.98347026,85,clock,0.8617205
107,0.0075294673,0.63020825,0.67239606,0.86314964,1,person,0.221361
107,0.01134938,0.721931,0.69247067,0.97275376,1,person,0.20191036
108,0.735149,0.86059624,0.94999254,0.9833599,85,clock,0.8627452
108,0.0036023557,0.6317269,0.8398273,0.9967734,1,person,0.26365113
108,0.0071556866,0.6196725,0.6742333,0.86656815,1,person,0.21524878
109,0.734624,0.86067516,0.95017064,0.98341423,85,clock,0.8619413
109,0.002905339,0.6404966,0.8850423,0.99436677,1,person,0.20898376
110,0.73424774,0.86078584,0.9500044,0.9833423,85,clock,0.86011195
110,0.014489472,0.6216554,0.549521,0.8615747,1,person,0.23077077
111,0.734275,0.8606462,0.95008993,0.9833345,85,clock,0.85952175
112,0.73477894,0.8606104,0.95022625,0.9833452,85,clock,0.8576689
113,0.73504275,0.860579,0.9504855,0.9833199,85,clock,0.8616777
113,0.007176727,0.61562836,0.6141939,0.84289503,1,person,0.23179051
113,0.0025909245,0.77974296,0.6681442,0.9679874,1,person,0.21848428
114,0.7354952,0.8605218,0.9505,0.98331356,85,clock,0.8614378
114,0.0037477612,0.76417524,0.6050903,0.9730175,1,person,0.21344228
115,0.73525375,0.86056346,0.95044464,0.9833903,85,clock,0.86366475
116,0.73527527,0.86052924,0.9504267,0.9833837,85,clock,0.86329037
117,0.73528004,0.8605379,0.95042753,0.98331773,85,clock,0.8603636
118,0.7346888,0.8604806,0.95041424,0.98333293,85,clock,0.8578802
119,0.73464847,0.86053133,0.950289,0.98327804,85,clock,0.8551327
120,0.7346565,0.86057794,0.9503401,0.98326504,85,clock,0.85611266
121,0.7345916,0.86056805,0.9503428,0.98326516,85,clock,0.8547856
121,0.0,0.6211304,0.4594152,0.8329026,1,person,0.2064749
122,0.734345,0.8604155,0.9503836,0.98332936,85,clock,0.85298747
122,0.0,0.6208452,0.46666986,0.8410052,1,person,0.2222607
123,0.7346233,0.86033857,0.9505193,0.9833535,85,clock,0.85169727
123,0.0,0.59836656,0.43906528,0.84722143,1,person,0.2088917
124,0.7346752,0.860358,0.9505469,0.9833493,85,clock,0.8527817
125,0.7346534,0.86033523,0.9505711,0.9833101,85,clock,0.85285246
125,0.0027814806,0.567048,0.45063904,0.76564115,1,person,0.30488387
126,0.73483866,0.86031127,0.9506884,0.98330545,85,clock,0.8500809
126,0.0027921498,0.55771416,0.45398018,0.76615363,1,person,0.35271293
127,0.7349049,0.86028737,0.9507303,0.98330957,85,clock,0.85059595
127,0.0037474483,0.5617058,0.4450956,0.7632742,1,person,0.44692168
128,0.7349468,0.86029035,0.9507392,0.9833097,85,clock,0.85028094
128,0.004891455,0.56048775,0.45681787,0.7952845,1,person,0.3598735
129,0.7360543,0.86102855,0.95092356,0.98355293,85,clock,0.84085757
129,0.0,0.55874515,0.4522727,0.8122215,1,person,0.5585472
130,0.73601973,0.8610195,0.9509357,0.9835571,85,clock,0.8404434
130,0.0,0.55252534,0.45588052,0.8097393,1,person,0.6122618
131,0.7358255,0.8610505,0.950913,0.9835551,85,clock,0.8392446
131,0.0,0.5371311,0.45906925,0.802624,1,person,0.5665963
132,0.7358632,0.8609904,0.9507854,0.98350203,85,clock,0.83808565
132,0.0,0.528243,0.47742653,0.7990261,1,person,0.60574687
133,0.7356152,0.86104167,0.95052713,0.9834969,85,clock,0.8435405
133,0.0,0.52723217,0.49088806,0.7957778,1,person,0.55027735
133,0.012590557,0.74587774,0.58594143,0.96884775,1,person,0.2276695
134,0.73551995,0.86102307,0.9505858,0.98356175,85,clock,0.84025097
134,0.0075743347,0.5301713,0.5016854,0.7625897,1,person,0.4493054
134,0.003277272,0.5953125,0.48540366,0.84166026,1,person,0.28232726
135,0.73583484,0.8611227,0.9506171,0.9834626,85,clock,0.838497
135,0.0026307106,0.5292024,0.52142924,0.74394876,1,person,0.3674886
135,0.0061610937,0.6490174,0.4734385,0.8597116,1,person,0.21270683
136,0.73571146,0.86098915,0.950384,0.98343354,85,clock,0.8347876
136,0.0,0.52241474,0.54562056,0.75034374,1,person,0.38827145
136,0.002973169,0.6381637,0.4815877,0.8609036,1,person,0.25656894
137,0.73583925,0.8609712,0.9503858,0.98335326,85,clock,0.83941925
138,0.73610544,0.8608626,0.9504862,0.98330736,85,clock,0.8412032
138,0.008850694,0.51263237,0.56799054,0.7411325,1,person,0.23568071
138,0.008693129,0.73592407,0.5791099,0.99063545,1,person,0.22114767
139,0.73627645,0.86059904,0.9504517,0.9833013,85,clock,0.83806354
139,0.00040146708,0.5078121,0.5856664,0.7506308,1,person,0.26000986
140,0.7358377,0.8607934,0.9502454,0.98325926,85,clock,0.83528787
140,0.0064553916,0.5072187,0.5818924,0.72962224,1,person,0.39956218
140,0.0,0.5213115,0.604152,0.86484516,1,person,0.24553399
140,0.008553505,0.7148239,0.57742006,0.98136765,1,person,0.22984472
140,0.008123308,0.6527643,0.52389526,0.8850219,1,person,0.2218938
141,0.7357176,0.8607564,0.95043486,0.9832618,85,clock,0.83165663
141,0.013262421,0.50798976,0.59292936,0.8080828,1,person,0.3218113
141,0.007896364,0.7450342,0.5727406,0.98821115,1,person,0.23415959
141,0.016104102,0.5085478,0.58514935,0.7484702,18,dog,0.20811199
142,0.7353187,0.8607437,0.9503109,0.9832031,85,clock,0.8332383
142,0.009400219,0.5091245,0.5922042,0.8307648,1,person,0.33671188
142,0.009728789,0.5081346,0.58183235,0.75667703,18,dog,0.24397641
142,0.0,0.61810696,0.51133645,0.88666224,1,person,0.22418629
143,0.73550165,0.86079514,0.9503417,0.9831474,85,clock,0.8311936
143,0.0034130812,0.5055588,0.58480144,0.7612422,1,person,0.48763162
144,0.7354705,0.8607653,0.9504549,0.9832373,85,clock,0.8320502
144,0.00664407,0.5056582,0.5876966,0.7450411,1,person,0.2038044
145,0.7357124,0.8606903,0.950727,0.98320657,85,clock,0.83095944
145,0.0014842302,0.6482723,0.48797274,0.8345442,1,person,0.26427338
145,0.0064182878,0.513251,0.58711225,0.7137843,1,person,0.22846769
146,0.7356684,0.8607285,0.95080996,0.98318005,85,clock,0.82857543
146,0.00045716763,0.49857336,0.59020734,0.66935533,18,dog,0.22383352
147,0.7356199,0.8608138,0.9507599,0.9831504,85,clock,0.827149
147,0.0044996142,0.504401,0.58568335,0.7635738,1,person,0.21890984
148,0.7355492,0.86083686,0.9507123,0.98313725,85,clock,0.8278124
148,0.0,0.63112015,0.35720098,0.7821837,1,person,0.35110083
148,0.008055687,0.7568995,0.5589675,0.9736885,1,person,0.2556375
148,0.004585117,0.4833491,0.5836252,0.6703322,1,person,0.24080898
148,0.006029278,0.52068675,0.5747366,0.7567022,1,person,0.21048807
149,0.7357236,0.8607887,0.95059896,0.9831511,85,clock,0.82733256
150,0.7356114,0.8608149,0.9505902,0.983165,85,clock,0.8278608
150,0.0,0.624106,0.3572867,0.7650593,1,person,0.28944
151,0.73573095,0.86082745,0.9505195,0.98316634,85,clock,0.8281178
152,0.7352958,0.8609073,0.95043445,0.98315084,85,clock,0.8284271
152,0.0,0.46326053,0.7658628,0.6757302,17,cat,0.3557562
153,0.73532015,0.86092687,0.9504569,0.98315096,85,clock,0.8280826
153,0.0,0.46376944,0.866883,0.66706514,18,dog,0.37216803
154,0.7385071,0.8627065,0.96288866,0.98210603,85,clock,0.8224503
154,0.0067595243,0.46166492,0.7912302,0.6758418,17,cat,0.31221664
154,0.0002848208,0.4615446,0.8249208,0.6759036,18,dog,0.29340312
155,0.73766226,0.8602035,0.95111483,0.98362124,85,clock,0.81977767
155,0.02984795,0.45816338,0.66678095,0.6649468,1,person,0.31301177
156,0.7378593,0.8601487,0.95087713,0.9834164,85,clock,0.8248574
156,0.02576232,0.45782933,0.72539943,0.66052085,1,person,0.2362633
157,0.73777926,0.8602011,0.9507867,0.9833753,85,clock,0.8214727
157,0.010592341,0.46123445,0.8711651,0.6613679,17,cat,0.33016515
157,0.018603027,0.45712763,0.77540857,0.6607415,1,person,0.30649477
158,0.7378275,0.86015654,0.95101005,0.98339725,85,clock,0.81869096
158,0.020994604,0.46030024,0.8872757,0.65875876,17,cat,0.41485402
159,0.737613,0.86030644,0.9508862,0.9833768,85,clock,0.82091415
159,0.0,0.4528684,0.8879118,0.65514296,17,cat,0.4628971
160,0.73770237,0.86043346,0.9507674,0.98333263,85,clock,0.82331705
160,0.0,0.44940415,0.8615953,0.6535241,17,cat,0.544426
160,0.016447246,0.44445747,0.8470489,0.65671974,1,person,0.38832086
161,0.73770535,0.8602343,0.95123076,0.98340315,85,clock,0.8280949
161,0.010344535,0.4373996,0.8369379,0.6555941,1,person,0.76509124
162,0.73722744,0.8601122,0.9512818,0.9834093,85,clock,0.82907856
162,0.0033735335,0.43723905,0.82517314,0.6606231,1,person,0.77482563
162,0.5582241,0.12158203,0.9934386,0.7608968,82,refrigerator,0.24505514
163,0.7375492,0.8599605,0.9513644,0.9834592,85,clock,0.8264668
163,0.011839181,0.43641025,0.823781,0.6565718,1,person,0.8189416
164,0.013222784,0.4262935,0.8516737,0.647025,1,person,0.83677256
164,0.73784745,0.8600204,0.95087373,0.9835565,85,clock,0.8245459
165,0.016836524,0.422965,0.9015262,0.6491402,1,person,0.8534579
165,0.73889005,0.86010283,0.95062995,0.9833053,85,clock,0.8261883
166,0.018299788,0.41749057,0.94073796,0.6507559,1,person,0.8725946
166,0.7388741,0.8599674,0.9506606,0.98332316,85,clock,0.8332777
167,0.048119754,0.40763956,0.9802048,0.6438078,1,person,0.8387677
167,0.7386853,0.85992557,0.9506499,0.98318166,85,clock,0.81701297
168,0.02562064,0.41366938,0.9678383,0.6439844,1,person,0.81567127
168,0.7384188,0.8598824,0.95088685,0.9831247,85,clock,0.79811764
169,0.7380587,0.8601297,0.95092106,0.9832666,85,clock,0.7955526
169,0.03183514,0.41017842,0.97814995,0.641027,1,person,0.72791135
169,0.5380642,0.17102256,1.0,0.5546597,72,tv,0.20373417
170,0.7376444,0.85982347,0.9506903,0.98352456,85,clock,0.7980257
170,0.06385842,0.4087208,0.98401666,0.64515454,1,person,0.730746
171,0.050275147,0.40199515,0.99111456,0.6433786,1,person,0.7681042
171,0.7374212,0.86027306,0.95099825,0.9835122,85,clock,0.76479244
171,0.5401645,0.16547546,1.0,0.5340369,72,tv,0.24045298
172,0.7381221,0.8606828,0.9500966,0.98339385,85,clock,0.72939026
172,0.05977136,0.3919341,0.9840271,0.6386693,1,person,0.7177031
172,0.54246914,0.16652046,1.0,0.51853603,72,tv,0.27844912
172,0.17403272,0.41443342,0.81507814,0.62677175,31,handbag,0.22470236
173,0.7384597,0.86057353,0.95020854,0.98334825,85,clock,0.7376441
173,0.06833911,0.3837446,0.98138964,0.6345955,1,person,0.7010476
173,0.5422492,0.162307,1.0,0.5025327,72,tv,0.20562238
174,0.07348594,0.3862604,0.9859346,0.6340157,1,person,0.8195474
174,0.7378862,0.8605423,0.9502969,0.9835502,85,clock,0.7338647
174,0.5472383,0.15995738,1.0,0.5137441,72,tv,0.34942472
175,0.102707595,0.3860842,0.99493504,0.62341905,1,person,0.8256864
175,0.74131143,0.86296177,0.9609699,0.98237777,85,clock,0.749577
175,0.5183443,0.07839364,0.99799025,0.8543832,72,tv,0.39879212
175,0.54138625,0.17052223,1.0,0.5553436,72,tv,0.3468019
176,0.16334003,0.37762386,0.99253136,0.60823375,1,person,0.85011786
176,0.74146557,0.8630148,0.9608623,0.9823204,85,clock,0.75110984
176,0.5312401,0.15621136,1.0,0.52992785,72,tv,0.4468143
176,0.51674277,0.08502737,1.0,0.8323139,72,tv,0.3770753
176,0.022931099,0.07347152,0.9851825,0.9731587,72,tv,0.22611374
177,0.12027919,0.3671871,0.98538005,0.6054274,1,person,0.7718371
177,0.738797,0.860957,0.9488153,0.9833541,85,clock,0.7319868
177,0.52074754,0.09104058,1.0,0.8602698,72,tv,0.45884117
177,0.5306121,0.15466703,1.0,0.5512582,72,tv,0.3553197
178,0.11640602,0.3578701,0.99542814,0.60881877,1,person,0.88240325
178,0.73919535,0.860809,0.9494325,0.9835053,85,clock,0.7339959
178,0.53267026,0.14454997,1.0,0.5374267,72,tv,0.23863879
178,0.5126798,0.06925303,1.0,0.85120696,72,tv,0.20961408
179,0.11020601,0.35371292,0.98772395,0.6066425,1,person,0.8682919
179,0.73932856,0.86066175,0.9493397,0.9839988,85,clock,0.75738883
179,0.55025613,0.008784741,1.0,0.85100317,63,couch,0.26056665
179,0.53525937,0.14735074,1.0,0.5375333,72,tv,0.22856186
179,0.52376425,0.05669886,1.0,0.8594175,72,tv,0.21983181
180,0.12005934,0.3453195,0.98190963,0.6012338,1,person,0.8568594
180,0.7389771,0.86056226,0.9500185,0.9842226,85,clock,0.75860983
180,0.5320966,0.058304995,1.0,0.87699723,72,tv,0.25842878
180,0.5330245,0.14424527,1.0,0.5186932,72,tv,0.24144857
181,0.16185993,0.328414,0.98530895,0.5986655,1,person,0.8280535
181,0.73862445,0.8600564,0.95001316,0.9845475,85,clock,0.75279754
181,0.5232706,0.0918788,1.0,0.77180123,63,couch,0.23341174
182,0.7377099,0.85972154,0.9500978,0.9849341,85,clock,0.7688371
182,0.19162887,0.33317474,0.98464376,0.5987644,1,person,0.76109535
182,0.29188538,0.32890245,0.98941016,0.5990279,17,cat,0.257334
182,0.49630916,0.08745742,1.0,0.86915284,84,book,0.20859027
183,0.19065979,0.32244176,0.98868823,0.60011816,1,person,0.8399344
183,0.7381767,0.8600432,0.9508555,0.9847775,85,clock,0.7701519
