frame,y,x,bottom,right,class,class_str,score
1,0.46975303,0.2135658,0.8591304,0.37795153,1,person,0.6349037
1,0.4777697,0.51157254,0.8305807,0.61885434,1,person,0.48801437
1,0.4344336,0.17595915,0.8800162,0.37047178,19,horse,0.4687685
1,0.47424766,0.6742936,0.88473785,0.9765164,1,person,0.3546777
1,0.3944285,0.06141977,0.87111366,0.27011245,19,horse,0.34246078
1,0.46491718,0.31243792,0.77289355,0.39786866,1,person,0.2671875
1,0.14696535,0.037080795,0.8650023,0.9817114,72,tv,0.2548232
2,0.46969712,0.21358588,0.8591082,0.37792274,1,person,0.6344947
2,0.47774768,0.5115865,0.83061457,0.61887544,1,person,0.4876355
2,0.43407255,0.17571759,0.88011235,0.37038893,19,horse,0.46451935
2,0.47433352,0.6745782,0.88469565,0.9759581,1,person,0.35014784
2,0.39402846,0.06185612,0.8711269,0.27064034,19,horse,0.3450468
2,0.46491003,0.3124857,0.7727406,0.39788496,1,person,0.2672582
2,0.1468215,0.03728023,0.8653375,0.9816699,72,tv,0.25572836
3,0.51115006,0.5272058,0.8653336,0.6555666,1,person,0.7488277
3,0.47257507,0.29753414,0.72990775,0.3944504,1,person,0.41251597
3,0.40002143,0.076958254,0.8780441,0.24803163,1,person,0.35136485
3,0.40741122,0.13344404,0.87526774,0.30828735,1,person,0.34796864
3,0.45976967,0.22533831,0.77161974,0.34681657,1,person,0.30953684
3,0.19958547,0.029176414,0.89347684,0.9812618,72,tv,0.28542364
4,0.5336955,0.5277103,0.86499685,0.6583705,1,person,0.81986856
4,0.3997892,0.12856397,0.8756672,0.3204399,1,person,0.4841403
4,0.44025862,0.27586746,0.71079016,0.38957965,1,person,0.40926403
4,0.2057825,0.029771,0.8726603,0.97997344,72,tv,0.3299438
4,0.3490952,0.86493796,0.9057479,0.9994709,1,person,0.26531535
4,0.409843,0.16233903,0.7378061,0.3069963,1,person,0.26478097
4,0.4095719,0.25107887,0.70544696,0.36461607,1,person,0.2597882
5,0.55249745,0.48709714,0.86204344,0.64412796,1,person,0.8651569
5,0.17167807,0.017772198,0.87185,0.9823966,72,tv,0.37355274
5,0.69311637,0.74407846,0.84012336,0.7982697,1,person,0.30631697
5,0.29553193,0.84896743,0.86867636,1.0,1,person,0.27256444
6,0.53731346,0.4835608,0.85843265,0.6442915,1,person,0.8040835
6,0.47234285,0.13394547,0.810007,0.24536431,1,person,0.28393546
6,0.2989724,0.8587043,0.875921,1.0,1,person,0.27329558
6,0.17800832,0.0065150857,0.8748317,0.9851,72,tv,0.22273438
6,0.45254645,0.27193883,0.7250495,0.39208016,1,person,0.20509718
7,0.53958195,0.48635864,0.85602623,0.6395924,1,person,0.82857186
7,0.35176498,0.8586248,0.88974863,0.99875677,1,person,0.5822778
7,0.45080295,0.28386357,0.72344863,0.3904324,1,person,0.2930181
7,0.5359434,0.46708426,0.83390117,0.5766785,1,person,0.26479247
7,0.54373544,0.539895,0.86416906,0.6560369,1,person,0.25569746
7,0.40143162,0.11544817,0.868977,0.33249903,1,person,0.2284663
8,0.50719815,0.4814912,0.8687776,0.64351976,1,person,0.84983927
8,0.4423197,0.29946,0.7431894,0.39697897,1,person,0.58626735
8,0.36538267,0.85925245,0.8889296,0.9986216,1,person,0.40921786
8,0.4064108,0.12719193,0.8747933,0.3119205,1,person,0.2863314
9,0.49943855,0.49423933,0.8646425,0.6430657,1,person,0.7759776
9,0.3813324,0.8410468,0.86923516,0.99861526,1,person,0.38433155
9,0.37988997,0.84999025,0.85965073,0.9972391,86,vase,0.28815266
9,0.3813324,0.8410468,0.86923516,0.99861526,16,bird,0.2827576
9,0.18127993,0.027663618,0.90340924,0.9783324,72,tv,0.27355018
9,0.47623336,0.29499805,0.7440361,0.39000297,1,person,0.2024672
10,0.49992165,0.5056838,0.87244487,0.6526363,1,person,0.7501037
10,0.37784612,0.8380272,0.8726212,0.9972474,16,bird,0.6350272
10,0.23624083,0.050635517,0.88019156,0.95667475,72,tv,0.5034909
10,0.3716264,0.8409618,0.8740574,0.9970994,1,person,0.28555366
10,0.69126266,0.718757,0.8437292,0.7914904,1,person,0.21783656
10,0.43522567,0.28398448,0.7296404,0.39718723,1,person,0.20452896
11,0.485765,0.5029716,0.8629432,0.6387128,1,person,0.638404
11,0.38337505,0.8316468,0.8781012,0.9995227,16,bird,0.47108677
11,0.38337505,0.8316468,0.8781012,0.9995227,1,person,0.44754806
11,0.20011842,0.047345787,0.88812697,0.9620395,72,tv,0.37555405
12,0.4737196,0.5115711,0.8663753,0.6520991,1,person,0.684255
12,0.37445349,0.8432287,0.8943265,1.0,1,person,0.37118635
12,0.34296983,0.14596938,0.85930496,0.3480432,1,person,0.28750062
12,0.3490518,0.14668402,0.86012566,0.345049,35,skis,0.27422008
12,0.21037048,0.005096309,0.48652124,0.08048669,1,person,0.22350977
12,0.34828985,0.18072769,0.7584245,0.31337097,35,skis,0.21398737
12,0.36282253,0.14187688,0.8607396,0.3564758,18,dog,0.2137126
13,0.46865514,0.5239023,0.8713263,0.6482481,1,person,0.72077656
13,0.37401056,0.8459546,0.8888228,0.9998335,1,person,0.38077793
13,0.42078322,0.14432478,0.86604613,0.35164118,1,person,0.3800573
13,0.43211788,0.14145756,0.87719256,0.3591032,18,dog,0.28650478
13,0.43164235,0.31116548,0.71158224,0.3961636,1,person,0.2723473
13,0.098083794,0.028861284,0.882697,0.975296,72,tv,0.22904354
14,0.4869455,0.5310803,0.8684288,0.6536396,1,person,0.8494002
14,0.3892581,0.8399281,0.8748346,0.9973393,1,person,0.5821932
14,0.4558496,0.5196295,0.83728844,0.62251544,1,person,0.55794877
14,0.6501678,0.72653353,0.86971664,0.82267845,1,person,0.4380709
14,0.43775433,0.31224176,0.7155127,0.3985732,1,person,0.37140542
14,0.45364863,0.1789383,0.8680472,0.30183157,1,person,0.22935832
14,0.64460474,0.74121016,0.8749005,0.8597005,1,person,0.20626567
15,0.47727743,0.530377,0.8506824,0.6467889,1,person,0.9046877
15,0.41470718,0.8361029,0.8847134,0.9952404,1,person,0.5173262
15,0.6229692,0.758511,0.8742761,0.86206037,1,person,0.21148056
16,0.51043135,0.5337913,0.8610638,0.64724326,1,person,0.89372927
16,0.42348784,0.8508024,0.8624969,0.9989003,1,person,0.5431657
16,0.12887436,0.027009577,0.8747296,0.9809587,72,tv,0.23378427
16,0.44776607,0.17503718,0.8464279,0.3039449,1,person,0.2336412
16,0.438687,0.17748457,0.73934495,0.2828565,1,person,0.2008595
17,0.5081279,0.5323486,0.8619751,0.6417057,1,person,0.8676674
17,0.453268,0.85911745,0.8645225,0.983941,1,person,0.57669306
17,0.4657764,0.2266293,0.77769136,0.3616398,16,bird,0.23516484
17,0.2489694,0.0045054294,0.517174,0.07553081,1,person,0.213959
18,0.5148964,0.5294267,0.8669747,0.64030635,1,person,0.9032281
18,0.4669138,0.8501866,0.8660395,0.9815172,1,person,0.6879428
18,0.0815092,0.024181217,0.87399113,0.9784677,72,tv,0.25399652
19,0.54250765,0.530256,0.86996925,0.6420918,1,person,0.92619026
19,0.48012394,0.83509696,0.878043,0.98253644,1,person,0.49894074
19,0.47105914,0.3265733,0.7544884,0.39545232,86,vase,0.30957225
19,0.4692071,0.19528455,0.74585384,0.29299432,86,vase,0.29269654
19,0.15813547,0.0,0.8794381,0.987073,72,tv,0.23517631
20,0.505757,0.5300752,0.85889626,0.642987,1,person,0.8683656
20,0.46887237,0.22744781,0.74802476,0.32814538,16,bird,0.35567212
20,0.47129643,0.19955558,0.74911594,0.2957443,16,bird,0.31325248
20,0.4804064,0.8396028,0.88046825,0.9751233,1,person,0.25347546
20,0.13796997,0.019920528,0.88175154,0.9812656,72,tv,0.23683685
20,0.68911034,0.7344908,0.8565641,0.78568596,1,person,0.22511287
20,0.683493,0.69455284,0.8382412,0.74221784,1,person,0.20327921
21,0.47118092,0.5323668,0.8585845,0.6541955,1,person,0.8099032
21,0.46922886,0.1855281,0.82637084,0.32631683,16,bird,0.46752486
21,0.4300537,0.8465304,0.8413756,0.9665353,1,person,0.39389083
21,0.47325766,0.19070664,0.80832255,0.30436462,86,vase,0.20550412
21,0.10840598,0.0152569115,0.87949073,0.9841559,72,tv,0.20080224
22,0.63549334,0.16463807,0.86833173,0.3395613,1,person,0.5190205
22,0.48047754,0.5380302,0.8655956,0.6469026,1,person,0.47569185
22,0.4296913,0.8444315,0.8365177,0.96560526,1,person,0.40194684
23,0.60441047,0.16723284,0.87022465,0.32759675,1,person,0.8268356
23,0.4326739,0.8424301,0.8565204,0.97108734,1,person,0.6228151
23,0.44176614,0.5329898,0.87270284,0.6496312,1,person,0.38366577
23,0.527568,0.20952624,0.8772484,0.33774406,1,person,0.25783122
24,0.574214,0.16017945,0.87895024,0.33013564,1,person,0.7812908
24,0.4602814,0.53257143,0.8694346,0.64737654,1,person,0.58097017
24,0.43962574,0.8426385,0.86713564,0.9760295,1,person,0.37566164
25,0.48701125,0.5292859,0.87318724,0.6429751,1,person,0.81086457
25,0.51142097,0.1468626,0.87867,0.29630494,1,person,0.73371583
25,0.45905846,0.84002733,0.8586826,0.9781939,1,person,0.5040496
25,0.68170184,0.69429183,0.848334,0.74283135,1,person,0.21144302
26,0.49475586,0.15343389,0.87994564,0.28039065,1,person,0.6109453
26,0.5215899,0.52951306,0.86776495,0.6457749,18,dog,0.4360123
26,0.46929857,0.84128976,0.8873874,0.98913646,1,person,0.3892844
26,0.54070103,0.5267381,0.8709357,0.6507985,1,person,0.25608253
26,0.4736436,0.33703434,0.7551729,0.4178087,1,person,0.24906166
26,0.68640846,0.6991299,0.8514244,0.74971217,1,person,0.24316506
26,0.7701684,0.803229,0.8792776,0.85420823,1,person,0.21937737
27,0.57561713,0.5234143,0.8709031,0.64118797,18,dog,0.7127273
27,0.49399054,0.1557965,0.8817822,0.30706164,1,person,0.650527
27,0.6931407,0.6938556,0.8496409,0.74976224,1,person,0.32416353
27,0.20280394,0.80772424,0.29152977,0.8432554,10,traffic light,0.29104722
27,0.25914246,0.0032683313,0.5179647,0.077695556,1,person,0.21237378
28,0.46859288,0.14912304,0.87369585,0.28669325,1,person,0.48289007
28,0.19781157,0.79907286,0.29847738,0.8464546,10,traffic light,0.3027485
29,0.4674446,0.14767155,0.8851786,0.28442252,1,person,0.55388904
29,0.6952233,0.69454813,0.8543944,0.7373594,1,person,0.3266781
29,0.01664573,0.014944971,0.8215031,0.98830765,72,tv,0.27859968
29,0.25653356,0.0038577244,0.52575415,0.07577964,1,person,0.2544966
29,0.5472728,0.5301037,0.8694947,0.6151775,86,vase,0.22983062
30,0.61913425,0.8576681,0.8841179,0.9732575,1,person,0.5735791
30,0.59753895,0.5314213,0.8702103,0.63640106,1,person,0.49070168
30,0.4731382,0.14078778,0.8746513,0.29268333,1,person,0.47656214
30,0.69600457,0.69084877,0.8525273,0.7336646,1,person,0.44924113
30,0.5614078,0.13897239,0.87754905,0.25182587,1,person,0.20768385
31,0.5035583,0.12772699,0.87188554,0.2772599,1,person,0.52802527
31,0.6404601,0.5234264,0.8780282,0.64368093,1,person,0.35228112
32,0.52680784,0.13233215,0.88117045,0.3063271,1,person,0.7851734
32,0.6818383,0.5234493,0.8842157,0.6487508,1,person,0.4900281
32,0.4465437,0.024381071,0.8384495,0.9698312,1,person,0.42474744
32,0.7022132,0.6901536,0.85891527,0.735266,1,person,0.41263652
32,0.73653185,0.69966626,0.870841,0.7401736,1,person,0.23111752
33,0.54891515,0.124277174,0.8741071,0.30371922,1,person,0.8184862
33,0.43468973,0.019091696,0.83701205,0.9642823,1,person,0.46941414
33,0.69361734,0.69338286,0.8598808,0.73596275,1,person,0.39347357
33,0.7370496,0.55047446,0.8777082,0.63925177,1,person,0.37849784
33,0.6986306,0.5254943,0.8910018,0.65083927,1,person,0.3760379
33,0.24034083,0.79588664,0.3270856,0.83461094,10,traffic light,0.31719738
33,0.68487465,0.5191016,0.8617308,0.59394944,1,person,0.30497533
34,0.58073246,0.12467111,0.878947,0.30177343,1,person,0.63098943
34,0.7385702,0.5745865,0.8757254,0.6387358,1,person,0.5156709
34,0.6859901,0.5194453,0.8583977,0.58437777,1,person,0.4385769
34,0.43978947,0.033548206,0.8407133,0.944178,1,person,0.43419164
34,0.53771937,0.029942352,0.86267114,0.13242437,1,person,0.24978936
34,0.69989127,0.5301716,0.89208084,0.6495815,1,person,0.21571814
34,0.6985088,0.6987581,0.8610794,0.7354399,1,person,0.21147805
35,0.6084612,0.118254304,0.87280446,0.2850292,1,person,0.5998344
35,0.16615021,0.0005257726,0.88310814,0.99286133,72,tv,0.43754187
35,0.41869712,0.025815994,0.84595466,0.9834231,1,person,0.3995059
35,0.73971283,0.5892124,0.87373793,0.6337117,1,person,0.37555215
35,0.2364691,0.7861853,0.3327412,0.8335659,10,traffic light,0.31436193
35,0.70321834,0.6925625,0.8609179,0.7336169,1,person,0.31248972
35,0.68718207,0.5191309,0.8627316,0.58393675,1,person,0.31133696
35,0.7015233,0.63622046,0.8614383,0.6803262,1,person,0.2862799
35,0.6761034,0.522947,0.87976056,0.6177476,1,person,0.22862948
36,0.6165626,0.10963893,0.87069654,0.28877813,1,person,0.77252823
36,0.18688771,0.0022859275,0.880991,0.9897541,72,tv,0.4201023
