RecordNumber,GasMCFGPD,OilBOPD,remarks,
11265,103,0,COMMINGLED 103MCF   ,
11318,63,0,COMMINGLED 63MCF    ,
11320,260,0,COMMINGLED 260MCF   ,
11328,112,0,COMMINGLED 112MCF   ,
11631,327,0,COMMINGLED 327MCF   ,
12402,172,0,COMMINGLED 172MCF   ,
16189,1225,0,COMMINGLED 1225MCF  ,
16193,220,0,COMMINGLED 220MCF   ,
16196,440,0,COMMINGLED 440MCF   ,
16200,381,0,COMMINGLED 381MCF   ,
16209,538,0,COMMINGLED 538MCF   ,
16210,260,0,COMMINGLED 260MCF   ,
16215,823,0,COMMINGLED 823MCF   ,
16216,381,0,COMMINGLED 381MCF   ,
16217,1492,0,COMMINGLED 1492MCF  ,
16218,381,0,COMMINGLED          ,
16224,1841,0,COMMINGLED 1841MCF  ,
16225,1787,0,COMMINGLED 1787MCF  ,
16274,442,0,COMMINGLED 442MCF   ,
23294,103,0,COMMINGLED 103MCF   ,
31499,189,0,COMMINGLED 189MCF   ,
37673,70,0,COMMINGLED 70MCF    ,
39522,696,0,COMMINGLED 696MCF   ,
39632,189,0,COMMINGLED 189MCF   ,
39777,60,0,COMMINGLED 60MCF    ,
40047,84,0,COMMINGLED 84MCF    ,
40085,169,0,COMMINGLED 169MCF   ,
40287,151,0,COMMINGLED 151MCF   ,
40625,119,0,COMMINGLED 119MCF   ,
40628,926,0,COMMINGLED 926MCF   ,
40646,179,0,COMMINGLED 179MCF   ,
40680,119,0,COMMINGLED 119MCF   ,
40712,73,0,COMMINGLED 73MCF    ,
41217,60,0,COMMINGLED 60MCF    ,
45437,328,0,COMMINGLED 328MCF   ,
47015,103,0,COMMINGLED 103MCF   ,
47022,60,0,COMMINGLED 60MCF    ,
47211,75,0,COMMINGLED 75MCF    ,
47235,119,0,COMMINGLED 119MCF   ,
50553,513,0,COMMINGLED 513MCF   ,
50969,189,0,COMMINGLED 189MCF   ,
52246,327,0,COMMINGLED 327MCF   ,
55342,304,0,COMMINGLED 304MCF   ,
61063,586,0,COMMINGLED 586MCF   ,
61917,199,0,COMMINGLED 199MCF   ,
62581,184,0,COMMINGLED 184MCF   ,
62583,207,0,COMMINGLED 207MCF   ,
62586,84,0,COMMINGLED 84MCF    ,
62587,95,0,COMMINGLED 95MCF    ,
62641,1885,0,COMMINGLED 1885MCF  ,
62742,116,0,COMMINGLED 116MCF   ,
62906,95,0,COMMINGLED 95MCF    ,
63816,60,0,COMMINGLED 60MCF    ,
63819,60,0,COMMINGLED 60MCF    ,
65086,377,0,COMMINGLED 377MCF   ,
65167,169,0,COMMINGLED 169MCF   ,
65186,207,0,COMMINGLED 207MCF   ,
65313,497,0,COMMINGLED 497MCF   ,
65315,313,0,COMMINGLED 313MCF   ,
65571,984,0,COMMINGLED 984MCF   ,
65593,550,0,COMMINGLED 550MCF   ,
65673,267,0,COMMINGLED 267MCF   ,
65834,901,0,COMMINGLED 901MCF   ,
66261,282,0,COMMINGLED 282MCF   ,
66346,189,0,COMMINGLED 189MCF   ,
66347,73,0,COMMINGLED 73MCF    ,
66720,158,0,COMMINGLED 158MCF   ,
67140,246,0,COMMINGLED 246MCF   ,
67207,377,0,COMMINGLED 377MCF   ,
67211,94,0,COMMINGLED 94MCF    ,
67650,600,0,COMMINGLED 600MCF   ,
67651,189,0,COMMINGLED 189MCF   ,
67686,1039,0,COMMINGLED 1039MCF  ,
67876,127,0,COMMINGLED 127MCF   ,
67877,696,0,COMMINGLED 696MCF   ,
67882,660,0,COMMINGLED 660MCF   ,
68129,466,0,COMMINGLED 466MCF   ,
69114,298,0,COMMINGLED 298MCF   ,
70031,134,0,COMMINGLED 134MCF   ,
70124,95,0,COMMINGLED 95MCF    ,
71815,119,0,COMMINGLED 119MCF   ,
76470,84,0,COMMINGLED 84MCF    ,
76474,223,0,COMMINGLED 223MCF   ,
76508,60,0,COMMINGLED 60MCF    ,
79003,179,0,COMMINGLED 179MCF   ,
79877,187,0,COMMINGLED 187MCF   ,
81318,60,0,COMMINGLED 60MCF    ,
81343,119,0,COMMINGLED 119MCF   ,
81378,358,0,COMMINGLED 358MCF   ,
81380,215,0,COMMINGLED 215MCF   ,
81447,112,0,COMMINGLED 112MCF   ,
81448,82,0,COMMINGLED 82MCF    ,
16218,499,0,COMMINGLED-BigL&Brea,
